PlotID,Block,PlotName,Location,CropName,CropTrt,SiteNum,RowNumber,ColNum,Position,Season,SamplingWeek,SamplingDate,Year,Month,Day,CropTrt,Height_cm,Height_cm,Height_cm,Chlorophyll_CCI,Chlorophyll_CCI,Chlorophyll_CCI
11,1,VF_VB-2,VF,VB,VB,1,2,5,125,Summer,5,6/17/2019,2019,6,17,VB,61,108,87,28.7,17.2,14.6
12,1,VF_SHSS-2,VF,SH,SHSS,1,2,6,126,Summer,5,6/17/2019,2019,6,17,SH,80,85,89,12.6,10,14.1
12,1,VF_SHSS-2,VF,SS,SHSS,1,2,6,126,Summer,5,6/17/2019,2019,6,17,SS,96,105,103,4.4,5.1,4.4
13,1,VF_VB-3,VF,VB,VB,1,3,1,131,Summer,5,6/17/2019,2019,6,17,VB,40,24,54,23.3,10.1,25.3
14,1,VF_SSVB-3,VF,SS,SSVB,1,3,2,132,Summer,5,6/17/2019,2019,6,17,SS,97,110,106,6.1,4.2,6.1
14,1,VF_SSVB-3,VF,VB,SSVB,1,3,2,132,Summer,5,6/17/2019,2019,6,17,VB,82,64,42,10.1,13.1,22.9
15,1,VF_SHVB-3,VF,SH,SHVB,1,3,3,133,Summer,5,6/17/2019,2019,6,17,SH,72,82,77,3.9,17.5,11.5
15,1,VF_SHVB-3,VF,VB,SHVB,1,3,3,133,Summer,5,6/17/2019,2019,6,17,VB,93,82,75,20.9,19.2,12.3
16,1,VF_SHSS-3,VF,SH,SHSS,1,3,4,134,Summer,5,6/17/2019,2019,6,17,SH,80,95,95,12.9,12.8,7.5
16,1,VF_SHSS-3,VF,SS,SHSS,1,3,4,134,Summer,5,6/17/2019,2019,6,17,SS,87,104,77,8.3,4.7,5.2
17,1,VF_SS-3,VF,SS,SS,1,3,5,135,Summer,5,6/17/2019,2019,6,17,SS,88,97,80,4.9,4.6,6.8
18,1,VF_SH-3,VF,SH,SH,1,3,6,136,Summer,5,6/17/2019,2019,6,17,SH,98,95,99,13.2,14.8,9.3
19,1,VF_SH-4,VF,SH,SH,1,4,1,141,Summer,5,6/17/2019,2019,6,17,SH,79,89,88,10,7.7,11.1
20,1,VF_SS-4,VF,SS,SS,1,4,2,142,Summer,5,6/17/2019,2019,6,17,SS,85,90,100,9.5,5.4,1.9
21,1,VF_SHSS-4,VF,SH,SHSS,1,4,3,143,Summer,5,6/17/2019,2019,6,17,SH,93,77,69,11,12.6,11.3
21,1,VF_SHSS-4,VF,SS,SHSS,1,4,3,143,Summer,5,6/17/2019,2019,6,17,SS,100,115,103,5,5.9,6.4
22,1,VF_VB-4,VF,VB,VB,1,4,4,144,Summer,5,6/17/2019,2019,6,17,VB,62,108,90,22,10.2,23.3
23,1,VF_SHVB-4,VF,SH,SHVB,1,4,5,144,Summer,5,6/17/2019,2019,6,17,SH,72,90,86,14.6,11.5,14.1
23,1,VF_SHVB-4,VF,VB,SHVB,1,4,5,145,Summer,5,6/17/2019,2019,6,17,VB,61,96,85,19.3,12.4,24
24,1,VF_SSVB-4,VF,SS,SSVB,1,4,6,146,Summer,5,6/17/2019,2019,6,17,SS,96,123,122,7.7,5.7,4.1
24,1,VF_SSVB-4,VF,VB,SSVB,1,4,6,146,Summer,5,6/17/2019,2019,6,17,VB,62,88,98,12.5,12,21.3
25,1,VF_SHVB-5,VF,SH,SHVB,1,5,1,151,Summer,5,6/17/2019,2019,6,17,SH,103,74,82,19.7,12.2,15.3
25,1,VF_SHVB-5,VF,VB,SHVB,1,5,1,151,Summer,5,6/17/2019,2019,6,17,VB,87,108,1.31,21.6,15.5,13.9
26,1,VF_SHSS-5,VF,SH,SHSS,1,5,2,152,Summer,5,6/17/2019,2019,6,17,SH,82,80,95,15.9,18.1,10.5
26,1,VF_SHSS-5,VF,SS,SHSS,1,5,2,152,Summer,5,6/17/2019,2019,6,17,SS,122,112,87,6.7,7.8,5.5
27,1,VF_SS-5,VF,SS,SS,1,5,3,153,Summer,5,6/17/2019,2019,6,17,SS,74,93,114,5.6,5.3,4.2
28,1,VF_SSVB-5,VF,SS,SSVB,1,5,4,154,Summer,5,6/17/2019,2019,6,17,SS,110,109,93,10.8,7.1,8.3
28,1,VF_SSVB-5,VF,VB,SSVB,1,5,4,154,Summer,5,6/17/2019,2019,6,17,VB,72,67,44,23,15.4,23.2
29,1,VF_SH-5,VF,SH,SH,1,5,5,155,Summer,5,6/17/2019,2019,6,17,SH,72,87,82,16.5,12.9,12.4
30,1,VF_VB-5,VF,VB,VB,1,5,6,156,Summer,5,6/17/2019,2019,6,17,VB,79,83,56,22.3,28.1,9.5
31,1,VF_SSVB-6,VF,SS,SSVB,1,6,1,161,Summer,5,6/17/2019,2019,6,17,SS,90,100,89,6.2,5.2,5.2
31,1,VF_SSVB-6,VF,VB,SSVB,1,6,1,161,Summer,5,6/17/2019,2019,6,17,VB,92,47,82,27,29.5,8.4
32,1,VF_SH-6,VF,SH,SH,1,6,2,162,Summer,5,6/17/2019,2019,6,17,SH,87,81,80,10.3,16.9,13.9
33,1,VF_VB-6,VF,VB,VB,1,6,3,163,Summer,5,6/17/2019,2019,6,17,VB,120,46,115,25.1,13.4,14.7
34,1,VF_SS-6,VF,SS,SS,1,6,4,164,Summer,5,6/17/2019,2019,6,17,SS,90,119,120,7.1,8.3,6.8
35,1,VF_SHSS-6,VF,SH,SHSS,1,6,5,165,Summer,5,6/17/2019,2019,6,17,SH,80,85,69,8.7,9.9,13
35,1,VF_SHSS-6,VF,SS,SHSS,1,6,5,165,Summer,5,6/17/2019,2019,6,17,SS,85,90,100,6.8,5.8,5.9
36,1,VF_SHVB-6,VF,SH,SHVB,1,6,6,166,Summer,5,6/17/2019,2019,6,17,SH,100,64,57,12.4,14.2,13.5
36,1,VF_SHVB-6,VF,VB,SHVB,1,6,6,166,Summer,5,6/17/2019,2019,6,17,VB,97,83,112,11.1,12.9,20.4
37,4,FO_SS-1,FO,SS,SS,2,1,1,211,Summer,5,6/17/2019,2019,6,17,SS,70,93,88,8.4,12.6,8
38,4,FO_SHSS-1,FO,SH,SHSS,2,1,2,212,Summer,5,6/17/2019,2019,6,17,SH,74,68,92,15.4,13.2,6.4
38,4,FO_SHSS-1,FO,SS,SHSS,2,1,2,212,Summer,5,6/17/2019,2019,6,17,SS,122,110,100,8.4,5,8.6
39,4,FO_SHVB-1,FO,SH,SHVB,2,1,3,213,Summer,5,6/17/2019,2019,6,17,SH,92,102,99,13.4,13.4,17.9
39,4,FO_SHVB-1,FO,VB,SHVB,2,1,3,213,Summer,5,6/17/2019,2019,6,17,VB,187,183,57,15,9.7,11
40,4,FO_SSVB-1,FO,SS,SSVB,2,1,4,214,Summer,5,6/17/2019,2019,6,17,SS,122,130,132,6.5,9.2,8.9
40,4,FO_SSVB-1,FO,VB,SSVB,2,1,4,214,Summer,5,6/17/2019,2019,6,17,VB,149,145,76,20.4,12,14.5
41,4,FO_SH-1,FO,SH,SH,2,1,5,215,Summer,5,6/17/2019,2019,6,17,SH,94,110,103,8.2,17.9,11.6
42,4,FO_VB-1,FO,VB,VB,2,1,6,216,Summer,5,6/17/2019,2019,6,17,VB,74,132,70,29,16,23.7
43,4,FO_VB-2,FO,VB,VB,2,2,1,221,Summer,5,6/17/2019,2019,6,17,VB,194,70,58,28.9,11.3,34.6
44,4,FO_SSVB-2,FO,SS,SSVB,2,2,2,222,Summer,5,6/17/2019,2019,6,17,SS,114,122,130,9.6,5.4,5.8
44,4,FO_SSVB-2,FO,VB,SSVB,2,2,2,222,Summer,5,6/17/2019,2019,6,17,VB,178,174,122,13.7,15.6,6.1
45,4,FO_SS-2,FO,SS,SS,2,2,3,223,Summer,5,6/17/2019,2019,6,17,SS,113,134,130,7.2,9.5,6
46,4,FO_SH-2,FO,SH,SH,2,2,4,224,Summer,5,6/17/2019,2019,6,17,SH,99,103,113,17,20.3,15.8
47,4,FO_SHVB-2,FO,SH,SHVB,2,2,5,225,Summer,5,6/17/2019,2019,6,17,SH,107,113,95,17.2,11.7,15.3
47,4,FO_SHVB-2,FO,VB,SHVB,2,2,5,225,Summer,5,6/17/2019,2019,6,17,VB,147,150,32,26.8,29.7,11.3
48,4,FO_SHSS-2,FO,SH,SHSS,2,2,6,226,Summer,5,6/17/2019,2019,6,17,SH,100,104,99,13.8,8.8,19.5
48,4,FO_SHSS-2,FO,SS,SHSS,2,2,6,226,Summer,5,6/17/2019,2019,6,17,SS,122,146,143,6.4,6.1,7.5
49,4,FO_SH-3,FO,SH,SH,2,3,1,231,Summer,5,6/17/2019,2019,6,17,SH,90,88,112,23.3,15.2,18.7
50,4,FO_SHVB-3,FO,SH,SHVB,2,3,2,232,Summer,5,6/17/2019,2019,6,17,SH,87,94,96,10.7,11.1,9.1
50,4,FO_SHVB-3,FO,VB,SHVB,2,3,2,232,Summer,5,6/17/2019,2019,6,17,VB,140,130,62,21.9,30.3,28.4
51,4,FO_VB-3,FO,VB,VB,2,3,3,233,Summer,5,6/17/2019,2019,6,17,VB,116,90,92,26.1,26.1,25.3
52,4,FO_SHSS-3,FO,SH,SHSS,2,3,4,234,Summer,5,6/17/2019,2019,6,17,SH,97,98,103,6.9,14.9,23.5
52,4,FO_SHSS-3,FO,SS,SHSS,2,3,4,234,Summer,5,6/17/2019,2019,6,17,SS,112,130,153,8.4,5.4,8.2
53,4,FO_SS-3,FO,SS,SS,2,3,5,235,Summer,5,6/17/2019,2019,6,17,SS,122,130,105,7.6,4.7,6
54,4,FO_SSVB-3,FO,SS,SSVB,2,3,6,236,Summer,5,6/17/2019,2019,6,17,SS,115,140,112,5.7,5.3,10.2
54,4,FO_SSVB-3,FO,VB,SSVB,2,3,6,236,Summer,5,6/17/2019,2019,6,17,VB,166,105,114,23.4,16.5,22.5
55,4,FO_SHSS-4,FO,SH,SHSS,2,4,1,241,Summer,5,6/17/2019,2019,6,17,SH,91,86,82,13.4,20.5,10.9
55,4,FO_SHSS-4,FO,SS,SHSS,2,4,1,241,Summer,5,6/17/2019,2019,6,17,SS,110,113,115,6.8,4.6,8.1
56,4,FO_SH-4,FO,SH,SH,2,4,2,242,Summer,5,6/17/2019,2019,6,17,SH,90,83,87,13,17.8,12.9
57,4,FO_SSVB-4,FO,SS,SSVB,2,4,3,243,Summer,5,6/17/2019,2019,6,17,SS,136,130,133,6.6,6.4,4.2
57,4,FO_SSVB-4,FO,VB,SSVB,2,4,3,243,Summer,5,6/17/2019,2019,6,17,VB,87,137,32,5.7,18.7,5.8
58,4,FO_SS-4,FO,SS,SS,2,4,4,244,Summer,5,6/17/2019,2019,6,17,SS,132,88,113,6.3,11.2,6.9
59,4,FO_VB-4,FO,VB,VB,2,4,5,245,Summer,5,6/17/2019,2019,6,17,VB,87,87,78,10.7,20.9,31.6
60,4,FO_SHVB-4,FO,SH,SHVB,2,4,6,246,Summer,5,6/17/2019,2019,6,17,SH,87,92,88,14.6,11,15
60,4,FO_SHVB-4,FO,VB,SHVB,2,4,6,246,Summer,5,6/17/2019,2019,6,17,VB,61,163,50,21.6,17.5,21.5
61,4,FO_SHVB-5,FO,SH,SHVB,2,5,1,251,Summer,5,6/17/2019,2019,6,17,SH,70,60,78,12.1,16,14.4
61,4,FO_SHVB-5,FO,VB,SHVB,2,5,1,251,Summer,5,6/17/2019,2019,6,17,VB,140,116,60,26.9,7.1,14.7
62,4,FO_SS-5,FO,SS,SS,2,5,2,252,Summer,5,6/17/2019,2019,6,17,SS,86,80,90,5.5,4.3,7.8
63,4,FO_SHSS-5,FO,SH,SHSS,2,5,3,253,Summer,5,6/17/2019,2019,6,17,SH,89,69,79,16,17.1,14.7
63,4,FO_SHSS-5,FO,SS,SHSS,2,5,3,253,Summer,5,6/17/2019,2019,6,17,SS,95,100,100,4.7,6.5,6.8
64,4,FO_VB-5,FO,VB,VB,2,5,4,254,Summer,5,6/17/2019,2019,6,17,VB,97,76,66,27.7,21.1,22.6
65,4,FO_SSVB-5,FO,SS,SSVB,2,5,5,255,Summer,5,6/17/2019,2019,6,17,SS,90,75,70,5.1,5,8.3
65,4,FO_SSVB-5,FO,VB,SSVB,2,5,5,255,Summer,5,6/17/2019,2019,6,17,VB,130,82,85,15.7,9.2,18.1
66,4,FO_SH-5,FO,SH,SH,2,5,6,256,Summer,5,6/17/2019,2019,6,17,SH,90,92,79,12.6,13.4,18.3
67,4,FO_SSVB-6,FO,SS,SSVB,2,6,1,261,Summer,5,6/17/2019,2019,6,17,SS,88,60,85,9.1,8.7,7.6
67,4,FO_SSVB-6,FO,VB,SSVB,2,6,1,261,Summer,5,6/17/2019,2019,6,17,VB,65,40,109,22.4,25.4,24.3
68,4,FO_VB-6,FO,VB,VB,2,6,2,262,Summer,5,6/17/2019,2019,6,17,VB,55,62,176,23.7,28,15.2
69,4,FO_SH-6,FO,SH,SH,2,6,3,263,Summer,5,6/17/2019,2019,6,17,SH,89,79,52,10.2,11.3,11
70,4,FO_SHVB-6,FO,VB,SHVB,2,6,4,264,Summer,5,6/17/2019,2019,6,17,VB,61,134,110,28.7,23.9,16.8
70,4,FO_SHVB-6,FO,SH,SHVB,2,6,4,264,Summer,5,6/17/2019,2019,6,17,SH,87,80,61,18.4,15.7,12.9
71,4,FO_SHSS-6,FO,SS,SHSS,2,6,5,265,Summer,5,6/17/2019,2019,6,17,SS,105,94,86,7.2,5.8,4.6
71,4,FO_SHSS-6,FO,SH,SHSS,2,6,5,265,Summer,5,6/17/2019,2019,6,17,SH,50,54,62,13,16.1,10.4
72,4,FO_SS-6,FO,SS,SS,2,6,6,266,Summer,5,6/17/2019,2019,6,17,SS,98,78,120,10.5,4.9,3.4
73,14,HH_SH-1,HH,SH,SH,3,1,1,311,Summer,5,6/17/2019,2019,6,17,SH,64,84,73,15.1,11.5,9.2
74,14,HH_SSVB-1,HH,SS,SSVB,3,1,2,312,Summer,5,6/17/2019,2019,6,17,SS,145,124,137,19.8,13.1,25.2
74,14,HH_SSVB-1,HH,VB,SSVB,3,1,2,312,Summer,5,6/17/2019,2019,6,17,VB,115,87,112,9.4,12.5,10.4
75,14,HH_SHVB-1,HH,SH,SHVB,3,1,3,313,Summer,5,6/17/2019,2019,6,17,SH,74,51,32,6,6.2,10.2
75,14,HH_SHVB-1,HH,VB,SHVB,3,1,3,313,Summer,5,6/17/2019,2019,6,17,VB,63,51,78,32.6,29.2,9.3
76,14,HH_SHSS-1,HH,SH,SHSS,3,1,4,314,Summer,5,6/17/2019,2019,6,17,SH,37,50,43,8.5,13,6.1
76,14,HH_SHSS-1,HH,SS,SHSS,3,1,4,314,Summer,5,6/17/2019,2019,6,17,SS,137,120,143,16,17.1,31.9
77,14,HH_VB-1,HH,VB,VB,3,1,5,315,Summer,5,6/17/2019,2019,6,17,VB,32,56,52,13.8,12.3,26.7
78,14,HH_SS-1,HH,SS,SS,3,1,6,316,Summer,5,6/17/2019,2019,6,17,SS,121,133,135,11.4,17.4,14.4
79,14,HH_VB-2,HH,VB,VB,3,2,1,321,Summer,5,6/17/2019,2019,6,17,VB,49,40,80,17.2,29.2,38.9
80,14,HH_SHSS-2,HH,SH,SHSS,3,2,2,322,Summer,5,6/17/2019,2019,6,17,SH,92,87,71,12,13.7,15.2
80,14,HH_SHSS-2,HH,SS,SHSS,3,2,2,322,Summer,5,6/17/2019,2019,6,17,SS,137,123,136,14.4,25.1,18.5
81,14,HH_SS-2,HH,SS,SS,3,2,3,323,Summer,5,6/17/2019,2019,6,17,SS,110,141,154,10.2,19.3,128
82,14,HH_SH-2,HH,SH,SH,3,2,4,324,Summer,5,6/17/2019,2019,6,17,SH,,,,,,
83,14,HH_SHVB-2,HH,SH,SHVB,3,2,5,325,Summer,5,6/17/2019,2019,6,17,SH,,,,,,
83,14,HH_SHVB-2,HH,VB,SHVB,3,2,5,325,Summer,5,6/17/2019,2019,6,17,VB,54,68,18,23.4,23.1,21
84,14,HH_SSVB-2,HH,SS,SSVB,3,2,6,326,Summer,5,6/17/2019,2019,6,17,SS,100,115,120,21.4,19.8,20.8
84,14,HH_SSVB-2,HH,VB,SSVB,3,2,6,326,Summer,5,6/17/2019,2019,6,17,VB,27,14,10,14.1,16.1,17
85,14,HH_SHSS-3,HH,SH,SHSS,3,3,1,331,Summer,5,6/17/2019,2019,6,17,SH,73,76,93,8.1,6.1,4
85,14,HH_SHSS-3,HH,SS,SHSS,3,3,1,331,Summer,5,6/17/2019,2019,6,17,SS,142,148,106,11.7,26.4,17.8
86,14,HH_SHVB-3,HH,SH,SHVB,3,3,2,332,Summer,5,6/17/2019,2019,6,17,SH,92,36,68,13.4,11.7,10.4
86,14,HH_SHVB-3,HH,VB,SHVB,3,3,2,332,Summer,5,6/17/2019,2019,6,17,VB,73,25,24,31.3,33.5,23.2
87,14,HH_SSVB-3,HH,SS,SSVB,3,3,3,333,Summer,5,6/17/2019,2019,6,17,SS,170,148,149,30.4,18.5,10.9
87,14,HH_SSVB-3,HH,VB,SSVB,3,3,3,333,Summer,5,6/17/2019,2019,6,17,VB,157,110,80,14.8,8,15.3
88,14,HH_VB-3,HH,VB,VB,3,3,4,334,Summer,5,6/17/2019,2019,6,17,VB,165,65,54,28.4,13.9,14.5
89,14,HH_SS-3,HH,SS,SS,3,3,5,335,Summer,5,6/17/2019,2019,6,17,SS,119,139,120,12.9,19.6,21
90,14,HH_SH-3,HH,SH,SH,3,3,6,336,Summer,5,6/17/2019,2019,6,17,SH,,,,,,
91,14,HH_SS-4,HH,SS,SS,3,4,1,341,Summer,5,6/17/2019,2019,6,17,SS,141,133,147,23.3,11.2,21.7
92,14,HH_SH-4,HH,SH,SH,3,4,2,342,Summer,5,6/17/2019,2019,6,17,SH,,,,,,
93,14,HH_VB-4,HH,VB,VB,3,4,3,343,Summer,5,6/17/2019,2019,6,17,VB,40,30,68,28.4,35.9,16.5
94,14,HH_SHVB-4,HH,SH,SHVB,3,4,4,344,Summer,5,6/17/2019,2019,6,17,SH,,,,,,
94,14,HH_SHVB-4,HH,VB,SHVB,3,4,4,344,Summer,5,6/17/2019,2019,6,17,VB,27,42,50,15.6,11.2,16.6
95,14,HH_SSVB-4,HH,SS,SSVB,3,4,5,345,Summer,5,6/17/2019,2019,6,17,SS,152,139,122,20.7,15.6,28.8
95,14,HH_SSVB-4,HH,VB,SSVB,3,4,5,345,Summer,5,6/17/2019,2019,6,17,VB,32,37,30,7.2,11,10.9
96,14,HH_SHSS-4,HH,SH,SHSS,3,4,6,346,Summer,5,6/17/2019,2019,6,17,SH,,,,,,
96,14,HH_SHSS-4,HH,SS,SHSS,3,4,6,346,Summer,5,6/17/2019,2019,6,17,SS,114,146,123,22.9,19.3,15.9
97,14,HH_SSVB-5,HH,SS,SSVB,3,5,1,351,Summer,5,6/17/2019,2019,6,17,SS,123,100,135,17.9,22.3,18
97,14,HH_SSVB-5,HH,VB,SSVB,3,5,1,351,Summer,5,6/17/2019,2019,6,17,VB,25,18,37,11.2,13.9,6.7
98,14,HH_VB-5,HH,VB,VB,3,5,2,352,Summer,5,6/17/2019,2019,6,17,VB,37,30,51,33.5,36.4,13.9
99,14,HH_SHSS-5,HH,SH,SHSS,3,5,3,353,Summer,5,6/17/2019,2019,6,17,SH,,,,,,
99,14,HH_SHSS-5,HH,SS,SHSS,3,5,3,353,Summer,5,6/17/2019,2019,6,17,SS,140,122,85,22.6,30.4,26.9
100,14,HH_SS-5,HH,SS,SS,3,5,4,354,Summer,5,6/17/2019,2019,6,17,SS,137,190,164,17,20.4,20.1
101,14,HH_SH-5,HH,SH,SH,3,5,5,355,Summer,5,6/17/2019,2019,6,17,SH,,,,,,
102,14,HH_SHVB-5,HH,SH,SHVB,3,5,6,356,Summer,5,6/17/2019,2019,6,17,SH,,,,,,
102,14,HH_SHVB-5,HH,VB,SHVB,3,5,6,356,Summer,5,6/17/2019,2019,6,17,VB,10,10,,12.1,13.2,
103,14,HH_SHVB-6,HH,SH,SHVB,3,6,1,361,Summer,5,6/17/2019,2019,6,17,SH,89,107,113,15.5,7.4,21.9
103,14,HH_SHVB-6,HH,VB,SHVB,3,6,1,361,Summer,5,6/17/2019,2019,6,17,VB,54,20,36,22.4,14.6,16.4
104,14,HH_SS-6,HH,SS,SS,3,6,2,362,Summer,5,6/17/2019,2019,6,17,SS,105,95,110,17.9,4.2,25.7
105,14,HH_SH-6,HH,SH,SH,3,6,3,363,Summer,5,6/17/2019,2019,6,17,SH,,,,,,
106,14,HH_SSVB-6,HH,SS,SSVB,3,6,4,364,Summer,5,6/17/2019,2019,6,17,SS,,,,,,
106,14,HH_SSVB-6,HH,VB,SSVB,3,6,4,364,Summer,5,6/17/2019,2019,6,17,VB,,,,,,
107,14,HH_SHSS-6,HH,SH,SHSS,3,6,5,365,Summer,5,6/17/2019,2019,6,17,SH,,,,,,
107,14,HH_SHSS-6,HH,SS,SHSS,3,6,5,365,Summer,5,6/17/2019,2019,6,17,SS,139,105,,19.2,16.4,
108,14,HH_VB-6,HH,VB,VB,3,6,6,366,Summer,5,6/17/2019,2019,6,17,VB,10,10,,12.1,3.2,
109,15,OC_SHSS-1,OC,SH,SHSS,4,1,1,411,Summer,5,6/17/2019,2019,6,17,SH,114,95,112,13.2,17.2,7.6
109,15,OC_SHSS-1,OC,SS,SHSS,4,1,1,411,Summer,5,6/17/2019,2019,6,17,SS,182,166,164,24.9,25.9,18.1
110,15,OC_SS-1,OC,SS,SS,4,1,2,412,Summer,5,6/17/2019,2019,6,17,SS,163,199,190,16,43.7,40.3
111,15,OC_SH-1,OC,SH,SH,4,1,3,413,Summer,5,6/17/2019,2019,6,17,SH,106,111,107,10.9,13,19.3
112,15,OC_SSVB-1,OC,SS,SSVB,4,1,4,414,Summer,5,6/17/2019,2019,6,17,SS,164,185,167,10.4,16.4,14.3
112,15,OC_SSVB-1,OC,VB,SSVB,4,1,4,414,Summer,5,6/17/2019,2019,6,17,VB,193,163,64,19.5,9.5,21.3
113,15,OC_VB-1,OC,VB,VB,4,1,5,415,Summer,5,6/17/2019,2019,6,17,VB,106,122,114,30.6,13.8,24.4
114,15,OC_SHVB-1,OC,SH,SHVB,4,1,6,415,Summer,5,6/17/2019,2019,6,17,SH,115,109,120,10.4,9.8,10.4
114,15,OC_SHVB-1,OC,VB,SHVB,4,1,6,416,Summer,5,6/17/2019,2019,6,17,VB,163,183,172,21.9,9.1,9.9
115,15,OC_SHVB-2,OC,SH,SHVB,4,2,1,421,Summer,5,6/17/2019,2019,6,17,SH,110,117,102,14.3,13.7,9.2
115,15,OC_SHVB-2,OC,VB,SHVB,4,2,1,421,Summer,5,6/17/2019,2019,6,17,VB,69,150,150,11.7,9,16.6
116,15,OC_VB-2,OC,VB,VB,4,2,2,422,Summer,5,6/17/2019,2019,6,17,VB,104,117,65,26.1,25,22
117,15,OC_SHSS-2,OC,SH,SHSS,4,2,3,423,Summer,5,6/17/2019,2019,6,17,SH,105,115,123,10.1,17.7,17.2
117,15,OC_SHSS-2,OC,SS,SHSS,4,2,3,423,Summer,5,6/17/2019,2019,6,17,SS,151,191,182,16.5,15.4,7.5
118,15,OC_SS-2,OC,SS,SS,4,2,4,424,Summer,5,6/17/2019,2019,6,17,SS,184,170,162,24,17.7,13.9
119,15,OC_SSVB-2,OC,SS,SSVB,4,2,5,425,Summer,5,6/17/2019,2019,6,17,SS,172,143,181,27.4,13.4,15.5
119,15,OC_SSVB-2,OC,VB,SSVB,4,2,5,425,Summer,5,6/17/2019,2019,6,17,VB,169,179,187,14.5,18.5,16.4
120,15,OC_SH-2,OC,SH,SH,4,2,6,426,Summer,5,6/17/2019,2019,6,17,SH,124,135,114,11.3,12,14.1
121,15,OC_SSVB-3,OC,SS,SSVB,4,3,1,431,Summer,5,6/17/2019,2019,6,17,SS,173,1.52,125,20.1,26.7,25.3
121,15,OC_SSVB-3,OC,VB,SSVB,4,3,1,431,Summer,5,6/17/2019,2019,6,17,VB,183,140,166,15.5,14.8,20.7
122,15,OC_SH-3,OC,SH,SH,4,3,2,432,Summer,5,6/17/2019,2019,6,17,SH,116,105,112,4.4,9,12.6
123,15,OC_VB-3,OC,VB,VB,4,3,3,433,Summer,5,6/17/2019,2019,6,17,VB,80,189,133,16.4,8.8,34.7
124,15,OC_SHVB-3,OC,SH,SHVB,4,3,4,434,Summer,5,6/17/2019,2019,6,17,SH,118,113,119,11.5,19.6,8.5
124,15,OC_SHVB-3,OC,VB,SHVB,4,3,4,434,Summer,5,6/17/2019,2019,6,17,VB,134,178,93,10.3,12,24.2
125,15,OC_SHSS-3,OC,SH,SHSS,4,3,5,435,Summer,5,6/17/2019,2019,6,17,SH,133,111,107,10.6,15.8,12.9
125,15,OC_SHSS-3,OC,SS,SHSS,4,3,5,435,Summer,5,6/17/2019,2019,6,17,SS,190,195,180,30.4,30.2,32.4
126,15,OC_SS-3,OC,SS,SS,4,3,6,436,Summer,5,6/17/2019,2019,6,17,SS,171,180,198,14.8,22.7,22.1
127,15,OC_SH-4,OC,SH,SH,4,4,1,441,Summer,5,6/17/2019,2019,6,17,SH,122,108,131,11,18.7,17.4
128,15,OC_SSVB-4,OC,SS,SSVB,4,4,2,442,Summer,5,6/17/2019,2019,6,17,SS,142,155,122,28,31.1,19.7
128,15,OC_SSVB-4,OC,VB,SSVB,4,4,2,442,Summer,5,6/17/2019,2019,6,17,VB,132,122,,11.7,10.8,
