PlotID,Block,SiteName,PlotName,Location,CropName,CropTrt,SiteNum,RowNumber,ColNum,Position,SamplingDate,SamplingWeek,Year,Month,Day ,StandCount_Q1,StandCount_Q2,StandCount_Q3,StandCount_Avg
50,4,FO,FO_SHVB-3,FO,SH,SHVB,2,3,2,232,7/18/2019,8,2019,7,10,29,29,30,29
50,4,FO,FO_SHVB-3,FO,VB,SHVB,2,3,2,232,7/18/2019,8,2019,7,10,1,0,2,1
51,4,FO,FO_VB-3,FO,VB,VB,2,3,3,233,7/18/2019,8,2019,7,10,1,3,3,2
52,4,FO,FO_SHSS-3,FO,SH,SHSS,2,3,4,234,7/18/2019,8,2019,7,10,17,21,8,15
52,4,FO,FO_SHSS-3,FO,SS,SHSS,2,3,4,234,7/18/2019,8,2019,7,10,30,43,37,37
53,4,FO,FO_SS-3,FO,SS,SS,2,3,5,235,7/18/2019,8,2019,7,10,112,92,73,92
54,4,FO,FO_SSVB-3,FO,SS,SSVB,2,3,6,236,7/18/2019,8,2019,7,10,68,33,42,48
54,4,FO,FO_SSVB-3,FO,VB,SSVB,2,3,6,236,7/18/2019,8,2019,7,10,2,1,3,2
55,4,FO,FO_SHSS-4,FO,SH,SHSS,2,4,1,241,7/18/2019,8,2019,7,10,20,17,16,18
55,4,FO,FO_SHSS-4,FO,SS,SHSS,2,4,1,241,7/18/2019,8,2019,7,10,34,42,52,43
56,4,FO,FO_SH-4,FO,SH,SH,2,4,2,242,7/18/2019,8,2019,7,10,35,42,27,35
57,4,FO,FO_SSVB-4,FO,SS,SSVB,2,4,3,243,7/18/2019,8,2019,7,10,37,53,51,47
57,4,FO,FO_SSVB-4,FO,VB,SSVB,2,4,3,243,7/18/2019,8,2019,7,10,1,2,1,1
58,4,FO,FO_SS-4,FO,SS,SS,2,4,4,244,7/18/2019,8,2019,7,10,61,72,90,74
59,4,FO,FO_VB-4,FO,VB,VB,2,4,5,245,7/18/2019,8,2019,7,10,3,3,3,3
60,4,FO,FO_SHVB-4,FO,SH,SHVB,2,4,6,246,7/18/2019,8,2019,7,10,19,8,9,12
60,4,FO,FO_SHVB-4,FO,VB,SHVB,2,4,6,246,7/18/2019,8,2019,7,10,2,4,3,3
61,4,FO,FO_SHVB-5,FO,SH,SHVB,2,5,1,251,7/18/2019,8,2019,7,10,47,25,25,32
61,4,FO,FO_SHVB-5,FO,VB,SHVB,2,5,1,251,7/18/2019,8,2019,7,10,3,2,2,2
62,4,FO,FO_SS-5,FO,SS,SS,2,5,2,252,7/18/2019,8,2019,7,10,118,83,93,98
63,4,FO,FO_SHSS-5,FO,SH,SHSS,2,5,3,253,7/18/2019,8,2019,7,10,16,48,19,28
63,4,FO,FO_SHSS-5,FO,SS,SHSS,2,5,3,253,7/18/2019,8,2019,7,10,66,83,42,64
64,4,FO,FO_VB-5,FO,VB,VB,2,5,4,254,7/18/2019,8,2019,7,10,2,4,4,3
65,4,FO,FO_SSVB-5,FO,SS,SSVB,2,5,5,255,7/18/2019,8,2019,7,10,45,57,65,56
65,4,FO,FO_SSVB-5,FO,VB,SSVB,2,5,5,255,7/18/2019,8,2019,7,10,2,1,3,2
66,4,FO,FO_SH-5,FO,SH,SH,2,5,6,256,7/18/2019,8,2019,7,10,32,28,17,26
67,4,FO,FO_SSVB-6,FO,SS,SSVB,2,6,1,261,7/18/2019,8,2019,7,11,5,29,4,13
67,4,FO,FO_SSVB-6,FO,VB,SSVB,2,6,1,261,7/18/2019,8,2019,7,11,1,3,0,1
68,4,FO,FO_VB-6,FO,VB,VB,2,6,2,262,7/18/2019,8,2019,7,11,4,3,2,3
69,4,FO,FO_SH-6,FO,SH,SH,2,6,3,263,7/18/2019,8,2019,7,11,38,36,87,54
70,4,FO,FO_SHVB-6,FO,VB,SHVB,2,6,4,264,7/18/2019,8,2019,7,11,15,26,Blank,21
70,4,FO,FO_SHVB-6,FO,SH,SHVB,2,6,4,264,7/18/2019,8,2019,7,11,2,2,1,2
71,4,FO,FO_SHSS-6,FO,SS,SHSS,2,6,5,265,7/18/2019,8,2019,7,11,21,3,6,10
71,4,FO,FO_SHSS-6,FO,SH,SHSS,2,6,5,265,7/18/2019,8,2019,7,11,52,49,47,49
72,4,FO,FO_SS-6,FO,SS,SS,2,6,6,266,7/18/2019,8,2019,7,11,47,47,63,52
73,14,HH,HH_SH-1,HH,SH,SH,3,1,1,311,7/18/2019,9,2019,7,17,21,22,36,26
74,14,HH,HH_SSVB-1,HH,SS,SSVB,3,1,2,312,7/18/2019,9,2019,7,17,21,42,24,29
74,14,HH,HH_SSVB-1,HH,VB,SSVB,3,1,2,312,7/18/2019,9,2019,7,17,2,3,0,2
75,14,HH,HH_SHVB-1,HH,SH,SHVB,3,1,3,313,7/18/2019,9,2019,7,17,9,11,5,8
75,14,HH,HH_SHVB-1,HH,VB,SHVB,3,1,3,313,7/18/2019,9,2019,7,17,3,3,3,3
76,14,HH,HH_SHSS-1,HH,SH,SHSS,3,1,4,314,7/18/2019,9,2019,7,17,8,11,18,12
76,14,HH,HH_SHSS-1,HH,SS,SHSS,3,1,4,314,7/18/2019,9,2019,7,17,11,25,39,25
77,14,HH,HH_VB-1,HH,VB,VB,3,1,5,315,7/18/2019,9,2019,7,17,5,1,4,3
78,14,HH,HH_SS-1,HH,SS,SS,3,1,6,316,7/18/2019,9,2019,7,17,22,39,12,24
79,14,HH,HH_VB-2,HH,VB,VB,3,2,1,321,7/18/2019,9,2019,7,17,1,5,5,4
80,14,HH,HH_SHSS-2,HH,SH,SHSS,3,2,2,322,7/18/2019,9,2019,7,17,7,33,18,19
80,14,HH,HH_SHSS-2,HH,SS,SHSS,3,2,2,322,7/18/2019,9,2019,7,17,10,14,20,15
81,14,HH,HH_SS-2,HH,SS,SS,3,2,3,323,7/18/2019,9,2019,7,17,100,48,55,68
82,14,HH,HH_SH-2,HH,SH,SH,3,2,4,324,7/18/2019,9,2019,7,17,8,16,8,11
83,14,HH,HH_SHVB-2,HH,SH,SHVB,3,2,5,325,7/18/2019,9,2019,7,17,0,4,1,2
83,14,HH,HH_SHVB-2,HH,VB,SHVB,3,2,5,325,7/18/2019,9,2019,7,17,0,1,1,1
84,14,HH,HH_SSVB-2,HH,SS,SSVB,3,2,6,326,7/18/2019,9,2019,7,17,15,10,6,10
84,14,HH,HH_SSVB-2,HH,VB,SSVB,3,2,6,326,7/18/2019,9,2019,7,17,1,0,0,0
85,14,HH,HH_SHSS-3,HH,SH,SHSS,3,3,1,331,7/18/2019,9,2019,7,17,16,16,14,15
85,14,HH,HH_SHSS-3,HH,SS,SHSS,3,3,1,331,7/18/2019,9,2019,7,17,13,27,14,18
86,14,HH,HH_SHVB-3,HH,SH,SHVB,3,3,2,332,7/18/2019,9,2019,7,17,8,6,18,11
86,14,HH,HH_SHVB-3,HH,VB,SHVB,3,3,2,332,7/18/2019,9,2019,7,17,0,3,2,2
87,14,HH,HH_SSVB-3,HH,SS,SSVB,3,3,3,333,7/18/2019,9,2019,7,17,22,32,31,28
87,14,HH,HH_SSVB-3,HH,VB,SSVB,3,3,3,333,7/18/2019,9,2019,7,17,0,2,1,1
88,14,HH,HH_VB-3,HH,VB,VB,3,3,4,334,7/18/2019,9,2019,7,17,3,2,1,2
89,14,HH,HH_SS-3,HH,SS,SS,3,3,5,335,7/18/2019,9,2019,7,17,23,68,33,41
90,14,HH,HH_SH-3,HH,SH,SH,3,3,6,336,7/18/2019,9,2019,7,17,0,0,0,0
91,14,HH,HH_SS-4,HH,SS,SS,3,4,1,341,7/18/2019,9,2019,7,17,61,31,9,34
92,14,HH,HH_SH-4,HH,SH,SH,3,4,2,342,7/18/2019,9,2019,7,17,5,1,1,2
93,14,HH,HH_VB-4,HH,VB,VB,3,4,3,343,7/18/2019,9,2019,7,17,3,2,3,3
94,14,HH,HH_SHVB-4,HH,SH,SHVB,3,4,4,344,7/18/2019,9,2019,7,17,3,3,1,2
94,14,HH,HH_SHVB-4,HH,VB,SHVB,3,4,4,344,7/18/2019,9,2019,7,17,0,4,1,2
95,14,HH,HH_SSVB-4,HH,SS,SSVB,3,4,5,345,7/18/2019,9,2019,7,17,36,13,9,19
95,14,HH,HH_SSVB-4,HH,VB,SSVB,3,4,5,345,7/18/2019,9,2019,7,17,4,0,2,2
96,14,HH,HH_SHSS-4,HH,SH,SHSS,3,4,6,346,7/18/2019,9,2019,7,17,0,3,1,1
96,14,HH,HH_SHSS-4,HH,SS,SHSS,3,4,6,346,7/18/2019,9,2019,7,17,19,26,10,18
97,14,HH,HH_SSVB-5,HH,SS,SSVB,3,5,1,351,7/18/2019,9,2019,7,17,22,25,30,26
97,14,HH,HH_SSVB-5,HH,VB,SSVB,3,5,1,351,7/18/2019,9,2019,7,17,2,3,1,2
98,14,HH,HH_VB-5,HH,VB,VB,3,5,2,352,7/18/2019,9,2019,7,17,4,2,5,4
99,14,HH,HH_SHSS-5,HH,SH,SHSS,3,5,3,353,7/18/2019,9,2019,7,17,2,0,9,4
99,14,HH,HH_SHSS-5,HH,SS,SHSS,3,5,3,353,7/18/2019,9,2019,7,17,12,30,29,24
100,14,HH,HH_SS-5,HH,SS,SS,3,5,4,354,7/18/2019,9,2019,7,17,68,66,71,68
101,14,HH,HH_SH-5,HH,SH,SH,3,5,5,355,7/18/2019,9,2019,7,17,0,0,0,0
102,14,HH,HH_SHVB-5,HH,SH,SHVB,3,5,6,356,7/18/2019,9,2019,7,17,3,0,2,2
102,14,HH,HH_SHVB-5,HH,VB,SHVB,3,5,6,356,7/18/2019,9,2019,7,17,0,0,1,0
103,14,HH,HH_SSVB-6,HH,SH,SSVB,3,6,1,361,7/18/2019,9,2019,7,18,32,23,21,25
103,14,HH,HH_SSVB-6,HH,VB,SSVB,3,6,1,361,7/18/2019,9,2019,7,18,2,1,3,2
104,14,HH,HH_SS-6,HH,SS,SS,3,6,2,362,7/18/2019,9,2019,7,18,66,32,33,44
105,14,HH,HH_SH-6,HH,SH,SH,3,6,3,363,7/18/2019,9,2019,7,18,0,1,0,0
106,14,HH,HH_SHVB-6,HH,SS,SHVB,3,6,4,364,7/18/2019,9,2019,7,18,1,0,0,0
106,14,HH,HH_SHVB-6,HH,VB,SHVB,3,6,4,364,7/18/2019,9,2019,7,18,0,2,0,1
107,14,HH,HH_SHSS-6,HH,SH,SHSS,3,6,5,365,7/18/2019,9,2019,7,18,2,3,0,2
107,14,HH,HH_SHSS-6,HH,SS,SHSS,3,6,5,365,7/18/2019,9,2019,7,18,21,22,15,19
108,14,HH,HH_VB-6,HH,VB,VB,3,6,6,366,7/18/2019,9,2019,7,18,0,2,0,1
109,15,OC,OC_SHSS-1,OC,SH,SHSS,4,1,1,411,7/18/2019,9,2019,7,19,15,38,13,22
109,15,OC,OC_SHSS-1,OC,SS,SHSS,4,1,1,411,7/18/2019,9,2019,7,19,20,78,18,39
110,15,OC,OC_SS-1,OC,SS,SS,4,1,2,412,7/18/2019,9,2019,7,19,60,56,26,47
111,15,OC,OC_SH-1,OC,SH,SH,4,1,3,413,7/18/2019,9,2019,7,19,19,6,21,15
112,15,OC,OC_SSVB-1,OC,SS,SSVB,4,1,4,414,7/18/2019,9,2019,7,19,52,37,23,37
112,15,OC,OC_SSVB-1,OC,VB,SSVB,4,1,4,414,7/18/2019,9,2019,7,19,0,0,1,0
113,15,OC,OC_VB-1,OC,VB,VB,4,1,5,415,7/18/2019,9,2019,7,19,2,3,3,3
114,15,OC,OC_SHVB-1,OC,SH,SH,4,1,6,415,7/18/2019,9,2019,7,19,26,6,25,19
114,15,OC,OC_SHVB-1,OC,VB,VB,4,1,6,416,7/18/2019,9,2019,7,19,0,1,3,1
115,15,OC,OC_SHVB-2,OC,SH,SHVB,4,2,1,421,7/18/2019,9,2019,7,19,20,21,12,18
115,15,OC,OC_SHVB-2,OC,VB,SHVB,4,2,1,421,7/18/2019,9,2019,7,19,1,1,1,1
116,15,OC,OC_VB-2,OC,VB,VB,4,2,2,422,7/18/2019,9,2019,7,19,3,4,3,3
117,15,OC,OC_SHSS-2,OC,SH,SH,4,2,3,423,7/18/2019,9,2019,7,19,23,7,18,16
117,15,OC,OC_SHSS-2,OC,SS,SHSS,4,2,3,423,7/18/2019,9,2019,7,19,42,9,16,22
118,15,OC,OC_SS-2,OC,SS,SHSS,4,2,4,424,7/18/2019,9,2019,7,19,42,54,37,44
119,15,OC,OC_SH-2,OC,SS,SH,4,2,5,425,7/18/2019,9,2019,7,19,55,43,27,42
120,15,OC,OC_SSVB-2,OC,VB,SSVB,4,2,5,425,7/18/2019,9,2019,7,19,24,18,12,18
120,15,OC,OC_SSVB-2,OC,SH,SSVB,4,2,6,426,7/18/2019,9,2019,7,19,0,2,0,1
121,15,OC,OC_SSVB-3,OC,SS,SSVB,4,3,1,431,7/18/2019,10,2019,7,22,26,21,11,19
121,15,OC,OC_SSVB-3,OC,VB,SSVB,4,3,1,431,7/18/2019,10,2019,7,22,3,2,1,2
122,15,OC,OC_SH-3,OC,SH,SH,4,3,2,432,7/18/2019,10,2019,7,22,12,12,39,21
123,15,OC,OC_VB-3,OC,VB,VB,4,3,3,433,7/18/2019,10,2019,7,22,2,3,3,3
124,15,OC,OC_SHVB-3,OC,SH,SHVB,4,3,4,434,7/18/2019,10,2019,7,22,19,21,32,24
124,15,OC,OC_SHVB-3,OC,VB,SHVB,4,3,4,434,7/18/2019,10,2019,7,22,4,0,2,2
125,15,OC,OC_SHSS-3,OC,SH,SHSS,4,3,5,435,7/18/2019,10,2019,7,22,23,16,21,20
125,15,OC,OC_SHSS-3,OC,SS,SHSS,4,3,5,435,7/18/2019,10,2019,7,22,33,54,28,38
126,15,OC,OC_SS-3,OC,SS,SS,4,3,6,436,7/18/2019,10,2019,7,22,79,57,50,62
127,15,OC,OC_SH-4,OC,SH,SH,4,4,1,441,7/18/2019,10,2019,7,22,14,36,29,26
128,15,OC,OC_SSVB-4,OC,SS,SSVB,4,4,2,442,7/18/2019,10,2019,7,22,14,17,13,15
128,15,OC,OC_SSVB-4,OC,VB,SSVB,4,4,2,442,7/18/2019,10,2019,7,22,1,0,0,0
129,15,OC,OC_SS-4,OC,SS,SS,4,4,3,443,7/18/2019,10,2019,7,22,27,31,31,30
130,15,OC,OC_VB-4,OC,VB,VB,4,4,4,444,7/18/2019,10,2019,7,22,4,4,2,3
131,15,OC,OC_SHVB-4,OC,SH,SHVB,4,4,5,445,7/18/2019,10,2019,7,22,17,30,15,21
131,15,OC,OC_SHVB-4,OC,VB,SHVB,4,4,5,445,7/18/2019,10,2019,7,22,0,0,0,0
132,15,OC,OC_SHSS-4,OC,SH,SHSS,4,4,6,446,7/18/2019,10,2019,7,22,18,14,14,15
132,15,OC,OC_SHSS-4,OC,SS,SHSS,4,4,6,446,7/18/2019,10,2019,7,22,27,43,17,29
133,15,OC,OC_VB-5,OC,VB,VB,4,5,1,451,7/18/2019,10,2019,7,22,1,2,1,1
134,15,OC,OC_SHSS-5,OC,SH,SHSS,4,5,2,452,7/18/2019,10,2019,7,23,27,19,38,28
134,15,OC,OC_SHSS-5,OC,SS,SHSS,4,5,2,452,7/18/2019,10,2019,7,23,9,0,10,6
135,15,OC,OC_SHVB-5,OC,VB,SHVB,4,5,3,453,7/18/2019,10,2019,7,23,0,0,2,1
135,15,OC,OC_SHVB-5,OC,SH,SHVB,4,5,3,453,7/18/2019,10,2019,7,23,19,23,31,24
136,15,OC,OC_SH-5,OC,SH,SH,4,5,4,454,7/18/2019,10,2019,7,23,51,39,40,43
137,15,OC,OC_SS-5,OC,SS,SS,4,5,5,455,7/18/2019,10,2019,7,23,34,36,30,33
138,15,OC,OC_SSVB-5,OC,VB,SSVB,4,5,6,456,7/18/2019,10,2019,7,23,0,0,0,0
138,15,OC,OC_SSVB-5,OC,SS,SSVB,4,5,6,456,7/18/2019,10,2019,7,23,22,19,20,20
139,15,OC,OC_SS-6,OC,SS,SS,4,6,1,461,7/18/2019,10,2019,7,23,53,43,55,50
140,15,OC,OC_SHVB-6,OC,SH,SHVB,4,6,2,462,7/18/2019,10,2019,7,23,17,19,17,18
140,15,OC,OC_SHVB-6,OC,VB,SHVB,4,6,2,462,7/18/2019,10,2019,7,23,0,1,1,1
141,15,OC,OC_SSVB-6,OC,SS,SSVB,4,6,3,463,7/18/2019,10,2019,7,23,38,34,18,30
141,15,OC,OC_SSVB-6,OC,VB,SSVB,4,6,3,463,7/18/2019,10,2019,7,23,0,2,1,1
142,15,OC,OC_SHSS-6,OC,SH,SHSS,4,6,4,464,7/18/2019,10,2019,7,23,16,13,16,15
142,15,OC,OC_SHSS-6,OC,SS,SHSS,4,6,4,464,7/18/2019,10,2019,7,23,12,19,5,12
143,15,OC,OC_SH-6,OC,SH,SH,4,6,5,465,7/18/2019,10,2019,7,23,48,30,36,38
144,15,OC,OC_VB-6,OC,VB,VB,4,6,6,466,7/18/2019,10,2019,7,23,1,0,1,1
