PlotID,Block,PlotName,Location,CropName,CropTrt,SiteNum,RowNumber,ColNum,Position,SampleWeek,SampleDate,Year,Month,Day,Hght_w6_cm,Hght_w6_cm,Hght_w6_cm,Chloro_w6_CCI,Chloro_w6_CCI,Chloro_w6_CCI,,,,,,,,,,,,,
9,1,VF_SSVB-2,VF,VB,SSVB,1,2,3,123,6,6/24/2019,2019,6,24,137+,162,177,24,17.6,14.3,,,,,,,,,,,,,
10,1,VF_SH-2,VF,SH,SH,1,2,4,124,6,6/24/2019,2019,6,24,130,111,105,13.8,12.7,12.4,,,,,,,,,,,,,
11,1,VF_VB-2,VF,VB,VB,1,2,5,125,6,6/24/2019,2019,6,24,155+,136+,148+,27.1,19.5,9.7,,,,,,,,,,,,,
12,1,VF_SHSS-2,VF,SH,SHSS,1,2,6,126,6,6/24/2019,2019,6,24,104,118,130,10.1,15.5,8.5,,,,,,,,,,,,,
12,1,VF_SHSS-2,VF,SS,SHSS,1,2,6,126,6,6/24/2019,2019,6,24,107,108,100,3.8,2.3,5.3,,,,,,,,,,,,,
13,1,VF_VB-3,VF,VB,VB,1,3,1,131,6,6/24/2019,2019,6,24,135+,110+,145+,12.1,8.5,12.9,,,,,,,,,,,,,
14,1,VF_SSVB-3,VF,SS,SSVB,1,3,2,132,6,6/24/2019,2019,6,24,134,145,156,5.4,4.3,4.4,,,,,,,,,,,,,
14,1,VF_SSVB-3,VF,VB,SSVB,1,3,2,132,6,6/24/2019,2019,6,24,149+,163+,110,11.3,15.7,16.4,,,,,,,,,,,,,
15,1,VF_SHVB-3,VF,SH,SHVB,1,3,3,133,6,6/24/2019,2019,6,24,122,116,140,13,13.2,15.9,,,,,,,,,,,,,
15,1,VF_SHVB-3,VF,VB,SHVB,1,3,3,133,6,6/24/2019,2019,6,24,181+,157,156+,10.2,18.2,19.2,,,,,,,,,,,,,
16,1,VF_SHSS-3,VF,SH,SHSS,1,3,4,134,6,6/24/2019,2019,6,24,122,110,130,12.9,12.8,7.1,,,,,,,,,,,,,
16,1,VF_SHSS-3,VF,SS,SHSS,1,3,4,134,6,6/24/2019,2019,6,24,106,122,91,3.9,5.3,6.6,,,,,,,,,,,,,
17,1,VF_SS-3,VF,SS,SS,1,3,5,135,6,6/24/2019,2019,6,24,112,116,108,5.1,3.4,4.2,,,,,,,,,,,,,
18,1,VF_SH-3,VF,SH,SH,1,3,6,136,6,6/24/2019,2019,6,24,112,1.31,122,10.4,12.3,12.5,,,,,,,,,,,,,
19,1,VF_SH-4,VF,SH,SH,1,4,1,141,6,6/24/2019,2019,6,24,112,116,110,13.8,9.9,11.9,,,,,,,,,,,,,
20,1,VF_SS-4,VF,SS,SS,1,4,2,142,6,6/24/2019,2019,6,24,88,70,90,3.5,3.9,3.8,,,,,,,,,,,,,
21,1,VF_SHSS-4,VF,SH,SHSS,1,4,3,143,6,6/24/2019,2019,6,24,121,120,130,7.8,11.5,15,,,,,,,,,,,,,
21,1,VF_SHSS-4,VF,SS,SHSS,1,4,3,143,6,6/24/2019,2019,6,24,122,130,135,5.4,3.7,4.5,,,,,,,,,,,,,
22,1,VF_VB-4,VF,VB,VB,1,4,4,144,6,6/24/2019,2019,6,24,130+,130+,215+,18.6,23,14,,,,,,,,,,,,,
23,1,VF_SHVB-4,VF,SH,SHVB,1,4,5,144,6,6/24/2019,2019,6,24,130,124,136,12.4,12,11.7,,,,,,,,,,,,,
23,1,VF_SHVB-4,VF,VB,SHVB,1,4,5,145,6,6/24/2019,2019,6,24,161,130,130+,21.9,17.5,15,,,,,,,,,,,,,
24,1,VF_SSVB-4,VF,SS,SSVB,1,4,6,146,6,6/24/2019,2019,6,24,130,139,115,5.8,4.5,6.8,,,,,,,,,,,,,
24,1,VF_SSVB-4,VF,VB,SSVB,1,4,6,146,6,6/24/2019,2019,6,24,146,130+,122+,12.1,10.7,14.2,,,,,,,,,,,,,
25,1,VF_SHVB-5,VF,SH,SHVB,1,5,1,151,6,6/24/2019,2019,6,24,102,113,131,23.3,12.2,14,,,,,,,,,,,,,
25,1,VF_SHVB-5,VF,VB,SHVB,1,5,1,151,6,6/24/2019,2019,6,24,134+,95+,110+,19.6,21.7,18,,,,,,,,,,,,,
26,1,VF_SHSS-5,VF,SH,SHSS,1,5,2,152,6,6/24/2019,2019,6,24,106,130,111,10.2,8.4,9.8,,,,,,,,,,,,,
26,1,VF_SHSS-5,VF,SS,SHSS,1,5,2,152,6,6/24/2019,2019,6,24,149,112,122,5.5,4.9,4.4,,,,,,,,,,,,,
27,1,VF_SS-5,VF,SS,SS,1,5,3,153,6,6/24/2019,2019,6,24,117,85,83,4.6,4.4,6.8,,,,,,,,,,,,,
28,1,VF_SSVB-5,VF,SS,SSVB,1,5,4,154,6,6/24/2019,2019,6,24,142,140,146,5.2,7.2,6.9,,,,,,,,,,,,,
28,1,VF_SSVB-5,VF,VB,SSVB,1,5,4,154,6,6/24/2019,2019,6,24,150,192+,181+,25.6,9.3,27.5,,,,,,,,,,,,,
29,1,VF_SH-5,VF,SH,SH,1,5,5,155,6,6/24/2019,2019,6,24,130,119,97,12.5,14.6,13.2,,,,,,,,,,,,,
30,1,VF_VB-5,VF,VB,VB,1,5,6,156,6,6/24/2019,2019,6,24,210+,140,145,17.6,15.5,29.8,,,,,,,,,,,,,
31,1,VF_SSVB-6,VF,SS,SSVB,1,6,1,161,6,6/24/2019,2019,6,24,95,106,105,3,4.8,4.2,,,,,,,,,,,,,
31,1,VF_SSVB-6,VF,VB,SSVB,1,6,1,161,6,6/24/2019,2019,6,24,144+,230+,120+,11.1,12.1,19.4,,,,,,,,,,,,,
32,1,VF_SH-6,VF,SH,SH,1,6,2,162,6,6/24/2019,2019,6,24,131,138,119,13.7,9.1,10.3,,,,,,,,,,,,,
33,1,VF_VB-6,VF,VB,VB,1,6,3,163,6,6/24/2019,2019,6,24,159,214+,120+,12.3,11.7,13.3,,,,,,,,,,,,,
34,1,VF_SS-6,VF,SS,SS,1,6,4,164,6,6/24/2019,2019,6,24,122,107,120,5.6,5.8,6.3,,,,,,,,,,,,,
35,1,VF_SHSS-6,VF,SH,SHSS,1,6,5,165,6,6/24/2019,2019,6,24,120,116,114,9.7,12.2,9.6,,,,,,,,,,,,,
35,1,VF_SHSS-6,VF,SS,SHSS,1,6,5,165,6,6/24/2019,2019,6,24,120,106,110,5.8,6.2,4.4,,,,,,,,,,,,,
36,1,VF_SHVB-6,VF,SH,SHVB,1,6,6,166,6,6/24/2019,2019,6,24,124,139,101,8.7,8.5,9.2,,,,,,,,,,,,,
36,1,VF_SHVB-6,VF,VB,SHVB,1,6,6,166,6,6/24/2019,2019,6,24,154,260+,122,15.1,18,16.4,,,,,,,,,,,,,
37,4,FO_SS-1,FO,SS,SS,2,1,1,211,6,6/24/2019,2019,6,24,118,103,90,6.5,6.1,5.1,,,,,,,,,,,,,
38,4,FO_SHSS-1,FO,SH,SHSS,2,1,2,212,6,6/24/2019,2019,6,24,112,120,133,15.3,14.4,17.2,,,,,,,,,,,,,
38,4,FO_SHSS-1,FO,SS,SHSS,2,1,2,212,6,6/24/2019,2019,6,24,109,120,90,7.5,10.8,8,,,,,,,,,,,,,
39,4,FO_SHVB-1,FO,SH,SHVB,2,1,3,213,6,6/24/2019,2019,6,24,107,120,138,23,12.3,11.2,,,,,,,,,,,,,
39,4,FO_SHVB-1,FO,VB,SHVB,2,1,3,213,6,6/24/2019,2019,6,24,162,197+,260+,16.5,16.2,10.4,,,,,,,,,,,,,
40,4,FO_SSVB-1,FO,SS,SSVB,2,1,4,214,6,6/24/2019,2019,6,24,143,132,150,6.8,10.2,4.9,,,,,,,,,,,,,
40,4,FO_SSVB-1,FO,VB,SSVB,2,1,4,214,6,6/24/2019,2019,6,24,230+,165+,164,12.2,22.8,10,,,,,,,,,,,,,
41,4,FO_SH-1,FO,SH,SH,2,1,5,215,6,6/24/2019,2019,6,24,120,108,122,15.9,14.2,17.6,,,,,,,,,,,,,
42,4,FO_VB-1,FO,VB,VB,2,1,6,216,6,6/24/2019,2019,6,24,218+,149,138,20.2,16.9,32.3,,,,,,,,,,,,,
43,4,FO_VB-2,FO,VB,VB,2,2,1,221,6,6/24/2019,2019,6,24,235+,221+,156,19.5,22.1,16.3,,,,,,,,,,,,,
44,4,FO_SSVB-2,FO,SS,SSVB,2,2,2,222,6,6/24/2019,2019,6,24,157,140,120,10.6,8.3,5.2,,,,,,,,,,,,,
44,4,FO_SSVB-2,FO,VB,SSVB,2,2,2,222,6,6/24/2019,2019,6,24,168+,181+,210+,32,25.2,22.6,,,,,,,,,,,,,
45,4,FO_SS-2,FO,SS,SS,2,2,3,223,6,6/24/2019,2019,6,24,146,137,131,6.6,6.5,5.8,,,,,,,,,,,,,
46,4,FO_SH-2,FO,SH,SH,2,2,4,224,6,6/24/2019,2019,6,24,131,131,118,26,18.3,22.5,,,,,,,,,,,,,
47,4,FO_SHVB-2,FO,SH,SHVB,2,2,5,225,6,6/24/2019,2019,6,24,144,159,142,21.2,16.7,19.4,,,,,,,,,,,,,
47,4,FO_SHVB-2,FO,VB,SHVB,2,2,5,225,6,6/24/2019,2019,6,24,185+,122+,115+,13,12.7,24.3,,,,,,,,,,,,,
48,4,FO_SHSS-2,FO,SH,SHSS,2,2,6,226,6,6/24/2019,2019,6,24,141,131,114,21.6,21.8,19.7,,,,,,,,,,,,,
48,4,FO_SHSS-2,FO,SS,SHSS,2,2,6,226,6,6/24/2019,2019,6,24,150,178,143,6.6,7.7,7.6,,,,,,,,,,,,,
49,4,FO_SH-3,FO,SH,SH,2,3,1,231,6,6/24/2019,2019,6,24,105,102,136,14.6,15.4,18.9,,,,,,,,,,,,,
50,4,FO_SHVB-3,FO,SH,SHVB,2,3,2,232,6,6/24/2019,2019,6,24,132,130,140,15.6,17.9,8.2,,,,,,,,,,,,,
50,4,FO_SHVB-3,FO,VB,SHVB,2,3,2,232,6,6/24/2019,2019,6,24,70+,188+,143+,30.6,19.9,21.4,,,,,,,,,,,,,
51,4,FO_VB-3,FO,VB,VB,2,3,3,233,6,6/24/2019,2019,6,24,186+,159+,165,15.3,16.1,34.8,,,,,,,,,,,,,
52,4,FO_SHSS-3,FO,SH,SHSS,2,3,4,234,6,6/24/2019,2019,6,24,120,140,132,16.9,18.8,18.7,,,,,,,,,,,,,
52,4,FO_SHSS-3,FO,SS,SHSS,2,3,4,234,6,6/24/2019,2019,6,24,163,158,140,6.2,7.6,2,,,,,,,,,,,,,
53,4,FO_SS-3,FO,SS,SS,2,3,5,235,6,6/24/2019,2019,6,24,110,136,130,7.8,6.7,5.6,,,,,,,,,,,,,
54,4,FO_SSVB-3,FO,SS,SSVB,2,3,6,236,6,6/24/2019,2019,6,24,152,133,146,6.4,5.2,4.8,,,,,,,,,,,,,
54,4,FO_SSVB-3,FO,VB,SSVB,2,3,6,236,6,6/24/2019,2019,6,24,187+,136,220+,22.3,16.6,19.3,,,,,,,,,,,,,
55,4,FO_SHSS-4,FO,SH,SHSS,2,4,1,241,6,6/24/2019,2019,6,24,107,98,118,5.9,22,14.1,,,,,,,,,,,,,
55,4,FO_SHSS-4,FO,SS,SHSS,2,4,1,241,6,6/24/2019,2019,6,24,130,150,118,5.7,6,6.9,,,,,,,,,,,,,
56,4,FO_SH-4,FO,SH,SH,2,4,2,242,6,6/24/2019,2019,6,24,112,132,115,19.1,21.1,29.2,,,,,,,,,,,,,
57,4,FO_SSVB-4,FO,SS,SSVB,2,4,3,243,6,6/24/2019,2019,6,24,116,130,140,5.1,6.2,6.1,,,,,,,,,,,,,
57,4,FO_SSVB-4,FO,VB,SSVB,2,4,3,243,6,6/24/2019,2019,6,24,63,177,140,23,19.7,11.8,,,,,,,,,,,,,
58,4,FO_SS-4,FO,SS,SS,2,4,4,244,6,6/24/2019,2019,6,24,110,118,130,6,4.8,3.3,,,,,,,,,,,,,
59,4,FO_VB-4,FO,VB,VB,2,4,5,245,6,6/24/2019,2019,6,24,134+,150+,169+,20.7,13.5,21.5,,,,,,,,,,,,,
60,4,FO_SHVB-4,FO,SH,SHVB,2,4,6,246,6,6/24/2019,2019,6,24,122,100,115,17.9,13.8,11.2,,,,,,,,,,,,,
60,4,FO_SHVB-4,FO,VB,SHVB,2,4,6,246,6,6/24/2019,2019,6,24,190+,164+,232+,23,17.9,15.5,,,,,,,,,,,,,
61,4,FO_SHVB-5,FO,SH,SHVB,2,5,1,251,6,6/24/2019,2019,6,24,122,105,98,19.9,22.6,17.9,,,,,,,,,,,,,
61,4,FO_SHVB-5,FO,VB,SHVB,2,5,1,251,6,6/24/2019,2019,6,24,211+,131,94,28.5,11.2,25,,,,,,,,,,,,,
62,4,FO_SS-5,FO,SS,SS,2,5,2,252,6,6/24/2019,2019,6,24,90,123,110,4,5.5,3.4,,,,,,,,,,,,,
63,4,FO_SHSS-5,FO,SH,SHSS,2,5,3,253,6,6/24/2019,2019,6,24,114,124,108,27,5.4,14.1,,,,,,,,,,,,,
63,4,FO_SHSS-5,FO,SS,SHSS,2,5,3,253,6,6/24/2019,2019,6,24,145,130,100,3.6,4.5,3.9,,,,,,,,,,,,,
64,4,FO_VB-5,FO,VB,VB,2,5,4,254,6,6/24/2019,2019,6,24,164,158+,250+,15.3,26,34.1,,,,,,,,,,,,,
65,4,FO_SSVB-5,FO,SS,SSVB,2,5,5,255,6,6/24/2019,2019,6,24,115,120,124,6,4.6,4.3,,,,,,,,,,,,,
65,4,FO_SSVB-5,FO,VB,SSVB,2,5,5,255,6,6/24/2019,2019,6,24,58,135,102,15.2,19.3,15.7,,,,,,,,,,,,,
66,4,FO_SH-5,FO,SH,SH,2,5,6,256,6,6/24/2019,2019,6,24,97,84,100,8.6,5.8,17.2,,,,,,,,,,,,,
67,4,FO_SSVB-6,FO,SS,SSVB,2,6,1,261,6,6/24/2019,2019,6,24,79,110,90,7.8,7.3,8.4,,,,,,,,,,,,,
67,4,FO_SSVB-6,FO,VB,SSVB,2,6,1,261,6,6/24/2019,2019,6,24,90+,157+,91+,25,28.3,30.8,,,,,,,,,,,,,
68,4,FO_VB-6,FO,VB,VB,2,6,2,262,6,6/24/2019,2019,6,24,137+,158,149+,14.9,16.5,33.7,,,,,,,,,,,,,
69,4,FO_SH-6,FO,SH,SH,2,6,3,263,6,6/24/2019,2019,6,24,104,113,120,16.1,16.8,16.6,,,,,,,,,,,,,
70,4,FO_SHVB-6,FO,VB,SHVB,2,6,4,264,6,6/24/2019,2019,6,24,167+,210+,220+,28.8,37.2,25.1,,,,,,,,,,,,,
70,4,FO_SHVB-6,FO,SH,SHVB,2,6,4,264,6,6/24/2019,2019,6,24,73,108,111,16.2,13.1,12.5,,,,,,,,,,,,,
71,4,FO_SHSS-6,FO,SS,SHSS,2,6,5,265,6,6/24/2019,2019,6,24,95,116,86,5.2,4.1,5.5,,,,,,,,,,,,,
71,4,FO_SHSS-6,FO,SH,SHSS,2,6,5,265,6,6/24/2019,2019,6,24,76,59,97,11.2,15.7,23.3,,,,,,,,,,,,,
72,4,FO_SS-6,FO,SS,SS,2,6,6,266,6,6/24/2019,2019,6,24,130,100,96,6.5,5.3,8,,,,,,,,,,,,,
73,14,HH_SH-1,HH,SH,SH,3,1,1,311,6,6/24/2019,2019,6,24,122,124,140,13.2,19.2,12.4,,,,,,,,,,,,,
74,14,HH_SSVB-1,HH,SS,SSVB,3,1,2,312,6,6/24/2019,2019,6,24,239,230,198,23.5,27.2,18.9,,,,,,,,,,,,,
74,14,HH_SSVB-1,HH,VB,SSVB,3,1,2,312,6,6/24/2019,2019,6,24,175+,210+,105,28.1,19.8,13.9,,,,,,,,,,,,,
75,14,HH_SHVB-1,HH,SH,SHVB,3,1,3,313,6,6/24/2019,2019,6,24,121,74,83,13.3,10.2,12,,,,,,,,,,,,,
75,14,HH_SHVB-1,HH,VB,SHVB,3,1,3,313,6,6/24/2019,2019,6,24,140,100,143,17.1,11.3,27.8,,,,,,,,,,,,,
76,14,HH_SHSS-1,HH,SH,SHSS,3,1,4,314,6,6/24/2019,2019,6,24,89,51,92,7.7,9.1,7.9,,,,,,,,,,,,,
76,14,HH_SHSS-1,HH,SS,SHSS,3,1,4,314,6,6/24/2019,2019,6,24,199,210,172,19.2,13.3,12,,,,,,,,,,,,,
77,14,HH_VB-1,HH,VB,VB,3,1,5,315,6,6/24/2019,2019,6,24,107,179,230+,23.9,30.3,7.8,,,,,,,,,,,,,
78,14,HH_SS-1,HH,SS,SS,3,1,6,316,6,6/24/2019,2019,6,24,173,177,187,19.1,13.1,13.3,,,,,,,,,,,,,
79,14,HH_VB-2,HH,VB,VB,3,2,1,321,6,6/24/2019,2019,6,24,239+,183,194,15.7,12,22.3,,,,,,,,,,,,,
80,14,HH_SHSS-2,HH,SH,SHSS,3,2,2,322,6,6/24/2019,2019,6,24,124,135,114,31.5,30.8,18.1,,,,,,,,,,,,,
80,14,HH_SHSS-2,HH,SS,SHSS,3,2,2,322,6,6/24/2019,2019,6,24,210,173,198,31.5,30.8,18.1,,,,,,,,,,,,,
81,14,HH_SS-2,HH,SS,SS,3,2,3,323,6,6/24/2019,2019,6,24,189,174,198,19,18.6,11.8,,,,,,,,,,,,,
82,14,HH_SH-2,HH,SH,SH,3,2,4,324,6,6/24/2019,2019,6,24,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,
83,14,HH_SHVB-2,HH,SH,SHVB,3,2,5,325,6,6/24/2019,2019,6,24,10,13,NA,12.9,19,NA,,,,,,,,,,,,,
83,14,HH_SHVB-2,HH,VB,SHVB,3,2,5,325,6,6/24/2019,2019,6,24,104,72+,15,16.7,21.3,28.7,,,,,,,,,,,,,
84,14,HH_SSVB-2,HH,SS,SSVB,3,2,6,326,6,6/24/2019,2019,6,24,176,157,165,20.8,22.6,17.9,,,,,,,,,,,,,
84,14,HH_SSVB-2,HH,VB,SSVB,3,2,6,326,6,6/24/2019,2019,6,24,25,142,26,10.9,5,14.1,,,,,,,,,,,,,
85,14,HH_SHSS-3,HH,SH,SHSS,3,3,1,331,6,6/24/2019,2019,6,24,110,134,141,11.7,17.7,22.4,,,,,,,,,,,,,
85,14,HH_SHSS-3,HH,SS,SHSS,3,3,1,331,6,6/24/2019,2019,6,24,218,198,177,17.2,15.3,20.9,,,,,,,,,,,,,
86,14,HH_SHVB-3,HH,SH,SHVB,3,3,2,332,6,6/24/2019,2019,6,24,130,102,33,17.2,12.3,9.7,,,,,,,,,,,,,
86,14,HH_SHVB-3,HH,VB,SHVB,3,3,2,332,6,6/24/2019,2019,6,24,40,100+,151+,111,20.7,23.3,,,,,,,,,,,,,
87,14,HH_SSVB-3,HH,SS,SSVB,3,3,3,333,6,6/24/2019,2019,6,24,214,177,168,14.8,14.3,16.8,,,,,,,,,,,,,
87,14,HH_SSVB-3,HH,VB,SSVB,3,3,3,333,6,6/24/2019,2019,6,24,212,158,130+,23.6,20.3,19.6,,,,,,,,,,,,,
88,14,HH_VB-3,HH,VB,VB,3,3,4,334,6,6/24/2019,2019,6,24,270+,191+,239,20,18.9,45.3,,,,,,,,,,,,,
89,14,HH_SS-3,HH,SS,SS,3,3,5,335,6,6/24/2019,2019,6,24,187,192,270,19,28.2,8.2,,,,,,,,,,,,,
90,14,HH_SH-3,HH,SH,SH,3,3,6,336,6,6/24/2019,2019,6,24,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,
91,14,HH_SS-4,HH,SS,SS,3,4,1,341,6,6/24/2019,2019,6,24,221,175,176,19.5,14.6,25.4,,,,,,,,,,,,,
92,14,HH_SH-4,HH,SH,SH,3,4,2,342,6,6/24/2019,2019,6,24,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,
93,14,HH_VB-4,HH,VB,VB,3,4,3,343,6,6/24/2019,2019,6,24,156+,122,122,9.6,19.7,26.5,,,,,,,,,,,,,
94,14,HH_SHVB-4,HH,SH,SHVB,3,4,4,344,6,6/24/2019,2019,6,24,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,
94,14,HH_SHVB-4,HH,VB,SHVB,3,4,4,344,6,6/24/2019,2019,6,24,134,130,175+,20.9,25.1,11.8,,,,,,,,,,,,,
95,14,HH_SSVB-4,HH,SS,SSVB,3,4,5,345,6,6/24/2019,2019,6,24,219,190,189,30.3,29.6,16.4,,,,,,,,,,,,,
95,14,HH_SSVB-4,HH,VB,SSVB,3,4,5,345,6,6/24/2019,2019,6,24,115+,93+,82,12.5,17.7,16.6,,,,,,,,,,,,,
96,14,HH_SHSS-4,HH,SH,SHSS,3,4,6,346,6,6/24/2019,2019,6,24,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,
96,14,HH_SHSS-4,HH,SS,SHSS,3,4,6,346,6,6/24/2019,2019,6,24,212,173,194,17.3,14.6,15.4,,,,,,,,,,,,,
97,14,HH_SSVB-5,HH,SS,SSVB,3,5,1,351,6,6/24/2019,2019,6,24,197,172,181,23.5,24.6,28,,,,,,,,,,,,,
97,14,HH_SSVB-5,HH,VB,SSVB,3,5,1,351,6,6/24/2019,2019,6,24,162+,146,142,21.6,18.6,18.1,,,,,,,,,,,,,
98,14,HH_VB-5,HH,VB,VB,3,5,2,352,6,6/24/2019,2019,6,24,120,105,141,14.7,10.6,26.9,,,,,,,,,,,,,
99,14,HH_SHSS-5,HH,SH,SHSS,3,5,3,353,6,6/24/2019,2019,6,24,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,
99,14,HH_SHSS-5,HH,SS,SHSS,3,5,3,353,6,6/24/2019,2019,6,24,127,196,160,22.7,32.5,26.1,,,,,,,,,,,,,
100,14,HH_SS-5,HH,SS,SS,3,5,4,354,6,6/24/2019,2019,6,24,219,250,193,34.3,23.9,18.1,,,,,,,,,,,,,
101,14,HH_SH-5,HH,SH,SH,3,5,5,355,6,6/24/2019,2019,6,24,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,
102,14,HH_SHVB-5,HH,SH,SHVB,3,5,6,356,6,6/24/2019,2019,6,24,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,
102,14,HH_SHVB-5,HH,VB,SHVB,3,5,6,356,6,6/24/2019,2019,6,24,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,
103,14,HH_SHVB-6,HH,SH,SHVB,3,6,1,361,6,6/24/2019,2019,6,24,171,160,139,16.4,17.6,21,,,,,,,,,,,,,
103,14,HH_SHVB-6,HH,VB,SHVB,3,6,1,361,6,6/24/2019,2019,6,24,122+,100+,70,23.9,8.9,24,,,,,,,,,,,,,
104,14,HH_SS-6,HH,SS,SS,3,6,2,362,6,6/24/2019,2019,6,24,138,147,188,20.7,14.2,22.8,,,,,,,,,,,,,
105,14,HH_SH-6,HH,SH,SH,3,6,3,363,6,6/24/2019,2019,6,24,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,
106,14,HH_SSVB-6,HH,SS,SSVB,3,6,4,364,6,6/24/2019,2019,6,24,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,
106,14,HH_SSVB-6,HH,VB,SSVB,3,6,4,364,6,6/24/2019,2019,6,24,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,
107,14,HH_SHSS-6,HH,SH,SHSS,3,6,5,365,6,6/24/2019,2019,6,24,NA,NA,NA,NA,NA,NA,,,,,,,,,,,,,
107,14,HH_SHSS-6,HH,SS,SHSS,3,6,5,365,6,6/24/2019,2019,6,24,195,214,173,16.9,16.8,26.2,,,,,,,,,,,,,
108,14,HH_VB-6,HH,VB,VB,3,6,6,366,6,6/24/2019,2019,6,24,32,90,70,12.6,28.9,20.5,,,,,,,,,,,,,
109,15,OC_SHSS-1,OC,SH,SHSS,4,1,1,411,6,6/24/2019,2019,6,24,139,150,153,13,15.2,17.7,,,,,,,,,,,,,
109,15,OC_SHSS-1,OC,SS,SHSS,4,1,1,411,6,6/24/2019,2019,6,24,230,177,212,26.3,30.1,27.4,,,,,,,,,,,,,
110,15,OC_SS-1,OC,SS,SS,4,1,2,412,6,6/24/2019,2019,6,24,190,194,216,25.6,31.5,34.3,,,,,,,,,,,,,
111,15,OC_SH-1,OC,SH,SH,4,1,3,413,6,6/24/2019,2019,6,24,136,146,146,10.1,12.4,15.5,,,,,,,,,,,,,
112,15,OC_SSVB-1,OC,SS,SSVB,4,1,4,414,6,6/24/2019,2019,6,24,196,270,193,12.9,16.8,12.5,,,,,,,,,,,,,
112,15,OC_SSVB-1,OC,VB,SSVB,4,1,4,414,6,6/24/2019,2019,6,24,177,330,222,8.8,7.5,19.4,,,,,,,,,,,,,
113,15,OC_VB-1,OC,VB,VB,4,1,5,415,6,6/24/2019,2019,6,24,190+,139+,143+,19.8,19.5,19.9,,,,,,,,,,,,,
114,15,OC_SHVB-1,OC,SH,SHVB,4,1,6,415,6,6/24/2019,2019,6,24,141,138,154,14.5,11.8,20.8,,,,,,,,,,,,,
114,15,OC_SHVB-1,OC,VB,SHVB,4,1,6,416,6,6/24/2019,2019,6,24,175+,250+,180+,19,18.9,20.7,,,,,,,,,,,,,
115,15,OC_SHVB-2,OC,SH,SHVB,4,2,1,421,6,6/24/2019,2019,6,24,166,137,130,7.2,29.9,8.9,,,,,,,,,,,,,
115,15,OC_SHVB-2,OC,VB,SHVB,4,2,1,421,6,6/24/2019,2019,6,24,280+,221+,231+,17.2,16.7,19.2,,,,,,,,,,,,,
116,15,OC_VB-2,OC,VB,VB,4,2,2,422,6,6/24/2019,2019,6,24,220+,183+,178+,16.9,7.7,20.9,,,,,,,,,,,,,
