PlotID,PlotName,Quadrat,CropSp,LeavesStems_g_1m2,Roots,Weeds,StemCounts
47,FO_SHVB-2,2,VB,53.55,2.96,,2
47,FO_SHVB-2,3,SH,299.55,20.96,106.16,21
47,FO_SHVB-2,3,VB,96.68,4,,3
48,FO_SHSS-2,1,SH,230.92,18.92,158.76,17
48,FO_SHSS-2,1,SS,49.44,12.21,,14
48,FO_SHSS-2,2,SH,227.18,17.13,158.51,19
48,FO_SHSS-2,2,SS,48.36,15.17,,11
48,FO_SHSS-2,3,SH,348.46,23.19,131.7,34
48,FO_SHSS-2,3,SS,35.18,8.33,,14
49,FO_SH-3,1,SH,284.62,18.72,191.78,41
49,FO_SH-3,1,SH,356.3,26.54,214.04,42
49,FO_SH-3,2,SH,400.18,25.6,90.27,55
50,FO_SHVB-3,2,SH,185.36,14.39,146.6,25
50,FO_SHVB-3,3,VB,54.76,3.58,,2
50,FO_SHVB-3,3,SH,146.42,10.63,107.37,24
50,FO_SHVB-3,1,VB,103.13,3.17,,3
50,FO_SHVB-3,1,SH,78.08,5.16,171.09,13
50,FO_SHVB-3,2,VB,110.34,4.68,,5
51,FO_VB-3,2,VB,405.45,16.52,175.5,11
51,FO_VB-3,3,VB,243.88,12.87,111.4,7
51,FO_VB-3,3,VB,314.24,9.24,118.74,10
52,FO_SHSS-3,1,SH,307.4,17.66,86.28,21
52,FO_SHSS-3,1,SS,31.06,8.57,,31
52,FO_SHSS-3,2,SH,343.54,23.69,67.07,26
52,FO_SHSS-3,2,SS,7.41,2.68,,6
52,FO_SHSS-3,3,SH,252.48,17.35,62.3,119
52,FO_SHSS-3,3,SS,6.96,2.25,,5
53,FO_SS-3,1,SS,16.65,3.75,179.89,9
53,FO_SS-3,1,SS,82.05,19.68,136.11,43
53,FO_SS-3,2,SS,93.36,20.08,115.18,45
54,FO_SSVB-3,2,SS,90.28,18.79,160.76,36
54,FO_SSVB-3,3,VB,31.35,2,,1
54,FO_SSVB-3,3,SS,111.01,19.42,160.1,36
54,FO_SSVB-3,1,VB,97.78,4.2,,2
54,FO_SSVB-3,1,SS,65.69,11.24,184.74,26
54,FO_SSVB-3,2,VB,134.94,7.6,,5
55,FO_SHSS-4,2,SH,206.5,16.17,260.19,24
55,FO_SHSS-4,3,SS,42.08,9.13,,12
55,FO_SHSS-4,3,SH,173.23,13.18,165.16,18
55,FO_SHSS-4,1,SS,26.91,5.28,,7
55,FO_SHSS-4,1,SH,282.25,18.17,98.55,31
55,FO_SHSS-4,2,SS,107.26,27.34,,36
56,FO_SH-4,2,SH,281.96,18.59,76.88,37
56,FO_SH-4,3,SH,181.16,9.72,100.14,26
56,FO_SH-4,3,SH,221.8,17.45,108.88,30
57,FO_SSVB-4,1,SS,25.93,12.73,78.36,17
57,FO_SSVB-4,1,VB,214.4,9.38,,6
57,FO_SSVB-4,2,SS,26.07,9.63,111.77,25
57,FO_SSVB-4,2,VB,76.44,3.59,,2
57,FO_SSVB-4,3,SS,28.79,9.36,79.81,26
57,FO_SSVB-4,3,VB,205.01,6.93,,4
58,FO_SS-4,1,SS,81.81,26.65,59.95,39
58,FO_SS-4,1,SS,41.1,8.86,52.69,62
58,FO_SS-4,2,SS,48.7,5.93,56.83,65
59,FO_VB-4,2,VB,166.77,7.32,161.82,5
59,FO_VB-4,3,VB,219.12,8.95,76.98,6
59,FO_VB-4,3,VB,205.95,8.9,117.94,6
60,FO_SHVB-4,1,SH,155.1,17.98,226.58,17
60,FO_SHVB-4,1,VB,163,7.49,,4
60,FO_SHVB-4,2,SH,64.48,6.23,124.08,8
60,FO_SHVB-4,2,VB,53.56,2.01,,2
60,FO_SHVB-4,3,SH,74.78,9.34,241.62,10
60,FO_SHVB-4,3,VB,99.86,5.13,,3
61,FO_SHVB-5,1,SH,96.6,6.83,186.92,15
61,FO_SHVB-5,1,VB,116.83,6.05,,6
61,FO_SHVB-5,2,SH,103.2,4.77,88.64,14
61,FO_SHVB-5,2,VB,61.04,3.42,,3
61,FO_SHVB-5,3,SH,148.75,11.3,127.21,21
61,FO_SHVB-5,3,VB,24.76,0.52,,1
62,FO_SS-5,1,SS,23.75,4.25,58.53,56
62,FO_SS-5,1,SS,26.39,3.69,65.9,77
62,FO_SS-5,2,SS,41.81,11.51,80.23,89
63,FO_SHSS-5,2,SH,177.63,10.6,58.64,32
63,FO_SHSS-5,3,SS,9.46,2.65,,39
63,FO_SHSS-5,3,SH,182.58,14.9,58.81,23
63,FO_SHSS-5,1,SS,13.83,3.41,,48
63,FO_SHSS-5,1,SH,175.52,9.9,71.6,26
63,FO_SHSS-5,2,SS,15.52,2.78,,41
64,FO_VB-5,2,VB,223.87,10.91,65.4,8
64,FO_VB-5,3,VB,216.33,11,62.8,6
64,FO_VB-5,3,VB,174.92,9.2,72.24,6
65,FO_SSVB-5,1,SS,9.8,0.56,45.92,12
65,FO_SSVB-5,1,VB,161.22,9.47,,7
65,FO_SSVB-5,2,SS,17.29,3.14,49.87,30
65,FO_SSVB-5,2,VB,111.36,3.45,,3
65,FO_SSVB-5,3,SS,22.42,2.55,26.02,44
65,FO_SSVB-5,3,VB,52.17,2.35,,2
66,FO_SH-5,1,SH,180.68,17.9,84.21,31
66,FO_SH-5,1,SH,220.36,16.52,51.03,38
66,FO_SH-5,2,SH,173.7,13.39,50.48,32
67,FO_SSVB-6,2,SS,88.86,14.35,163.3,34
67,FO_SSVB-6,3,VB,97.96,4.08,,3
67,FO_SSVB-6,3,SS,29.84,5.53,175.73,43
67,FO_SSVB-6,1,VB,61.97,3.2,,3
67,FO_SSVB-6,1,SS,39.62,4.41,151.3,28
67,FO_SSVB-6,2,VB,60.68,2.54,,3
68,FO_VB-6,2,VB,178.75,9.19,191.25,6
68,FO_VB-6,3,VB,163.9,7.29,124.4,7
68,FO_VB-6,3,VB,139.56,9.66,160.96,6
69,FO_SH-6,1,SH,299.45,22.83,104.1,46
69,FO_SH-6,1,SH,92.66,6.45,63.13,14
69,FO_SH-6,2,SH,490.32,28.01,121.56,62
70,FO_SHVB-6,2,SH,118.61,6.47,142.78,18
70,FO_SHVB-6,3,VB,13.42,0.12,,1
70,FO_SHVB-6,3,SH,75.08,2.34,59.71,14
70,FO_SHVB-6,1,VB,72.86,2.67,,4
70,FO_SHVB-6,1,SH,55.77,4.77,98.3,9
70,FO_SHVB-6,2,VB,68.37,2.33,,3
71,FO_SHSS-6,2,SH,159.95,12.05,97.24,38
71,FO_SHSS-6,3,SS,57.56,8.75,,48
71,FO_SHSS-6,3,SH,81.48,8.28,80.89,17
71,FO_SHSS-6,1,SS,59.92,13.09,,21
71,FO_SHSS-6,1,SH,115.42,7.38,98.41,18
71,FO_SHSS-6,2,SS,79.36,9.68,,31
72,FO_SS-6,2,SS,32.06,6.87,138.14,24
72,FO_SS-6,3,SS,31.23,5.12,162.9,34
72,FO_SS-6,3,SS,55.49,12.08,88.82,64
73,HH_SH-1,1,SH,700.4,45.48,53.28,77
73,HH_SH-1,1,SH,474.82,32.75,67.29,47
73,HH_SH-1,2,SH,434.33,26.8,30.83,45
74,HH_SSVB-1,2,SS,296.38,61.5,75.45,12
74,HH_SSVB-1,3,VB,139.9,5.79,,3
74,HH_SSVB-1,3,SS,504.03,78.89,31.92,17
74,HH_SSVB-1,1,VB,49.88,2.83,,1
74,HH_SSVB-1,1,SS,905.58,148.17,,31
74,HH_SSVB-1,2,VB,109.75,5.03,109.86,2
75,HH_SHVB-1,2,SH,308.15,22.25,99.74,41
75,HH_SHVB-1,3,VB,89.85,4.91,,2
75,HH_SHVB-1,3,SH,328.98,16.22,103.98,22
75,HH_SHVB-1,1,VB,83.02,4.76,,2
75,HH_SHVB-1,1,SH,212.38,19.14,37.54,30
75,HH_SHVB-1,2,VB,88.2,7.63,,6
76,HH_SHSS-1,2,SH,153.8,8.05,35.29,17
76,HH_SHSS-1,3,SS,407.94,63.98,,45
76,HH_SHSS-1,3,SH,155,10.4,28.05,25
76,HH_SHSS-1,1,SS,428.02,68.94,,43
76,HH_SHSS-1,1,SH,217.39,15.3,33.85,32
76,HH_SHSS-1,2,SS,406.91,58.85,,29
77,HH_VB-1,2,VB,348.28,15.76,69.6,7
77,HH_VB-1,3,VB,351.55,14.09,65.97,8
77,HH_VB-1,3,VB,278.23,15.22,88.07,6
78,HH_SS-1,1,SS,886.8,130.78,86.08,28
78,HH_SS-1,1,SS,953.3,167.6,153.03,54
78,HH_SS-1,2,SS,1157.96,234.14,74.63,99
79,HH_VB-2,2,VB,381.36,17.64,28.09,11
79,HH_VB-2,3,VB,179.17,8.48,53.44,4
79,HH_VB-2,3,VB,218.15,11.1,27.8,6
80,HH_SHSS-2,1,SH,243.17,14.08,13.08,21
80,HH_SHSS-2,1,SS,491.06,69.78,,32
80,HH_SHSS-2,2,SH,403.92,23.42,8.85,21
80,HH_SHSS-2,2,SS,117.69,21.28,,6
80,HH_SHSS-2,3,SH,497.82,33.69,15.79,33
80,HH_SHSS-2,3,SS,218.54,58.09,,11
81,HH_SS-2,1,SS,712.16,80.36,15.2,115
81,HH_SS-2,1,SS,961.52,147.3,34.82,52
81,HH_SS-2,2,SS,575.16,97.86,19.64,65
82,HH_SH-2,2,SH,316.38,26.83,38.54,37
82,HH_SH-2,3,SH,350.28,28.78,51.1,54
82,HH_SH-2,3,SH,323.08,26.49,26.48,54
83,HH_SHVB-2,1,SH,113.18,12.09,67.23,13
83,HH_SHVB-2,1,VB,245.32,10.14,,5
83,HH_SHVB-2,2,SH,280.3,20.19,78.12,20
83,HH_SHVB-2,2,VB,68.29,4.08,,3
83,HH_SHVB-2,3,SH,232.9,15.93,64.65,27
83,HH_SHVB-2,3,VB,189.35,7.82,,6
84,HH_SSVB-2,1,SS,643.76,92.98,64.02,27
84,HH_SSVB-2,1,VB,145.18,6.78,,4
84,HH_SSVB-2,2,SS,1247.98,182.87,151.3,66
84,HH_SSVB-2,2,VB,150.67,6.74,,5
84,HH_SSVB-2,3,SS,387.93,62.4,51.05,16
84,HH_SSVB-2,3,VB,46.89,3.81,,1
85,HH_SHSS-3,1,SH,340.1,25.55,19.16,43
85,HH_SHSS-3,1,SS,367.44,61.13,,44
85,HH_SHSS-3,2,SH,306.58,18.88,21.37,31
85,HH_SHSS-3,2,SS,546.88,106.38,,25
85,HH_SHSS-3,3,SH,338.42,28.55,25.5,28
85,HH_SHSS-3,3,SS,327.87,66.76,,13
86,HH_SHVB-3,1,SH,256.13,16.84,68.68,23
86,HH_SHVB-3,1,VB,126.69,5.68,,3
86,HH_SHVB-3,2,SH,370.87,25.86,40.25,35
86,HH_SHVB-3,2,VB,106.22,7.36,,6
86,HH_SHVB-3,3,SH,249.23,20.18,23.33,23
86,HH_SHVB-3,3,VB,75.13,3.51,,2
87,HH_SSVB-3,1,SS,807.29,119.73,20.53,27
87,HH_SSVB-3,1,VB,17.15,1.62,,1
87,HH_SSVB-3,2,SS,356.07,55.35,20.46,19
87,HH_SSVB-3,2,VB,84.06,5.65,,3
87,HH_SSVB-3,3,SS,409.5,74.45,15.09,17
87,HH_SSVB-3,3,VB,106.87,5.24,,3
88,HH_VB-3,1,VB,345.28,14.75,61,7
88,HH_VB-3,1,VB,253.15,13.55,25.14,6
88,HH_VB-3,2,VB,287.3,11.48,49.87,7
89,HH_SS-3,2,SS,999.57,162.13,56.95,51
89,HH_SS-3,3,SS,889.87,139.09,18.3,40
89,HH_SS-3,3,SS,880.92,137.36,37.27,46
90,HH_SH-3,1,SH,223.55,18.73,45.9,42
90,HH_SH-3,1,SH,320.24,25.99,30.47,50
90,HH_SH-3,2,SH,223.6,16.84,28.82,55
91,HH_SS-4,2,SS,86.72,56.2,47.5,29
91,HH_SS-4,3,SS,340.77,71.68,18.57,53
91,HH_SS-4,3,SS,869,86.6,18.83,59
92,HH_SH-4,1,SH,222.76,17.47,59.81,38
92,HH_SH-4,1,SH,363.43,33.16,18.85,48
92,HH_SH-4,2,SH,353.42,23.1,17.96,57
93,HH_VB-4,2,VB,229.38,7.71,44.09,7
93,HH_VB-4,3,VB,152.02,6.51,45.79,6
93,HH_VB-4,3,VB,233.97,8.9,,7
94,HH_SHVB-4,1,SH,297.85,18.58,114.92,25
94,HH_SHVB-4,1,VB,53.82,2.21,,2
94,HH_SHVB-4,2,SH,243.33,16.6,38.33,28
94,HH_SHVB-4,2,VB,88.94,4.12,,3
94,HH_SHVB-4,3,SH,261.27,16.74,41.58,24
94,HH_SHVB-4,3,VB,46.6,1.88,,2
95,HH_SSVB-4,1,SS,775.86,110.75,58.08,32
95,HH_SSVB-4,1,VB,161.23,5.31,,3
95,HH_SSVB-4,2,SS,886.37,142.06,32.99,30
95,HH_SSVB-4,2,VB,96.69,3.79,,3
95,HH_SSVB-4,3,SS,680.39,118.24,71.75,20
95,HH_SSVB-4,3,VB,53.86,2.47,,1
96,HH_SHSS-4,1,SH,25.94,2.22,10.74,11
96,HH_SHSS-4,1,SS,448.67,69.68,,49
96,HH_SHSS-4,2,SH,36.95,3.12,16.7,9
96,HH_SHSS-4,2,SS,589.4,89.88,,52
96,HH_SHSS-4,3,SH,72.79,5.22,15.29,17
96,HH_SHSS-4,3,SS,391.32,77.08,,15
97,HH_SSVB-5,1,SS,303.46,55.22,39.57,34
97,HH_SSVB-5,1,VB,33.22,1.03,,2
97,HH_SSVB-5,2,SS,247.28,46.3,22.86,32
97,HH_SSVB-5,2,VB,40.13,2.69,,3
97,HH_SSVB-5,3,SS,373.66,64.09,14.44,43
97,HH_SSVB-5,3,VB,37.53,2.57,,2
98,HH_VB-5,1,VB,167.68,7.17,24.1,6
98,HH_VB-5,1,VB,145.66,8.57,24.38,9
98,HH_VB-5,2,VB,506.32,11.66,61.64,9
99,HH_SHSS-5,2,SH,105.22,6.66,13.06,19
99,HH_SHSS-5,3,SS,321.3,48.29,,31
99,HH_SHSS-5,3,SH,99.15,7.42,14.76,25
99,HH_SHSS-5,1,SS,230.15,43.45,,38
99,HH_SHSS-5,1,SH,108.56,7.05,12.08,23
99,HH_SHSS-5,2,SS,304.28,49.15,,39
100,HH_SS-5,2,SS,1054.91,146.5,11.95,135
100,HH_SS-5,3,SS,379.71,59.65,21.61,69
100,HH_SS-5,3,SS,791.75,100.3,6.2,93
101,HH_SH-5,1,SH,74.23,5.44,16.7,43
101,HH_SH-5,1,SH,105.6,7,16.15,34
101,HH_SH-5,2,SH,133.6,8.17,34.71,36
102,HH_SHVB-5,2,SH,33.6,2.64,27.15,13
102,HH_SHVB-5,3,VB,56.94,2.73,,4
102,HH_SHVB-5,3,SH,41.47,3.09,7.99,27
102,HH_SHVB-5,1,VB,78.52,3.53,,4
102,HH_SHVB-5,1,SH,61.1,4.1,11.95,30
102,HH_SHVB-5,2,VB,61.93,1.52,,5
103,HH_SHVB-6,2,SH,36.28,3.33,7.75,27
103,HH_SHVB-6,3,VB,69.68,4.05,,6
103,HH_SHVB-6,3,SH,87.4,6.58,16.03,23
103,HH_SHVB-6,1,VB,20.32,1.19,,1
103,HH_SHVB-6,1,SH,44.9,5.07,27.7,16
103,HH_SHVB-6,2,VB,23.82,1.71,,2
104,HH_SS-6,2,SS,99.78,27.11,20.44,44
104,HH_SS-6,3,SS,163.12,31.59,10.6,59
104,HH_SS-6,3,SS,97.42,28.53,1.15,47
105,HH_SH-6,1,SH,46.92,5.85,8.45,43
105,HH_SH-6,1,SH,82.66,5.65,8.74,49
105,HH_SH-6,2,SH,75.49,7.03,1.79,37
106,HH_SSVB-6,2,SS,157.42,39.17,8.32,49
106,HH_SSVB-6,3,VB,12.52,0.54,,1
106,HH_SSVB-6,3,SS,295.8,35.6,4.91,52
106,HH_SSVB-6,1,VB,67.37,2.5,,5
