PlotID,PlotName,CropTrt,Location,Block,SiteNum,RowNumber,ColNum,Position,Season,SamplingWeek,SamplingDate,Year,Month,Day,Weeds_tha,Weeds_tha,Weeds_tha
17,VF_SS-3,SS,VF,1,1,3,5,135,Winter,8,1/6/2020,2020,1,6,124,125,97
18,VF_SH-3,SH,VF,1,1,3,6,136,Winter,8,1/6/2020,2020,1,6,128,46,138
19,VF_SH-4,SH,VF,1,1,4,1,141,Winter,8,1/6/2020,2020,1,6,70,52,64
20,VF_SS-4,SS,VF,1,1,4,2,142,Winter,8,1/6/2020,2020,1,6,105,86,132
21,VF_SHSS-4,SHSS,VF,1,1,4,3,143,Winter,8,1/6/2020,2020,1,6,80,96,60
22,VF_VB-4,VB,VF,1,1,4,4,144,Winter,8,1/6/2020,2020,1,6,79,75,108
23,VF_SHVB-4,SHVB,VF,1,1,4,5,144,Winter,8,1/6/2020,2020,1,6,78,54,73
24,VF_SSVB-4,SSVB,VF,1,1,4,6,146,Winter,8,1/6/2020,2020,1,6,124,125,162
25,VF_SHVB-5,SHVB,VF,1,1,5,1,151,Winter,8,1/6/2020,2020,1,6,53,52,76
26,VF_SHSS-5,SHSS,VF,1,1,5,2,152,Winter,8,1/6/2020,2020,1,6,73,51,78
27,VF_SS-5,SS,VF,1,1,5,3,153,Winter,8,1/6/2020,2020,1,6,80,72,93
28,VF_SSVB-5,SSVB,VF,1,1,5,4,154,Winter,8,1/6/2020,2020,1,6,134,75,78
29,VF_SH-5,SH,VF,1,1,5,5,155,Winter,8,1/6/2020,2020,1,6,47,45,23
30,VF_VB-5,VB,VF,1,1,5,6,156,Winter,8,1/6/2020,2020,1,6,132,175,127
31,VF_SSVB-6,SSVB,VF,1,1,6,1,161,Winter,8,1/6/2020,2020,1,6,45,56,44
32,VF_SH-6,SH,VF,1,1,6,2,162,Winter,8,1/6/2020,2020,1,6,20,72,44
33,VF_VB-6,VB,VF,1,1,6,3,163,Winter,8,1/6/2020,2020,1,6,78,83,72
34,VF_SS-6,SS,VF,1,1,6,4,164,Winter,8,1/6/2020,2020,1,6,75,85,82
35,VF_SHSS-6,SHSS,VF,1,1,6,5,165,Winter,8,1/6/2020,2020,1,6,35,40,50
36,VF_SHVB-6,SHVB,VF,1,1,6,6,166,Winter,8,1/6/2020,2020,1,6,44,64,57
37,FO_SS-1,SS,FO,4,2,1,1,211,Winter,8,1/6/2020,2020,1,7,489,262,325
38,FO_SHSS-1,SHSS,FO,4,2,1,2,212,Winter,8,1/6/2020,2020,1,7,250,97,204
39,FO_SHVB-1,SHVB,FO,4,2,1,3,213,Winter,8,1/6/2020,2020,1,7,432,256,248
40,FO_SSVB-1,SSVB,FO,4,2,1,4,214,Winter,8,1/6/2020,2020,1,7,325,290,308
41,FO_SH-1,SH,FO,4,2,1,5,215,Winter,8,1/6/2020,2020,1,7,449,308,282
42,FO_VB-1,VB,FO,4,2,1,6,216,Winter,8,1/6/2020,2020,1,7,735,318,273
43,FO_VB-2,VB,FO,4,2,2,1,221,Winter,8,1/6/2020,2020,1,7,757,468,592
44,FO_SSVB-2,SSVB,FO,4,2,2,2,222,Winter,8,1/6/2020,2020,1,7,795,614,945
45,FO_SS-2,SS,FO,4,2,2,3,223,Winter,8,1/6/2020,2020,1,7,683,600,869
46,FO_SH-2,SH,FO,4,2,2,4,224,Winter,8,1/6/2020,2020,1,7,516,307,974
47,FO_SHVB-2,SHVB,FO,4,2,2,5,225,Winter,8,1/6/2020,2020,1,7,662,502,656
48,FO_SHSS-2,SHSS,FO,4,2,2,6,226,Winter,8,1/6/2020,2020,1,7,466,311,332
49,FO_SH-3,SH,FO,4,2,3,1,231,Winter,8,1/6/2020,2020,1,7,621,530,522
50,FO_SHVB-3,SHVB,FO,4,2,3,2,232,Winter,8,1/6/2020,2020,1,7,751,689,794
51,FO_VB-3,VB,FO,4,2,3,3,233,Winter,8,1/6/2020,2020,1,7,874,498,811
52,FO_SHSS-3,SHSS,FO,4,2,3,4,234,Winter,8,1/6/2020,2020,1,7,586,453,609
53,FO_SS-3,SS,FO,4,2,3,5,235,Winter,8,1/6/2020,2020,1,7,732,691,775
54,FO_SSVB-3,SSVB,FO,4,2,3,6,236,Winter,8,1/6/2020,2020,1,7,890,510,655
55,FO_SHSS-4,SHSS,FO,4,2,4,1,241,Winter,8,1/6/2020,2020,1,7,314,423,460
56,FO_SH-4,SH,FO,4,2,4,2,242,Winter,8,1/6/2020,2020,1,7,455,574,597
57,FO_SSVB-4,SSVB,FO,4,2,4,3,243,Winter,8,1/6/2020,2020,1,7,1109,771,953
58,FO_SS-4,SS,FO,4,2,4,4,244,Winter,8,1/6/2020,2020,1,7,1026,1015,806
59,FO_VB-4,VB,FO,4,2,4,5,245,Winter,8,1/6/2020,2020,1,7,734,915,887
60,FO_SHVB-4,SHVB,FO,4,2,4,6,246,Winter,8,1/6/2020,2020,1,7,903,616,764
61,FO_SHVB-5,SHVB,FO,4,2,5,1,251,Winter,8,1/6/2020,2020,1,7,247,320,413
62,FO_SS-5,SS,FO,4,2,5,2,252,Winter,8,1/6/2020,2020,1,7,435,470,531
63,FO_SHSS-5,SHSS,FO,4,2,5,3,253,Winter,8,1/6/2020,2020,1,7,709,748,812
64,FO_VB-5,VB,FO,4,2,5,4,254,Winter,8,1/6/2020,2020,1,7,844,882,914
65,FO_SSVB-5,SSVB,FO,4,2,5,5,255,Winter,8,1/6/2020,2020,1,7,808,1290,978
66,FO_SH-5,SH,FO,4,2,5,6,256,Winter,8,1/6/2020,2020,1,7,749,1075,973
67,FO_SSVB-6,SSVB,FO,4,2,6,1,261,Winter,8,1/6/2020,2020,1,7,513,456,413
68,FO_VB-6,VB,FO,4,2,6,2,262,Winter,8,1/6/2020,2020,1,7,419,535,564
69,FO_SH-6,SH,FO,4,2,6,3,263,Winter,8,1/6/2020,2020,1,7,363,669,520
70,FO_SHVB-6,SHVB,FO,4,2,6,4,264,Winter,8,1/6/2020,2020,1,7,648,749,384
71,FO_SHSS-6,SHSS,FO,4,2,6,5,265,Winter,8,1/6/2020,2020,1,7,394,529,399
72,FO_SS-6,SS,FO,4,2,6,6,266,Winter,8,1/7/2020,2020,1,7,774,901,926
73,HH_SH-1,SH,HH,14,3,1,1,311,Winter,8,1/8/2020,2020,1,8,1325,995,751
74,HH_SSVB-1,SSVB,HH,14,3,1,2,312,Winter,8,1/8/2020,2020,1,8,501,522,383
75,HH_SHVB-1,SHVB,HH,14,3,1,3,313,Winter,8,1/8/2020,2020,1,8,392,270,434
76,HH_SHSS-1,SHSS,HH,14,3,1,4,314,Winter,8,1/8/2020,2020,1,8,588,405,411
77,HH_VB-1,VB,HH,14,3,1,5,315,Winter,8,1/8/2020,2020,1,8,666,558,492
78,HH_SS-1,SS,HH,14,3,1,6,316,Winter,8,1/8/2020,2020,1,8,887,852,619
79,HH_VB-2,VB,HH,14,3,2,1,321,Winter,8,1/8/2020,2020,1,8,805,585,689
80,HH_SHSS-2,SHSS,HH,14,3,2,2,322,Winter,8,1/8/2020,2020,1,8,445,427,478
81,HH_SS-2,SS,HH,14,3,2,3,323,Winter,8,1/8/2020,2020,1,8,542,447,404
82,HH_SH-2,SH,HH,14,3,2,4,324,Winter,8,1/8/2020,2020,1,8,496,327,461
83,HH_SHVB-2,SHVB,HH,14,3,2,5,325,Winter,8,1/8/2020,2020,1,8,380,440,539
84,HH_SSVB-2,SSVB,HH,14,3,2,6,326,Winter,8,1/8/2020,2020,1,8,587,691,462
85,HH_SHSS-3,SHSS,HH,14,3,3,1,331,Winter,8,1/8/2020,2020,1,8,487,462,885
86,HH_SHVB-3,SHVB,HH,14,3,3,2,332,Winter,8,1/8/2020,2020,1,8,369,346,312
87,HH_SSVB-3,SSVB,HH,14,3,3,3,333,Winter,8,1/8/2020,2020,1,8,468,426,238
88,HH_VB-3,VB,HH,14,3,3,4,334,Winter,8,1/8/2020,2020,1,8,552,755,454
89,HH_SS-3,SS,HH,14,3,3,5,335,Winter,8,1/8/2020,2020,1,8,370,541,321
90,HH_SH-3,SH,HH,14,3,3,6,336,Winter,8,1/8/2020,2020,1,8,232,212,199
91,HH_SS-4,SS,HH,14,3,4,1,341,Winter,8,1/8/2020,2020,1,8,448,261,410
92,HH_SH-4,SH,HH,14,3,4,2,342,Winter,8,1/8/2020,2020,1,8,574,460,484
93,HH_VB-4,VB,HH,14,3,4,3,343,Winter,8,1/8/2020,2020,1,8,629,732,512
94,HH_SHVB-4,SHVB,HH,14,3,4,4,344,Winter,8,1/8/2020,2020,1,8,652,589,558
95,HH_SSVB-4,SSVB,HH,14,3,4,5,345,Winter,8,1/8/2020,2020,1,8,483,662,501
96,HH_SHSS-4,SHSS,HH,14,3,4,6,346,Winter,8,1/8/2020,2020,1,8,324,418,296
97,HH_SSVB-5,SSVB,HH,14,3,5,1,351,Winter,8,1/8/2020,2020,1,8,320,225,272
98,HH_VB-5,VB,HH,14,3,5,2,352,Winter,8,1/8/2020,2020,1,8,399,271,324
99,HH_SHSS-5,SHSS,HH,14,3,5,3,353,Winter,8,1/8/2020,2020,1,8,663,528,730
100,HH_SS-5,SS,HH,14,3,5,4,354,Winter,8,1/8/2020,2020,1,8,441,489,490
101,HH_SH-5,SH,HH,14,3,5,5,355,Winter,8,1/8/2020,2020,1,8,531,221,358
102,HH_SHVB-5,SHVB,HH,14,3,5,6,356,Winter,8,1/8/2020,2020,1,8,241,235,304
103,HH_SHVB-6,SSVB,HH,14,3,6,1,361,Winter,8,1/8/2020,2020,1,8,161,162,154
104,HH_SS-6,SS,HH,14,3,6,2,362,Winter,8,1/8/2020,2020,1,8,118,74,46
105,HH_SH-6,SH,HH,14,3,6,3,363,Winter,8,1/8/2020,2020,1,8,68,101,99
106,HH_SSVB-6,SHVB,HH,14,3,6,4,364,Winter,8,1/8/2020,2020,1,8,219,223,234
107,HH_SHSS-6,SHSS,HH,14,3,6,5,365,Winter,8,1/8/2020,2020,1,8,300,164,253
108,HH_VB-6,VB,HH,14,3,6,6,366,Winter,8,1/8/2020,2020,1,8,174,95,71
109,OC_SHSS-1,SHSS,OC,15,4,1,1,411,Winter,8,1/9/2020,2020,1,9,945,912,1120
110,OC_SS-1,SS,OC,15,4,1,2,412,Winter,8,1/9/2020,2020,1,9,1215,1032,828
111,OC_SH-1,SH,OC,15,4,1,3,413,Winter,8,1/9/2020,2020,1,9,731,626,996
112,OC_SSVB-1,SSVB,OC,15,4,1,4,414,Winter,8,1/9/2020,2020,1,9,464,483,516
113,OC_VB-1,VB,OC,15,4,1,5,415,Winter,8,1/9/2020,2020,1,9,882,395,1166
114,OC_SHVB-1,SH,OC,15,4,1,6,415,Winter,8,1/9/2020,2020,1,9,825,740,289
115,OC_SHVB-2,SHVB,OC,15,4,2,1,421,Winter,8,1/9/2020,2020,1,9,1322,1277,1128
116,OC_VB-2,VB,OC,15,4,2,2,422,Winter,8,1/9/2020,2020,1,9,1886,1930,1517
117,OC_SHSS-2,SH,OC,15,4,2,3,423,Winter,8,1/9/2020,2020,1,9,863,960,1284
118,OC_SS-2,SHSS,OC,15,4,2,4,424,Winter,8,1/9/2020,2020,1,9,775,822,692
119,OC_SHVB-2,SH,OC,15,4,2,5,425,Winter,8,1/9/2020,2020,1,9,1132,1003,804
120,OC_SS-2,SSVB,OC,15,4,2,6,426,Winter,8,1/9/2020,2020,1,9,669,689,555
121,OC_SSVB-3,SSVB,OC,15,4,3,1,431,Winter,8,1/9/2020,2020,1,9,1274,1319,1174
122,OC_SH-3,SH,OC,15,4,3,2,432,Winter,8,1/9/2020,2020,1,9,1261,1271,1103
123,OC_VB-3,VB,OC,15,4,3,3,433,Winter,8,1/9/2020,2020,1,9,936,1150,1286
124,OC_SHVB-3,SHVB,OC,15,4,3,4,434,Winter,8,1/9/2020,2020,1,9,869,1026,760
125,OC_SHSS-3,SHSS,OC,15,4,3,5,435,Winter,8,1/9/2020,2020,1,9,545,909,626
126,OC_SS-3,SS,OC,15,4,3,6,436,Winter,8,1/9/2020,2020,1,9,572,666,560
127,OC_SH-4,SH,OC,15,4,4,1,441,Winter,8,1/9/2020,2020,1,9,1225,1501,1083
128,OC_SSVB-4,SSVB,OC,15,4,4,2,442,Winter,8,1/9/2020,2020,1,9,1236,1011,1255
129,OC_SS-4,SS,OC,15,4,4,3,443,Winter,8,1/9/2020,2020,1,9,854,1028,1091
130,OC_VB-4,VB,OC,15,4,4,4,444,Winter,8,1/9/2020,2020,1,9,981,923,1176
131,OC_SHVB-4,SHVB,OC,15,4,4,5,445,Winter,8,1/9/2020,2020,1,9,1252,1229,1463
132,OC_SHSS-4,SHSS,OC,15,4,4,6,446,Winter,8,1/9/2020,2020,1,9,815,944,1104
133,OC_VB-5,VB,OC,15,4,5,1,451,Winter,8,1/9/2020,2020,1,9,1440,1349,1377
134,OC_SHSS-5,SHSS,OC,15,4,5,2,452,Winter,8,1/9/2020,2020,1,9,689,531,623
135,OC_SHVB-5,SHVB,OC,15,4,5,3,453,Winter,8,1/9/2020,2020,1,9,815,795,655
136,OC_SH-5,SH,OC,15,4,5,4,454,Winter,8,1/9/2020,2020,1,9,686,543,632
137,OC_SS-5,SS,OC,15,4,5,5,455,Winter,8,1/9/2020,2020,1,9,1042,863,881
138,OC_SSVB-5,SSVB,OC,15,4,5,6,456,Winter,8,1/9/2020,2020,1,9,1184,1061,909
139,OC_SS-6,SS,OC,15,4,6,1,461,Winter,8,1/9/2020,2020,1,9,735,366,525
140,OC_SHVB-6,SHVB,OC,15,4,6,2,462,Winter,8,1/9/2020,2020,1,9,570,252,480
141,OC_SSVB-6,SSVB,OC,15,4,6,3,463,Winter,8,1/9/2020,2020,1,9,257,252,314
142,OC_SHSS-6,SHSS,OC,15,4,6,4,464,Winter,8,1/9/2020,2020,1,9,282,428,336
143,OC_SH-6,SH,OC,15,4,6,5,465,Winter,8,1/9/2020,2020,1,9,529,543,767
144,OC_VB-6,VB,OC,15,4,6,6,466,Winter,8,1/9/2020,2020,1,9,1034,1192,1019
,,,,15,,,,,,,,,,,,,
,,,,15,,,,,,,,,,,,,
,,,,15,,,,,,,,,,,,,
,,,,15,,,,,,,,,,,,,
,,,,15,,,,,,,,,,,,,
,,,,15,,,,,,,,,,,,,
,,,,15,,,,,,,,,,,,,
,,,,15,,,,,,,,,,,,,
,,,,15,,,,,,,,,,,,,
,,,,15,,,,,,,,,,,,,
,,,,15,,,,,,,,,,,,,
,,,,15,,,,,,,,,,,,,
,,,,15,,,,,,,,,,,,,
,,,,15,,,,,,,,,,,,,
,,,,15,,,,,,,,,,,,,
,,,,15,,,,,,,,,,,,,
,,,,15,,,,,,,,,,,,,
,,,,15,,,,,,,,,,,,,
,,,,15,,,,,,,,,,,,,
,,,,15,,,,,,,,,,,,,
,,,,15,,,,,,,,,,,,,
,,,,15,,,,,,,,,,,,,
,,,,15,,,,,,,,,,,,,
,,,,15,,,,,,,,,,,,,
,,,,15,,,,,,,,,,,,,
,,,,15,,,,,,,,,,,,,
,,,,15,,,,,,,,,,,,,
,,,,15,,,,,,,,,,,,,
,,,,15,,,,,,,,,,,,,
,,,,15,,,,,,,,,,,,,
,,,,15,,,,,,,,,,,,,
,,,,15,,,,,,,,,,,,,
,,,,15,,,,,,,,,,,,,
,,,,15,,,,,,,,,,,,,
,,,,15,,,,,,,,,,,,,
,,,,15,,,,,,,,,,,,,
,,,,15,,,,,,,,,,,,,
,,,,15,,,,,,,,,,,,,
,,,,15,,,,,,,,,,,,,
,,,,15,,,,,,,,,,,,,
,,,,15,,,,,,,,,,,,,
,,,,15,,,,,,,,,,,,,
,,,,15,,,,,,,,,,,,,
,,,,15,,,,,,,,,,,,,
,,,,15,,,,,,,,,,,,,
,,,,15,,,,,,,,,,,,,
,,,,15,,,,,,,,,,,,,
,,,,15,,,,,,,,,,,,,
,,,,15,,,,,,,,,,,,,
,,,,15,,,,,,,,,,,,,
,,,,15,,,,,,,,,,,,,
,,,,15,,,,,,,,,,,,,
,,,,15,,,,,,,,,,,,,
,,,,15,,,,,,,,,,,,,
,,,,15,,,,,,,,,,,,,
,,,,15,,,,,,,,,,,,,
,,,,15,,,,,,,,,,,,,
,,,,15,,,,,,,,,,,,,
,,,,15,,,,,,,,,,,,,
,,,,15,,,,,,,,,,,,,
,,,,15,,,,,,,,,,,,,
,,,,15,,,,,,,,,,,,,
,,,,15,,,,,,,,,,,,,
,,,,15,,,,,,,,,,,,,
,,,,15,,,,,,,,,,,,,
,,,,15,,,,,,,,,,,,,
,,,,15,,,,,,,,,,,,,
,,,,15,,,,,,,,,,,,,
,,,,15,,,,,,,,,,,,,
,,,,15,,,,,,,,,,,,,
,,,,15,,,,,,,,,,,,,
,,,,15,,,,,,,,,,,,,
