PlotID,PlotName,Location,CropTrt,CropName,SiteNum,RowNumber,ColNum,Position,SamplingWeek,SamplingDate,Year,Month,50%Emerg_Day
15,VF_SHVB-3,VF,SHVB,VB,1,3,3,133,1,11/13/2019,2019,11,15
16,VF_SHSS-3,VF,SHSS,SH,1,3,4,134,1,11/13/2019,2019,11,13
16,VF_SHSS-3,VF,SHSS,SS,1,3,4,134,1,11/13/2019,2019,11,13
17,VF_SS-3,VF,SS,SS,1,3,5,135,1,11/13/2019,2019,11,13
18,VF_SH-3,VF,SH,SH,1,3,6,136,1,11/13/2019,2019,11,13
19,VF_SH-4,VF,SH,SH,1,4,1,141,1,11/13/2019,2019,11,13
20,VF_SS-4,VF,SS,SS,1,4,2,142,1,11/13/2019,2019,11,13
21,VF_SHSS-4,VF,SHSS,SH,1,4,3,143,1,11/13/2019,2019,11,13
21,VF_SHSS-4,VF,SHSS,SS,1,4,3,143,1,11/13/2019,2019,11,13
22,VF_VB-4,VF,VB,VB,1,4,4,144,1,11/13/2019,2019,11,15
23,VF_SHVB-4,VF,SHVB,SH,1,4,5,144,1,11/13/2019,2019,11,13
23,VF_SHVB-4,VF,SHVB,VB,1,4,5,145,1,11/13/2019,2019,11,15
24,VF_SSVB-4,VF,SSVB,SS,1,4,6,146,1,11/13/2019,2019,11,13
24,VF_SSVB-4,VF,SSVB,VB,1,4,6,146,1,11/13/2019,2019,11,
25,VF_SHVB-5,VF,SHVB,SH,1,5,1,151,1,11/13/2019,2019,11,13
25,VF_SHVB-5,VF,SHVB,VB,1,5,1,151,1,11/13/2019,2019,11,18
26,VF_SHSS-5,VF,SHSS,SH,1,5,2,152,1,11/13/2019,2019,11,13
26,VF_SHSS-5,VF,SHSS,SS,1,5,2,152,1,11/13/2019,2019,11,13
27,VF_SS-5,VF,SS,SS,1,5,3,153,1,11/13/2019,2019,11,13
28,VF_SSVB-5,VF,SSVB,SS,1,5,4,154,1,11/13/2019,2019,11,13
28,VF_SSVB-5,VF,SSVB,VB,1,5,4,154,1,11/13/2019,2019,11,18
29,VF_SH-5,VF,SH,SH,1,5,5,155,1,11/13/2019,2019,11,13
30,VF_VB-5,VF,VB,VB,1,5,6,156,1,11/13/2019,2019,11,15
31,VF_SSVB-6,VF,SSVB,SS,1,6,1,161,1,11/13/2019,2019,11,13
31,VF_SSVB-6,VF,SSVB,VB,1,6,1,161,1,11/13/2019,2019,11,18
32,VF_SH-6,VF,SH,SH,1,6,2,162,1,11/13/2019,2019,11,13
33,VF_VB-6,VF,VB,VB,1,6,3,163,1,11/13/2019,2019,11,18
34,VF_SS-6,VF,SS,SS,1,6,4,164,1,11/13/2019,2019,11,13
35,VF_SHSS-6,VF,SHSS,SH,1,6,5,165,1,11/13/2019,2019,11,13
35,VF_SHSS-6,VF,SHSS,SS,1,6,5,165,1,11/13/2019,2019,11,13
36,VF_SHVB-6,VF,SHVB,SH,1,6,6,166,1,11/13/2019,2019,11,13
36,VF_SHVB-6,VF,SHVB,VB,1,6,6,166,1,11/13/2019,2019,11,18
37,FO_SS-1,FO,SS,SS,2,1,1,211,1,11/13/2019,2019,11,13
38,FO_SHSS-1,FO,SH,SH,2,1,2,212,1,11/13/2019,2019,11,13
38,FO_SHSS-1,FO,SHSS,SS,2,1,2,212,1,11/13/2019,2019,11,18
39,FO_SHVB-1,FO,SHVB,SH,2,1,3,213,1,11/13/2019,2019,11,13
39,FO_SHVB-1,FO,SHVB,VB,2,1,3,213,1,11/13/2019,2019,11,18
40,FO_SSVB-1,FO,SSVB,SS,2,1,4,214,1,11/13/2019,2019,11,
40,FO_SSVB-1,FO,SSVB,VB,2,1,4,214,1,11/13/2019,2019,11,18
41,FO_SH-1,FO,SH,SH,2,1,5,215,1,11/13/2019,2019,11,13
42,FO_VB-1,FO,VB,VB,2,1,6,216,1,11/13/2019,2019,11,18
43,FO_VB-2,FO,VB,VB,2,2,1,221,1,11/13/2019,2019,11,18
44,FO_SSVB-2,FO,SSVB,SS,2,2,2,222,1,11/13/2019,2019,11,
44,FO_SSVB-2,FO,SSVB,VB,2,2,2,222,1,11/13/2019,2019,11,18
45,FO_SS-2,FO,SS,SS,2,2,3,223,1,11/13/2019,2019,11,13
46,FO_SH-2,FO,SH,SH,2,2,4,224,1,11/13/2019,2019,11,13
47,FO_SHVB-2,FO,SHVB,SH,2,2,5,225,1,11/13/2019,2019,11,13
47,FO_SHVB-2,FO,SHVB,VB,2,2,5,225,1,11/13/2019,2019,11,18
48,FO_SHSS-2,FO,SHSS,SH,2,2,6,226,1,11/13/2019,2019,11,13
48,FO_SHSS-2,FO,SHSS,SS,2,2,6,226,1,11/13/2019,2019,11,18
49,FO_SH-3,FO,SH,SH,2,3,1,231,1,11/13/2019,2019,11,13
50,FO_SHVB-3,FO,SHVB,SH,2,3,2,232,1,11/13/2019,2019,11,13
50,FO_SHVB-3,FO,SHVB,VB,2,3,2,232,1,11/13/2019,2019,11,18
51,FO_VB-3,FO,VB,VB,2,3,3,233,1,11/13/2019,2019,11,15
52,FO_SHSS-3,FO,SHSS,SH,2,3,4,234,1,11/13/2019,2019,11,13
52,FO_SHSS-3,FO,SHSS,SS,2,3,4,234,1,11/13/2019,2019,11,
53,FO_SS-3,FO,SS,SS,2,3,5,235,1,11/13/2019,2019,11,13
54,FO_SSVB-3,FO,SSVB,SS,2,3,6,236,1,11/13/2019,2019,11,
54,FO_SSVB-3,FO,SSVB,VB,2,3,6,236,1,11/13/2019,2019,11,18
55,FO_SHSS-4,FO,SHSS,SH,2,4,1,241,1,11/13/2019,2019,11,13
55,FO_SHSS-4,FO,SHSS,SS,2,4,1,241,1,11/13/2019,2019,11,
56,FO_SH-4,FO,SH,SH,2,4,2,242,1,11/13/2019,2019,11,13
57,FO_SSVB-4,FO,SSVB,SS,2,4,3,243,1,11/13/2019,2019,11,15
57,FO_SSVB-4,FO,SSVB,VB,2,4,3,243,1,11/13/2019,2019,11,18
58,FO_SS-4,FO,SS,SS,2,4,4,244,1,11/13/2019,2019,11,13
59,FO_VB-4,FO,VB,VB,2,4,5,245,1,11/13/2019,2019,11,18
60,FO_SHVB-4,FO,SHVB,SH,2,4,6,246,1,11/13/2019,2019,11,13
60,FO_SHVB-4,FO,SHVB,VB,2,4,6,246,1,11/13/2019,2019,11,18
61,FO_SHVB-5,FO,SHVB,SH,2,5,1,251,1,11/13/2019,2019,11,13
61,FO_SHVB-5,FO,SHVB,VB,2,5,1,251,1,11/13/2019,2019,11,18
62,FO_SS-5,FO,SS,SS,2,5,2,252,1,11/13/2019,2019,11,13
63,FO_SHSS-5,FO,SHSS,SH,2,5,3,253,1,11/13/2019,2019,11,13
63,FO_SHSS-5,FO,SHSS,SS,2,5,3,253,1,11/13/2019,2019,11,18
64,FO_VB-5,FO,VB,VB,2,5,4,254,1,11/13/2019,2019,11,15
65,FO_SSVB-5,FO,SSVB,SS,2,5,5,255,1,11/13/2019,2019,11,15
65,FO_SSVB-5,FO,SSVB,VB,2,5,5,255,1,11/13/2019,2019,11,18
66,FO_SH-5,FO,SH,SH,2,5,6,256,1,11/13/2019,2019,11,13
67,FO_SSVB-6,FO,SSVB,SS,2,6,1,261,1,11/13/2019,2019,11,
67,FO_SSVB-6,FO,SSVB,VB,2,6,1,261,1,11/13/2019,2019,11,18
68,FO_VB-6,FO,VB,VB,2,6,2,262,1,11/13/2019,2019,11,18
69,FO_SH-6,FO,SH,SH,2,6,3,263,1,11/13/2019,2019,11,13
70,FO_SHVB-6,FO,SHVB,VB,2,6,4,264,1,11/13/2019,2019,11,18
70,FO_SHVB-6,FO,SHVB,SH,2,6,4,264,1,11/13/2019,2019,11,13
71,FO_SHSS-6,FO,SHSS,SS,2,6,5,265,1,11/13/2019,2019,11,
71,FO_SHSS-6,FO,SHSS,SH,2,6,5,265,1,11/13/2019,2019,11,13
72,FO_SS-6,FO,SS,SS,2,6,6,266,1,11/13/2019,2019,11,15
73,HH_SH-1,HH,SH,SH,3,1,1,311,1,11/13/2019,2019,11,13
74,HH_SSVB-1,HH,SSVB,SS,3,1,2,312,1,11/13/2019,2019,11,15
74,HH_SSVB-1,HH,SSVB,VB,3,1,2,312,1,11/13/2019,2019,11,18
75,HH_SHVB-1,HH,SHVB,SH,3,1,3,313,1,11/13/2019,2019,11,13
75,HH_SHVB-1,HH,SHVB,VB,3,1,3,313,1,11/13/2019,2019,11,18
76,HH_SHSS-1,HH,SHSS,SH,3,1,4,314,1,11/13/2019,2019,11,13
76,HH_SHSS-1,HH,SHSS,SS,3,1,4,314,1,11/13/2019,2019,11,15
77,HH_VB-1,HH,VB,VB,3,1,5,315,1,11/13/2019,2019,11,18
78,HH_SS-1,HH,SS,SS,3,1,6,316,1,11/13/2019,2019,11,13
79,HH_VB-2,HH,VB,VB,3,2,1,321,1,11/13/2019,2019,11,18
80,HH_SHSS-2,HH,SHSS,SH,3,2,2,322,1,11/13/2019,2019,11,13
80,HH_SHSS-2,HH,SHSS,SS,3,2,2,322,1,11/13/2019,2019,11,15
81,HH_SS-2,HH,SS,SS,3,2,3,323,1,11/13/2019,2019,11,15
82,HH_SH-2,HH,SH,SH,3,2,4,324,1,11/13/2019,2019,11,13
83,HH_SHVB-2,HH,SHVB,SH,3,2,5,325,1,11/13/2019,2019,11,13
83,HH_SHVB-2,HH,SHVB,VB,3,2,5,325,1,11/13/2019,2019,11,18
84,HH_SSVB-2,HH,SSVB,SS,3,2,6,326,1,11/13/2019,2019,11,15
84,HH_SSVB-2,HH,SSVB,VB,3,2,6,326,1,11/13/2019,2019,11,18
85,HH_SHSS-3,HH,SHSS,SH,3,3,1,331,1,11/13/2019,2019,11,13
85,HH_SHSS-3,HH,SHSS,SS,3,3,1,331,1,11/13/2019,2019,11,15
86,HH_SHVB-3,HH,SHVB,SH,3,3,2,332,1,11/13/2019,2019,11,13
86,HH_SHVB-3,HH,SHVB,VB,3,3,2,332,1,11/13/2019,2019,11,18
87,HH_SSVB-3,HH,SSVB,SS,3,3,3,333,1,11/13/2019,2019,11,
87,HH_SSVB-3,HH,SSVB,VB,3,3,3,333,1,11/13/2019,2019,11,18
88,HH_VB-3,HH,VB,VB,3,3,4,334,1,11/13/2019,2019,11,18
89,HH_SS-3,HH,SS,SS,3,3,5,335,1,11/13/2019,2019,11,15
90,HH_SH-3,HH,SH,SH,3,3,6,336,1,11/13/2019,2019,11,13
91,HH_SS-4,HH,SS,SS,3,4,1,341,1,11/13/2019,2019,11,13
92,HH_SH-4,HH,SH,SH,3,4,2,342,1,11/13/2019,2019,11,13
93,HH_VB-4,HH,VB,VB,3,4,3,343,1,11/13/2019,2019,11,18
94,HH_SHVB-4,HH,SHVB,SH,3,4,4,344,1,11/13/2019,2019,11,13
94,HH_SHVB-4,HH,SHVB,VB,3,4,4,344,1,11/13/2019,2019,11,18
95,HH_SSVB-4,HH,SSVB,SS,3,4,5,345,1,11/13/2019,2019,11,15
95,HH_SSVB-4,HH,SSVB,VB,3,4,5,345,1,11/13/2019,2019,11,18
96,HH_SHSS-4,HH,SHSS,SH,3,4,6,346,1,11/13/2019,2019,11,13
96,HH_SHSS-4,HH,SHSS,SS,3,4,6,346,1,11/13/2019,2019,11,15
97,HH_SSVB-5,HH,SSVB,SS,3,5,1,351,1,11/13/2019,2019,11,15
97,HH_SSVB-5,HH,SSVB,VB,3,5,1,351,1,11/13/2019,2019,11,18
98,HH_VB-5,HH,VB,VB,3,5,2,352,1,11/13/2019,2019,11,18
99,HH_SHSS-5,HH,SHSS,SH,3,5,3,353,1,11/13/2019,2019,11,13
99,HH_SHSS-5,HH,SHSS,SS,3,5,3,353,1,11/13/2019,2019,11,15
100,HH_SS-5,HH,SS,SS,3,5,4,354,1,11/13/2019,2019,11,15
101,HH_SH-5,HH,SH,SH,3,5,5,355,1,11/13/2019,2019,11,13
102,HH_SHVB-5,HH,SHVB,SH,3,5,6,356,1,11/13/2019,2019,11,13
102,HH_SHVB-5,HH,SHVB,VB,3,5,6,356,1,11/13/2019,2019,11,18
103,HH_SHVB-6,HH,SHVB,SH,3,6,1,361,1,11/13/2019,2019,11,13
103,HH_SHVB-6,HH,SHVB,VB,3,6,1,361,1,11/13/2019,2019,11,
104,HH_SS-6,HH,SS,SS,3,6,2,362,1,11/13/2019,2019,11,15
105,HH_SH-6,HH,SH,SH,3,6,3,363,1,11/13/2019,2019,11,13
106,HH_SSVB-6,HH,SSVB,SS,3,6,4,364,1,11/13/2019,2019,11,
106,HH_SSVB-6,HH,SSVB,VB,3,6,4,364,1,11/13/2019,2019,11,18
107,HH_SHSS-6,HH,SHSS,SH,3,6,5,365,1,11/13/2019,2019,11,13
107,HH_SHSS-6,HH,SHSS,SS,3,6,5,365,1,11/13/2019,2019,11,15
108,HH_VB-6,HH,VB,VB,3,6,6,366,1,11/13/2019,2019,11,18
109,OC_SHSS-1,OC,SHSS,SH,4,1,1,411,1,11/13/2019,2019,11,13
109,OC_SHSS-1,OC,SHSS,SS,4,1,1,411,1,11/13/2019,2019,11,15
110,OC_SS-1,OC,SS,SS,4,1,2,412,1,11/13/2019,2019,11,15
111,OC_SH-1,OC,SH,SH,4,1,3,413,1,11/13/2019,2019,11,13
112,OC_SSVB-1,OC,SSVB,SS,4,1,4,414,1,11/13/2019,2019,11,15
112,OC_SSVB-1,OC,SSVB,VB,4,1,4,414,1,11/13/2019,2019,11,18
113,OC_VB-1,OC,VB,VB,4,1,5,415,1,11/13/2019,2019,11,18
114,OC_SHVB-1,OC,SHVB,SH,4,1,6,415,1,11/13/2019,2019,11,13
114,OC_SHVB-1,OC,SHVB,VB,4,1,6,416,1,11/13/2019,2019,11,18
115,OC_SHVB-2,OC,SHVB,SH,4,2,1,421,1,11/13/2019,2019,11,13
115,OC_SHVB-2,OC,SHVB,VB,4,2,1,421,1,11/13/2019,2019,11,
116,OC_VB-2,OC,VB,VB,4,2,2,422,1,11/13/2019,2019,11,18
117,OC_SHSS-2,OC,SHSS,SH,4,2,3,423,1,11/13/2019,2019,11,13
117,OC_SHSS-2,OC,SHSS,SS,4,2,3,423,1,11/13/2019,2019,11,15
118,OC_SS-2,OC,SS,SS,4,2,4,424,1,11/13/2019,2019,11,15
119,OC_SSVB-2,OC,SSVB,SS,4,2,5,425,1,11/13/2019,2019,11,15
119,OC_SSVB-2,OC,SSVB,VB,4,2,5,425,1,11/13/2019,2019,11,18
120,OC_SH-2,OC,SH,SH,4,2,6,426,1,11/13/2019,2019,11,13
121,OC_SSVB-3,OC,SSVB,SS,4,3,1,431,1,11/13/2019,2019,11,15
121,OC_SSVB-3,OC,SSVB,VB,4,3,1,431,1,11/13/2019,2019,11,18
122,OC_SH-3,OC,SH,SH,4,3,2,432,1,11/13/2019,2019,11,13
123,OC_VB-3,OC,VB,VB,4,3,3,433,1,11/13/2019,2019,11,18
124,OC_SHVB-3,OC,SHVB,SH,4,3,4,434,1,11/13/2019,2019,11,13
124,OC_SHVB-3,OC,SHVB,VB,4,3,4,434,1,11/13/2019,2019,11,
125,OC_SHSS-3,OC,SHSS,SH,4,3,5,435,1,11/13/2019,2019,11,13
125,OC_SHSS-3,OC,SHSS,SS,4,3,5,435,1,11/13/2019,2019,11,15
126,OC_SS-3,OC,SS,SS,4,3,6,436,1,11/13/2019,2019,11,15
127,OC_SH-4,OC,SH,SH,4,4,1,441,1,11/13/2019,2019,11,13
128,OC_SSVB-4,OC,SSVB,SS,4,4,2,442,1,11/13/2019,2019,11,15
128,OC_SSVB-4,OC,SSVB,VB,4,4,2,442,1,11/13/2019,2019,11,
129,OC_SS-4,OC,SS,SS,4,4,3,443,1,11/13/2019,2019,11,15
130,OC_VB-4,OC,VB,VB,4,4,4,444,1,11/13/2019,2019,11,
131,OC_SHVB-4,OC,SHVB,SH,4,4,5,445,1,11/13/2019,2019,11,13
131,OC_SHVB-4,OC,SHVB,VB,4,4,5,445,1,11/13/2019,2019,11,
132,OC_SHSS-4,OC,SHSS,SH,4,4,6,446,1,11/13/2019,2019,11,13
132,OC_SHSS-4,OC,SHSS,SS,4,4,6,446,1,11/13/2019,2019,11,18
133,OC_VB-5,OC,VB,VB,4,5,1,451,1,11/13/2019,2019,11,
134,OC_SHSS-5,OC,SHSS,SH,4,5,2,452,1,11/13/2019,2019,11,13
134,OC_SHSS-5,OC,SHSS,SS,4,5,2,452,1,11/13/2019,2019,11,15
135,OC_SHVB-5,OC,SHVB,VB,4,5,3,453,1,11/13/2019,2019,11,
135,OC_SHVB-5,OC,SHVB,SH,4,5,3,453,1,11/13/2019,2019,11,13
136,OC_SH-5,OC,SH,SH,4,5,4,454,1,11/13/2019,2019,11,13
137,OC_SS-5,OC,SS,SS,4,5,5,455,1,11/13/2019,2019,11,15
138,OC_SSVB-5,OC,SSVB,VB,4,5,6,456,1,11/13/2019,2019,11,
138,OC_SSVB-5,OC,SSVB,SS,4,5,6,456,1,11/13/2019,2019,11,15
139,OC_SS-6,OC,SS,SS,4,6,1,461,1,11/13/2019,2019,11,15
140,OC_SHVB-6,OC,SHVB,SH,4,6,2,462,1,11/13/2019,2019,11,13
140,OC_SHVB-6,OC,SHVB,VB,4,6,2,462,1,11/13/2019,2019,11,
141,OC_SSVB-6,OC,SSVB,SS,4,6,3,463,1,11/13/2019,2019,11,18
141,OC_SSVB-6,OC,SSVB,VB,4,6,3,463,1,11/13/2019,2019,11,
142,OC_SHSS-6,OC,SHSS,SH,4,6,4,464,1,11/13/2019,2019,11,13
142,OC_SHSS-6,OC,SHSS,SS,4,6,4,464,1,11/13/2019,2019,11,18
143,OC_SH-6,OC,SH,SH,4,6,5,465,1,11/13/2019,2019,11,13
144,OC_VB-6,OC,VB,VB,4,6,6,466,1,11/13/2019,2019,11,
