PlotID,Location,PlotName,CropName,CropTrt,SiteNum,RowNumber,ColNum,Position,SamplingWeek,SampleDate,Year,Month,Day,Leaves+Stems_FreshWeight_g,Leaves+Stems_FreshWeight_g,Leaves+Stems_FreshWeight_g,Roots_FreshWeight_g,Roots_FreshWeight_g,Roots_FreshWeight_g
26,VF,VF_SHSS-5,SH,SHSS,1,5,2,152,9,7/19/2021,2019,7,19,1872,771,1576,252,188,198
26,VF,VF_SHSS-5,SS,SHSS,1,5,2,152,9,7/19/2022,2019,7,19,314,75,307,102,41,57
27,VF,VF_SS-5,SS,SS,1,5,3,153,9,7/19/2023,2019,7,19,550,239,525,254,100,145
28,VF,VF_SSVB-5,SS,SSVB,1,5,4,154,9,7/19/2024,2019,7,19,639,551,412,232,183,174
28,VF,VF_SSVB-5,VB,SSVB,1,5,4,154,9,7/19/2025,2019,7,19,141,656,161,8,41.82,7
29,VF,VF_SH-5,SH,SH,1,5,5,155,9,7/19/2026,2019,7,19,2094,2198,2169,466,413,389
30,VF,VF_VB-5,VB,VB,1,5,6,156,9,7/19/2027,2019,7,19,1203,844,255,40,50,1
31,VF,VF_SSVB-6,SS,SSVB,1,6,1,161,9,7/19/2028,2019,7,19,106,77,183,47,35,113
31,VF,VF_SSVB-6,VB,SSVB,1,6,1,161,9,7/19/2029,2019,7,19,483,1280,283,25,77,10
32,VF,VF_SH-6,SH,SH,1,6,2,162,9,7/19/2030,2019,7,19,3158,2374,2153,749,449,398
33,VF,VF_VB-6,VB,VB,1,6,3,163,9,7/19/2031,2019,7,19,422,603,780,21,34,36
34,VF,VF_SS-6,SS,SS,1,6,4,164,9,7/19/2032,2019,7,19,562,234,721,185,79,215
35,VF,VF_SHSS-6,SH,SHSS,1,6,5,165,9,7/19/2033,2019,7,19,1314,1151,2071,247,244,384
35,VF,VF_SHSS-6,SS,SHSS,1,6,5,165,9,7/19/2034,2019,7,19,86,30,0,16,16,0
36,VF,VF_SHVB-6,SH,SHVB,1,6,6,166,9,7/19/2035,2019,7,19,1820,1254,1425,390,172,266
36,VF,VF_SHVB-6,VB,SHVB,1,6,6,166,9,7/19/2036,2019,7,19,15,32,216,1,2,16
37,FO,FO_SS-1,SS,SS,2,1,1,211,9,7/10/2019,2019,7,10,561,1115,825,225,605,279
38,FO,FO_SHSS-1,SH,SHSS,2,1,2,212,9,7/10/2019,2019,7,10,1278,1794,745,339,204,120
38,FO,FO_SHSS-1,SS,SHSS,2,1,2,212,9,7/10/2019,2019,7,10,905,906,516,54,53,86
39,FO,FO_SHVB-1,SH,SHVB,2,1,3,213,9,7/10/2019,2019,7,10,1628,1366,1316,509,550,261
39,FO,FO_SHVB-1,VB,SHVB,2,1,3,213,9,7/10/2019,2019,7,10,36,62,41,2,2,2
40,FO,FO_SSVB-1,SS,SSVB,2,1,4,214,9,7/10/2019,2019,7,10,937,885,1519,179,196,312
40,FO,FO_SSVB-1,VB,SSVB,2,1,4,214,9,7/10/2019,2019,7,10,171,352,18,9,20,1
41,FO,FO_SH-1,SH,SH,2,1,5,215,9,7/10/2019,2019,7,10,2100,1160,1631,474,268,243
42,FO,FO_VB-1,VB,VB,2,1,6,216,9,7/10/2019,2019,7,10,276,251,468,12,11,26
43,FO,FO_VB-2,VB,VB,2,2,1,221,9,7/10/2019,2019,7,10,711,887,602,24,41,31
44,FO,FO_SSVB-2,SS,SSVB,2,2,2,222,9,7/10/2019,2019,7,10,1724,1501,1386,478,360,508
44,FO,FO_SSVB-2,VB,SSVB,2,2,2,222,9,7/10/2019,2019,7,10,65,271,140,2,8,10
45,FO,FO_SS-2,SS,SS,2,2,3,223,9,7/10/2019,2019,7,10,1452,1500,2509,272,377,1173
46,FO,FO_SH-2,SH,SH,2,2,4,224,9,7/10/2019,2019,7,10,1712,1060,1684,422,201,370
47,FO,FO_SHVB-2,SH,SHVB,2,2,5,225,9,7/10/2019,2019,7,10,841,1884,953,192,537,212
47,FO,FO_SHVB-2,VB,SHVB,2,2,5,225,9,7/10/2019,2019,7,10,190,0,140,9,0,6
48,FO,FO_SHSS-2,SH,SHSS,2,2,6,226,9,7/10/2019,2019,7,10,615,1336,1014,96,227,258
48,FO,FO_SHSS-2,SS,SHSS,2,2,6,226,9,7/10/2019,2019,7,10,1942,1340,1524,231,221,266
49,FO,FO_SH-3,SH,SH,2,3,1,231,9,7/10/2019,2019,7,10,1204,2050,1990,340,316,391
50,FO,FO_SHVB-3,SH,SHVB,2,3,2,232,9,7/10/2019,2019,7,10,1135,1517,1486,208,346,376
50,FO,FO_SHVB-3,VB,SHVB,2,3,2,232,9,7/10/2019,2019,7,10,151,0,150,5,0,6
51,FO,FO_VB-3,VB,VB,2,3,3,233,9,7/10/2019,2019,7,10,168,332,845,8,15,24
52,FO,FO_SHSS-3,SH,SHSS,2,3,4,234,9,7/10/2019,2019,7,10,664,520,583,118,80,97
52,FO,FO_SHSS-3,SS,SHSS,2,3,4,234,9,7/10/2019,2019,7,10,1380,1390,1700,220,330,424
53,FO,FO_SS-3,SS,SS,2,3,5,235,9,7/10/2019,2019,7,10,1687,2208,1772,678,526,312
54,FO,FO_SSVB-3,SS,SSVB,2,3,6,236,9,7/10/2019,2019,7,10,1383,1229,1455,250,350,212
54,FO,FO_SSVB-3,VB,SSVB,2,3,6,236,9,7/10/2019,2019,7,10,329,247,266,15,11,911
55,FO,FO_SHSS-4,SH,SHSS,2,4,1,241,9,7/10/2019,2019,7,10,571,532,344,88,94,50
55,FO,FO_SHSS-4,SS,SHSS,2,4,1,241,9,7/10/2019,2019,7,10,667,894,1036,143,240,283
56,FO,FO_SH-4,SH,SH,2,4,2,242,9,7/10/2019,2019,7,10,1104,1583,999,203,356,205
57,FO,FO_SSVB-4,SS,SSVB,2,4,3,243,9,7/10/2019,2019,7,10,1316,1600,1651,361,315,391
57,FO,FO_SSVB-4,VB,SSVB,2,4,3,243,9,7/10/2019,2019,7,10,8,164,14,1,6,1
58,FO,FO_SS-4,SS,SS,2,4,4,244,9,7/10/2019,2019,7,10,1144,1505,1164,244,384,278
59,FO,FO_VB-4,VB,VB,2,4,5,245,9,7/10/2019,2019,7,10,731,494,612,25,20,20
60,FO,FO_SHVB-4,SH,SHVB,2,4,6,246,9,7/10/2019,2019,7,10,763,506,659,164,105,132
60,FO,FO_SHVB-4,VB,SHVB,2,4,6,246,9,7/10/2019,2019,7,10,412,285,38,15,20,4
61,FO,FO_SHVB-5,SH,SHVB,2,5,1,251,9,7/10/2019,2019,7,10,1468,1246,1380,418,242,226
61,FO,FO_SHVB-5,VB,SHVB,2,5,1,251,9,7/10/2019,2019,7,10,79,195,79,4,6,5
62,FO,FO_SS-5,SS,SS,2,5,2,252,9,7/10/2019,2019,7,10,943,632,603,386,267,219
63,FO,FO_SHSS-5,SH,SHSS,2,5,3,253,9,7/10/2019,2019,7,10,502,1352,745,74,246,141
63,FO,FO_SHSS-5,SS,SHSS,2,5,3,253,9,7/10/2019,2019,7,10,816,505,691,195,171,165
64,FO,FO_VB-5,VB,VB,2,5,4,254,9,7/10/2019,2019,7,10,351,874,1051,18,25,38
65,FO,FO_SSVB-5,SS,SSVB,2,5,5,255,9,7/10/2019,2019,7,10,660,823,688,193,210,188
65,FO,FO_SSVB-5,VB,SSVB,2,5,5,255,9,7/10/2019,2019,7,10,102,13,66,4,1,4
66,FO,FO_SH-5,SH,SH,2,5,6,256,9,7/10/2019,2019,7,10,832,1228,1042,139,282,148
67,FO,FO_SSVB-6,SS,SSVB,2,6,1,261,9,7/11/2019,2019,7,11,117,374,120,47,81,35
67,FO,FO_SSVB-6,VB,SSVB,2,6,1,261,9,7/11/2019,2019,7,11,148,176,0,6,6,0
68,FO,FO_VB-6,VB,VB,2,6,2,262,9,7/11/2019,2019,7,11,528,741,286,17,23,12
69,FO,FO_SH-6,SH,SH,2,6,3,263,9,7/11/2019,2019,7,11,1327,1102,2130,228,182,314
70,FO,FO_SHVB-6,VB,SHVB,2,6,4,264,9,7/11/2019,2019,7,11,712,857,1314,127,194,216
70,FO,FO_SHVB-6,SH,SHVB,2,6,4,264,9,7/11/2019,2019,7,11,154,200,11,9,9,1
71,FO,FO_SHSS-6,SS,SHSS,2,6,5,265,9,7/11/2019,2019,7,11,462,42,142,72,9,11
71,FO,FO_SHSS-6,SH,SHSS,2,6,5,265,9,7/11/2019,2019,7,11,508,784,601,231,162,187
72,FO,FO_SS-6,SS,SS,2,6,6,266,9,7/11/2019,2019,7,11,512,450,611,194,143,141
73,HH,HH_SH-1,SH,SH,3,1,1,311,9,7/17/2019,2019,7,17,1700,1704,3333,361,242,518
74,HH,HH_SSVB-1,SS,SSVB,3,1,2,312,9,7/17/2019,2019,7,17,5119,7212,5040,2535,2313,2744
74,HH,HH_SSVB-1,VB,SSVB,3,1,2,312,9,7/17/2019,2019,7,17,1062,1399,0,2,18,0
75,HH,HH_SHVB-1,SH,SHVB,3,1,3,313,9,7/17/2019,2019,7,17,322,320,115,43,52,22
75,HH,HH_SHVB-1,VB,SHVB,3,1,3,313,9,7/17/2019,2019,7,17,578,655,635,15,17,20
76,HH,HH_SHSS-1,SH,SHSS,3,1,4,314,9,7/17/2019,2019,7,17,82,100,165,9,14,7.7
76,HH,HH_SHSS-1,SS,SHSS,3,1,4,314,9,7/17/2019,2019,7,17,2120,1886,3882,786,453,1112
77,HH,HH_VB-1,VB,VB,3,1,5,315,9,7/17/2019,2019,7,17,675,460,582,23.4,10,18.6
78,HH,HH_SS-1,SS,SS,3,1,6,316,9,7/17/2019,2019,7,17,2609,1765,1106,573,572,285
79,HH,HH_VB-2,VB,VB,3,2,1,321,9,7/17/2019,2019,7,17,194,1987,1965,100,136,114
80,HH,HH_SHSS-2,SH,SHSS,3,2,2,322,9,7/17/2019,2019,7,17,572,1403,918,272,301,278
80,HH,HH_SHSS-2,SS,SHSS,3,2,2,322,9,7/17/2019,2019,7,17,1782,1985,3254,536,622,590
81,HH,HH_SS-2,SS,SS,3,2,3,323,9,7/17/2019,2019,7,17,3512,2975,3130,779,469,580
82,HH,HH_SH-2,SH,SH,3,2,4,324,9,7/17/2019,2019,7,17,11,45,17,1,5,1
83,HH,HH_SHVB-2,SH,SHVB,3,2,5,325,9,7/17/2019,2019,7,17,0,9,0,0,1,3
83,HH,HH_SHVB-2,VB,SHVB,3,2,5,325,9,7/17/2019,2019,7,17,0,26,238,0,1,1
84,HH,HH_SSVB-2,SS,SSVB,3,2,6,326,9,7/17/2019,2019,7,17,1678,1208,759,352,286,206
84,HH,HH_SSVB-2,VB,SSVB,3,2,6,326,9,7/17/2019,2019,7,17,1,0,0,1,0,0
85,HH,HH_SHSS-3,SH,SHSS,3,3,1,331,9,7/17/2019,2019,7,17,485,791,417,59,145,54
85,HH,HH_SHSS-3,SS,SHSS,3,3,1,331,9,7/17/2019,2019,7,17,1596,3837,1724,518,852,324
86,HH,HH_SHVB-3,SH,SHVB,3,3,2,332,9,7/17/2019,2019,7,17,92,62,965,10,9,126.5
86,HH,HH_SHVB-3,VB,SHVB,3,3,2,332,9,7/17/2019,2019,7,17,0,927,111,0,24,4
87,HH,HH_SSVB-3,SS,SSVB,3,3,3,333,9,7/17/2019,2019,7,17,1320,3145,2878,265,439,511
87,HH,HH_SSVB-3,VB,SSVB,3,3,3,333,9,7/17/2019,2019,7,17,0,490,304,0,2,6.2
88,HH,HH_VB-3,VB,VB,3,3,4,334,9,7/17/2019,2019,7,17,1439,917,135,26.55,8,3.8
89,HH,HH_SS-3,SS,SS,3,3,5,335,9,7/17/2019,2019,7,17,1752,2912,2712,378,375,920
90,HH,HH_SH-3,SH,SH,3,3,6,336,9,7/17/2019,2019,7,17,0,0,0,0,0,0
91,HH,HH_SS-4,SS,SS,3,4,1,341,9,7/17/2019,2019,7,17,3713,3492,1016,575,583,217
92,HH,HH_SH-4,SH,SH,3,4,2,342,9,7/17/2019,2019,7,17,8,2,3,3,1,1
93,HH,HH_VB-4,VB,VB,3,4,3,343,9,7/17/2020,2019,7,17,443,456,542,13,10,16
94,HH,HH_SHVB-4,SH,SHVB,3,4,4,344,9,7/17/2021,2019,7,17,9,4,10,1,1,2
94,HH,HH_SHVB-4,VB,SHVB,3,4,4,344,9,7/17/2022,2019,7,17,0,557,28,0,17,1
95,HH,HH_SSVB-4,SS,SSVB,3,4,5,345,9,7/17/2023,2019,7,17,2892,2983,3348,762,595,826
95,HH,HH_SSVB-4,VB,SSVB,3,4,5,345,9,7/17/2024,2019,7,17,156,0,151,5,0,2
96,HH,HH_SHSS-4,SH,SHSS,3,4,6,346,9,7/17/2025,2019,7,17,0,5,2,0,1,1
96,HH,HH_SHSS-4,SS,SHSS,3,4,6,346,9,7/17/2026,2019,7,17,3235,1886,2415,641,488,457
97,HH,HH_SSVB-5,SS,SSVB,3,5,1,351,9,7/17/2027,2019,7,17,1236,2269,2342,313,552,541.3
97,HH,HH_SSVB-5,VB,SSVB,3,5,1,351,9,7/17/2028,2019,7,17,116,160,10,5,6,3
98,HH,HH_VB-5,VB,VB,3,5,2,352,9,7/17/2029,2019,7,17,361,324,1108,12,9,33
99,HH,HH_SHSS-5,SH,SHSS,3,5,3,353,9,7/17/2030,2019,7,17,9,0,5,2,0,1
99,HH,HH_SHSS-5,SS,SHSS,3,5,3,353,9,7/17/2031,2019,7,17,2080,3185,3993,361,504,1200
100,HH,HH_SS-5,SS,SS,3,5,4,354,9,7/17/2032,2019,7,17,3809,5431,6507,1037,1053,1529
101,HH,HH_SH-5,SH,SH,3,5,5,355,9,7/17/2033,2019,7,17,0,0,0,0,0,1.4
102,HH,HH_SHVB-5,SH,SHVB,3,5,6,356,9,7/17/2034,2019,7,17,5.2,0,15,1.7,0,2
102,HH,HH_SHVB-5,VB,SHVB,3,5,6,356,9,7/17/2035,2019,7,17,0,0,13.3,0,0,1
103,HH,HH_SSVB-6,SH,SSVB,3,6,1,361,9,7/18/2019,2019,7,18,2388,2194,935,327.3,236.9,185.2
103,HH,HH_SSVB-6,VB,SSVB,3,6,1,361,9,7/18/2020,2019,7,18,28.5,88.3,268,2,5.2,6.1
104,HH,HH_SS-6,SS,SS,3,6,2,362,9,7/18/2021,2019,7,18,1797,2640,1696,277.7,430.6,430.3
105,HH,HH_SH-6,SH,SH,3,6,3,363,9,7/18/2022,2019,7,18,0,0,0,0,0,0
106,HH,HH_SHVB-6,SS,SHVB,3,6,4,364,9,7/18/2023,2019,7,18,1.3,1,0,1,1,0
106,HH,HH_SHVB-6,VB,SHVB,3,6,4,364,9,7/18/2024,2019,7,18,0,7.8,0,0,1,0
107,HH,HH_SHSS-6,SH,SHSS,3,6,5,365,9,7/18/2025,2019,7,18,1,5.5,0,1,1,0
107,HH,HH_SHSS-6,SS,SHSS,3,6,5,365,9,7/18/2026,2019,7,18,3088,3408,3905,442.5,483.5,829
108,HH,HH_VB-6,VB,VB,3,6,6,366,9,7/18/2027,2019,7,18,0,236,0,0,8.1,0
109,OC,OC_SHSS-1,SH,SHSS,4,1,1,411,9,7/19/2019,2019,7,19,857,1745,598,131,210,60
109,OC,OC_SHSS-1,SS,SHSS,4,1,1,411,9,7/19/2019,2019,7,19,1559,3793,1722,215,655,338
110,OC,OC_SS-1,SS,SS,4,1,2,412,9,7/19/2019,2019,7,19,5676,3822,2871,790,782,584
111,OC,OC_SH-1,SH,SH,4,1,3,413,9,7/19/2019,2019,7,19,1553,406,1144,268,108,198
112,OC,OC_SSVB-1,SS,SSVB,4,1,4,414,9,7/19/2019,2019,7,19,4205,2275,2310,1027,440,440
112,OC,OC_SSVB-1,VB,SSVB,4,1,4,414,9,7/19/2019,2019,7,19,0,0,47,0,0,1
113,OC,OC_VB-1,VB,VB,4,1,5,415,9,7/19/2019,2019,7,19,1257,862,770,26,35,18
114,OC,OC_SHVB-1,SH,SH,4,1,6,415,9,7/19/2019,2019,7,19,1566,794,2239,457,203,336
114,OC,OC_SHVB-1,VB,VB,4,1,6,416,9,7/19/2019,2019,7,19,0,197,346,0,2,7
115,OC,OC_SHVB-2,SH,SHVB,4,2,1,421,9,7/19/2019,2019,7,19,3012,2118,1839,794,410,264
115,OC,OC_SHVB-2,VB,SHVB,4,2,1,421,9,7/19/2019,2019,7,19,205,86,177,2,1,12
116,OC,OC_VB-2,VB,VB,4,2,2,422,9,7/19/2019,2019,7,19,2231,1838,969,13,34,18
117,OC,OC_SHSS-2,SH,SH,4,2,3,423,9,7/19/2019,2019,7,19,766,387,1674,69,39,227
117,OC,OC_SHSS-2,SS,SHSS,4,2,3,423,9,7/19/2019,2019,7,19,5518,1792,2694,913,305,437
118,OC,OC_SS-2,SS,SHSS,4,2,4,424,9,7/19/2019,2019,7,19,4459,5415,3588,934,804,792
119,OC,OC_SH-2,SS,SH,4,2,5,425,9,7/19/2019,2019,7,19,2296,3436,2550,523,439,399
120,OC,OC_SSVB-2,VB,SSVB,4,2,5,425,9,7/19/2019,2019,7,19,2552,1989,2335,476,424,609
120,OC,OC_SSVB-2,SH,SSVB,4,2,6,426,9,7/19/2019,2019,7,19,0,0,244,0,0,9
121,OC,OC_SSVB-3,SS,SSVB,4,3,1,431,9,7/22/2019,2019,7,22,3546,2632,2767,1484,471,700
121,OC,OC_SSVB-3,VB,SSVB,4,3,1,431,9,7/22/2019,2019,7,22,829,590,60,19,8,1
122,OC,OC_SH-3,SH,SH,4,3,2,432,9,7/22/2019,2019,7,22,1490,1499,2695,356,223,447
123,OC,OC_VB-3,VB,VB,4,3,3,433,9,7/22/2019,2019,7,22,1113,673,1430,2,9,15
124,OC,OC_SHVB-3,SH,SHVB,4,3,4,434,9,7/22/2019,2019,7,22,1115,2042,2357,157,400,304
124,OC,OC_SHVB-3,VB,SHVB,4,3,4,434,9,7/22/2019,2019,7,22,745,0,172,24,0,5.42
125,OC,OC_SHSS-3,SH,SHSS,4,3,5,435,9,7/22/2019,2019,7,22,924,822,592,118,103,60
125,OC,OC_SHSS-3,SS,SHSS,4,3,5,435,9,7/22/2019,2019,7,22,3191,3817,3082,658,755,558
126,OC,OC_SS-3,SS,SS,4,3,6,436,9,7/22/2019,2019,7,22,4981,4232,3287,630,986,491
127,OC,OC_SH-4,SH,SH,4,4,1,441,9,7/22/2019,2019,7,22,1603,3443,2307,346,494,508
128,OC,OC_SSVB-4,SS,SSVB,4,4,2,442,9,7/22/2019,2019,7,22,2808,3430,1283,756,528,193
128,OC,OC_SSVB-4,VB,SSVB,4,4,2,442,9,7/22/2019,2019,7,22,185,0,0,3,0,0
129,OC,OC_SS-4,SS,SS,4,4,3,443,9,7/22/2019,2019,7,22,3759,2546,3862,740,332,711
130,OC,OC_VB-4,VB,VB,4,4,4,444,9,7/22/2019,2019,7,22,707,1333,1353,19,14,9
131,OC,OC_SHVB-4,SH,SHVB,4,4,5,445,9,7/22/2019,2019,7,22,1899,3329,2032,252,440,361
131,OC,OC_SHVB-4,VB,SHVB,4,4,5,445,9,7/22/2019,2019,7,22,0,0,0,0,0,0
132,OC,OC_SHSS-4,SH,SHSS,4,4,6,446,9,7/22/2019,2019,7,22,887,570,1118,99,49,78
132,OC,OC_SHSS-4,SS,SHSS,4,4,6,446,9,7/22/2019,2019,7,22,3886,5270,2152,931,812,290
133,OC,OC_VB-5,VB,VB,4,5,1,451,9,7/22/2019,2019,7,22,176,1026,663,4,22,2
134,OC,OC_SHSS-5,SH,SHSS,4,5,2,452,9,7/23/2019,2019,7,23,3729,3921,3640,731,827,853
134,OC,OC_SHSS-5,SS,SHSS,4,5,2,452,9,7/23/2019,2019,7,23,1462,0,972,400,0,250
135,OC,OC_SHVB-5,VB,SHVB,4,5,3,453,9,7/23/2019,2019,7,23,0,0,442,0,0,12
135,OC,OC_SHVB-5,SH,SHVB,4,5,3,453,9,7/23/2019,2019,7,23,3249,3602,3171,456,789,505
136,OC,OC_SH-5,SH,SH,4,5,4,454,9,7/23/2019,2019,7,23,5421,4164,3645,1400,713,678
137,OC,OC_SS-5,SS,SS,4,5,5,455,9,7/23/2019,2019,7,23,5463,3734,4131,1342,721,860
138,OC,OC_SSVB-5,VB,SSVB,4,5,6,456,9,7/23/2019,2019,7,23,0,0,0,0,0,0
138,OC,OC_SSVB-5,SS,SSVB,4,5,6,456,9,7/23/2019,2019,7,23,3860,3834,3315,730,1325,805
139,OC,OC_SS-6,SS,SS,4,6,1,461,9,7/23/2019,2019,7,23,3690,3871,2514,1171,1052,707
140,OC,OC_SHVB-6,SH,SHVB,4,6,2,462,9,7/23/2019,2019,7,23,3271,2763,2992,682,597,565
140,OC,OC_SHVB-6,VB,SHVB,4,6,2,462,9,7/23/2019,2019,7,23,0,279,9,0,8,1
141,OC,OC_SSVB-6,SS,SSVB,4,6,3,463,9,7/23/2019,2019,7,23,3857,4582,3131,1735,1551,1
141,OC,OC_SSVB-6,VB,SSVB,4,6,3,463,9,7/23/2019,2019,7,23,0,883,303,0,40,8
142,OC,OC_SHSS-6,SH,SHSS,4,6,4,464,9,7/23/2019,2019,7,23,1624,1270,1019,251,244,144
142,OC,OC_SHSS-6,SS,SHSS,4,6,4,464,9,7/23/2019,2019,7,23,2080,1909,997,544,488,249
143,OC,OC_SH-6,SH,SH,4,6,5,465,9,7/23/2019,2019,7,23,3644,3333,3220,436,307,479
144,OC,OC_VB-6,VB,VB,4,6,6,466,9,7/23/2019,2019,7,23,17,0,612,4,0,4
