SampleID,CropTrt,Location,Row,Cycle,Wt_Beaker_g,Wt_Soil_g,Pre-IgnitionWT_g,Post-IgnitionWT_g,AshWt_g,LOI or SOM (%),LOI or SOM (%)
184,SHVB,AG,1,Post,12.82,0.457,13.277,13.222,0.402,-13.68159204,13.68159204
185,SHSS,AG,1,Post,13.037,0.416,13.453,13.419,0.382,-8.90052356,8.90052356
186,VB,AG,1,Post,13.115,0.478,13.593,13.533,0.418,-14.35406699,14.35406699
187,SH,AG,2,Post,13.029,0.412,13.441,13.406,0.377,-9.283819629,9.283819629
188,SHSS,AG,2,Post,13.075,0.472,13.547,13.498,0.423,-11.58392435,11.58392435
189,SHVB,AG,2,Post,12.812,0.411,13.223,13.185,0.373,-10.18766756,10.18766756
190,SS,AG,2,Post,12.806,0.481,13.287,13.26,0.454,-5.947136564,5.947136564
191,VB,AG,2,Post,12.803,0.461,13.264,13.231,0.428,-7.710280374,7.710280374
192,SSVB,AG,2,Post,13.053,0.462,13.515,13.48,0.427,-8.196721311,8.196721311
193,SHVB,AG,3,Post,12.784,0.481,13.265,13.242,0.458,-5.021834061,5.021834061
194,SS,AG,3,Post,12.8,0.437,13.237,13.212,0.412,-6.067961165,6.067961165
195,VB,AG,3,Post,13.051,0.487,13.538,13.469,0.418,-16.50717703,16.50717703
196,SSVB,AG,3,Post,12.757,0.431,13.188,13.159,0.402,-7.213930348,7.213930348
197,SH,AG,3,Post,13.046,0.471,13.517,13.492,0.446,-5.605381166,5.605381166
198,SHSS,AG,3,Post,13.054,0.448,13.502,13.476,0.422,-6.161137441,6.161137441
199,SSVB,AG,4,Post,13.066,0.49,13.556,13.523,0.457,-7.221006565,7.221006565
200,SHVB,AG,4,Post,13.002,0.412,13.414,13.398,0.396,-4.04040404,4.04040404
201,SHSS,AG,4,Post,12.841,0.474,13.315,13.286,0.445,-6.516853933,6.516853933
202,VB,AG,4,Post,13.023,0.437,13.46,13.426,0.403,-8.436724566,8.436724566
203,SS,AG,4,Post,13.129,0.467,13.596,13.556,0.427,-9.367681499,9.367681499
204,SH,AG,4,Post,12.775,0.44,13.215,13.193,0.418,-5.263157895,5.263157895
205,VB,AG,5,Post,12.786,0.444,13.23,13.209,0.423,-4.964539007,4.964539007
206,SSVB,AG,5,Post,13.089,0.474,13.563,13.54,0.451,-5.099778271,5.099778271
207,SH,AG,5,Post,13.088,0.481,13.569,13.537,0.449,-7.126948775,7.126948775
208,SHSS,AG,5,Post,12.967,0.45,13.417,13.382,0.415,-8.43373494,8.43373494
209,SHVB,AG,5,Post,13.073,0.351,13.424,13.401,0.328,-7.012195122,7.012195122
210,SS,AG,5,Post,13.081,0.436,13.517,13.497,0.416,-4.807692308,4.807692308
211,SHSS,AG,6,Post,13.122,0.45,13.572,13.544,0.422,-6.63507109,6.63507109
212,VB,AG,6,Post,13.11,0.417,13.527,13.512,0.402,-3.731343284,3.731343284
213,SS,AG,6,Post,12.945,0.388,13.333,13.32,0.375,-3.466666667,3.466666667
214,SH,AG,6,Post,13.086,0.474,13.56,13.54,0.454,-4.405286344,4.405286344
215,SSVB,AG,6,Post,13.052,0.494,13.546,13.519,0.467,-5.781584582,5.781584582
216,SHVB,AG,6,Post,13.097,0.496,13.593,13.571,0.474,-4.641350211,4.641350211
