PlotID,Location,PlotName,CropTrt,SiteNum,RowNumber,ColNum,Position,SamplingWeek,SampleDate,Year,Month,Day,Weeds_FreshWeight_g,Weeds_FreshWeight_g,Weeds_FreshWeight_g
98,HH,HH_VB-5,VB,3,5,2,352,9,7/17/2029,2019,7,17,738,878,538
99,HH,HH_SHSS-5,SHSS,3,5,3,353,9,7/17/2030,2019,7,17,592,329,143
100,HH,HH_SS-5,SS,3,5,4,354,9,7/17/2032,2019,7,17,185,42,107
101,HH,HH_SH-5,SH,3,5,5,355,9,7/17/2033,2019,7,17,1877,1820,2657
102,HH,HH_SHVB-5,SHVB,3,5,6,356,9,7/17/2034,2019,7,17,1917,1184,1211
103,HH,HH_SSVB-6,SSVB,3,6,1,361,9,7/18/2019,2019,7,18,531,110,270
104,HH,HH_SS-6,SS,3,6,2,362,9,7/18/2021,2019,7,18,14,22,48
105,HH,HH_SH-6,SH,3,6,3,363,9,7/18/2022,2019,7,18,608,51.5,617
106,HH,HH_SHVB-6,SHVB,3,6,4,364,9,7/18/2023,2019,7,18,1894,1009,1105
107,HH,HH_SHSS-6,SHSS,3,6,5,365,9,7/18/2025,2019,7,18,49,133.1,60
108,HH,HH_VB-6,VB,3,6,6,366,9,7/18/2027,2019,7,18,950,715,1053
109,OC,OC_SHSS-1,SHSS,4,1,1,411,9,7/19/2019,2019,7,19,383,69,361
110,OC,OC_SS-1,SS,4,1,2,412,9,7/19/2019,2019,7,19,519,406,1027
111,OC,OC_SH-1,SH,4,1,3,413,9,7/19/2019,2019,7,19,965,1070,1148
112,OC,OC_SSVB-1,SSVB,4,1,4,414,9,7/19/2019,2019,7,19,323,743,280
113,OC,OC_VB-1,VB,4,1,5,415,9,7/19/2019,2019,7,19,1403,1038,691
114,OC,OC_SHVB-1,SH,4,1,6,415,9,7/19/2019,2019,7,19,930,1298,900
115,OC,OC_SHVB-2,SHVB,4,2,1,421,9,7/19/2019,2019,7,19,566,1670,1007
116,OC,OC_VB-2,VB,4,2,2,422,9,7/19/2019,2019,7,19,518,2126,1588
117,OC,OC_SHSS-2,SH,4,2,3,423,9,7/19/2019,2019,7,19,212,561,361
118,OC,OC_SS-2,SHSS,4,2,4,424,9,7/19/2019,2019,7,19,197,156,89
119,OC,OC_SH-2,SH,4,2,5,425,9,7/19/2019,2019,7,19,183,193,755
120,OC,OC_SSVB-2,SSVB,4,2,5,425,9,7/19/2019,2019,7,19,1129,483,708
121,OC,OC_SSVB-3,SSVB,4,3,1,431,9,7/22/2019,2019,7,22,1225,880,1906
122,OC,OC_SH-3,SH,4,3,2,432,9,7/22/2019,2019,7,22,1280,1324,810
123,OC,OC_VB-3,VB,4,3,3,433,9,7/22/2019,2019,7,22,2126,1562,1067
124,OC,OC_SHVB-3,SHVB,4,3,4,434,9,7/22/2019,2019,7,22,1097,845,829
125,OC,OC_SHSS-3,SHSS,4,3,5,435,9,7/22/2019,2019,7,22,209,96,211
126,OC,OC_SS-3,SS,4,3,6,436,9,7/22/2019,2019,7,22,175,265,181
127,OC,OC_SH-4,SH,4,4,1,441,9,7/22/2019,2019,7,22,3451,1251,1847
128,OC,OC_SSVB-4,SSVB,4,4,2,442,9,7/22/2019,2019,7,22,937,773,997
129,OC,OC_SS-4,SS,4,4,3,443,9,7/22/2019,2019,7,22,707,238,165
130,OC,OC_VB-4,VB,4,4,4,444,9,7/22/2019,2019,7,22,1887,1526,1470
131,OC,OC_SHVB-4,SHVB,4,4,5,445,9,7/22/2019,2019,7,22,665,429,1210
132,OC,OC_SHSS-4,SHSS,4,4,6,446,9,7/22/2019,2019,7,22,252,194,757
133,OC,OC_VB-5,VB,4,5,1,451,9,7/22/2019,2019,7,22,1781,1639,720
134,OC,OC_SHSS-5,SHSS,4,5,2,452,9,7/23/2019,2019,7,23,307,355,221
135,OC,OC_SHVB-5,SHVB,4,5,3,453,9,7/23/2019,2019,7,23,196,292,231
136,OC,OC_SH-5,SH,4,5,4,454,9,7/23/2019,2019,7,23,262,284,386
137,OC,OC_SS-5,SS,4,5,5,455,9,7/23/2019,2019,7,23,141,94,223
138,OC,OC_SSVB-5,SSVB,4,5,6,456,9,7/23/2019,2019,7,23,796,935,474
139,OC,OC_SS-6,SS,4,6,1,461,9,7/23/2019,2019,7,23,198,320,492
140,OC,OC_SHVB-6,SHVB,4,6,2,462,9,7/23/2019,2019,7,23,294,422,255
141,OC,OC_SSVB-6,SSVB,4,6,3,463,9,7/23/2019,2019,7,23,67,367,279
142,OC,OC_SHSS-6,SHSS,4,6,4,464,9,7/23/2019,2019,7,23,315,267,649
143,OC,OC_SH-6,SH,4,6,5,465,9,7/23/2019,2019,7,23,442,1416,143
144,OC,OC_VB-6,VB,4,6,6,466,9,7/23/2019,2019,7,23,840,2206,1081
