PlotID,Block,Location,PlotName,CropTrt,SiteNum,RowNumber,ColNum,Position,Season,SamplingWeek,SampleDate,Year,Month,Day,Weeds_tha,Weeds_tha,Weeds_tha
34,1,VF,VF_SS-6,SS,1,6,4,164,Summer,9,7/19/2032,2019,7,19,237,239,49
35,1,VF,VF_SHSS-6,SHSS,1,6,5,165,Summer,9,7/19/2033,2019,7,19,91,105,46
36,1,VF,VF_SHVB-6,SHVB,1,6,6,166,Summer,9,7/19/2035,2019,7,19,165,240,199
37,4,FO,FO_SS-1,SS,2,1,1,211,Summer,9,7/10/2019,2019,7,10,708,295,368
38,4,FO,FO_SHSS-1,SHSS,2,1,2,212,Summer,9,7/10/2019,2019,7,10,627,688,91
39,4,FO,FO_SHVB-1,SHVB,2,1,3,213,Summer,9,7/10/2019,2019,7,10,926,590,873
40,4,FO,FO_SSVB-1,SSVB,2,1,4,214,Summer,9,7/10/2019,2019,7,10,493,544,278
41,4,FO,FO_SH-1,SH,2,1,5,215,Summer,9,7/10/2019,2019,7,10,662,1405,691
42,4,FO,FO_VB-1,VB,2,1,6,216,Summer,9,7/10/2019,2019,7,10,1929,1434,1325
43,4,FO,FO_VB-2,VB,2,2,1,221,Summer,9,7/10/2019,2019,7,10,1101,1171,1220
44,4,FO,FO_SSVB-2,SSVB,2,2,2,222,Summer,9,7/10/2019,2019,7,10,202,457,501
45,4,FO,FO_SS-2,SS,2,2,3,223,Summer,9,7/10/2019,2019,7,10,305,163,183
46,4,FO,FO_SH-2,SH,2,2,4,224,Summer,9,7/10/2019,2019,7,10,858,658,590
47,4,FO,FO_SHVB-2,SHVB,2,2,5,225,Summer,9,7/10/2019,2019,7,10,866,748,844
48,4,FO,FO_SHSS-2,SHSS,2,2,6,226,Summer,9,7/10/2019,2019,7,10,359,328,198
49,4,FO,FO_SH-3,SH,2,3,1,231,Summer,9,7/10/2019,2019,7,10,556,606,511
50,4,FO,FO_SHVB-3,SHVB,2,3,2,232,Summer,9,7/10/2019,2019,7,10,823,631,817
51,4,FO,FO_VB-3,VB,2,3,3,233,Summer,9,7/10/2019,2019,7,10,1054,1147,738
52,4,FO,FO_SHSS-3,SHSS,2,3,4,234,Summer,9,7/10/2019,2019,7,10,237,213,268
53,4,FO,FO_SS-3,SS,2,3,5,235,Summer,9,7/10/2019,2019,7,10,226,126,431
54,4,FO,FO_SSVB-3,SSVB,2,3,6,236,Summer,9,7/10/2019,2019,7,10,329,391,269
55,4,FO,FO_SHSS-4,SHSS,2,4,1,241,Summer,9,7/10/2019,2019,7,10,630,371,406
56,4,FO,FO_SH-4,SH,2,4,2,242,Summer,9,7/10/2019,2019,7,10,923,564,707
57,4,FO,FO_SSVB-4,SSVB,2,4,3,243,Summer,9,7/10/2019,2019,7,10,629,216,495
58,4,FO,FO_SS-4,SS,2,4,4,244,Summer,9,7/10/2019,2019,7,10,337,267,140
59,4,FO,FO_VB-4,VB,2,4,5,245,Summer,9,7/10/2019,2019,7,10,624,670,753
60,4,FO,FO_SHVB-4,SHVB,2,4,6,246,Summer,9,7/10/2019,2019,7,10,556,952,774
61,4,FO,FO_SHVB-5,SHVB,2,5,1,251,Summer,9,7/10/2019,2019,7,10,517,228,607
62,4,FO,FO_SS-5,SS,2,5,2,252,Summer,9,7/10/2019,2019,7,10,163,293,260
63,4,FO,FO_SHSS-5,SHSS,2,5,3,253,Summer,9,7/10/2019,2019,7,10,277,195,188
64,4,FO,FO_VB-5,VB,2,5,4,254,Summer,9,7/10/2019,2019,7,10,448,549,551
65,4,FO,FO_SSVB-5,SSVB,2,5,5,255,Summer,9,7/10/2019,2019,7,10,136,290,254
66,4,FO,FO_SH-5,SH,2,5,6,256,Summer,9,7/10/2019,2019,7,10,468,513,510
67,4,FO,FO_SSVB-6,SSVB,2,6,1,261,Summer,9,7/11/2019,2019,7,11,1065,503,974
68,4,FO,FO_VB-6,VB,2,6,2,262,Summer,9,7/11/2019,2019,7,11,787,638,1129
69,4,FO,FO_SH-6,SH,2,6,3,263,Summer,9,7/11/2019,2019,7,11,437,591,325
70,4,FO,FO_SHVB-6,SHVB,2,6,4,264,Summer,9,7/11/2019,2019,7,11,607,387,321
71,4,FO,FO_SHSS-6,SHSS,2,6,5,265,Summer,9,7/11/2019,2019,7,11,119,293,268
72,4,FO,FO_SS-6,SS,2,6,6,266,Summer,9,7/11/2019,2019,7,11,314,228,335
73,14,HH,HH_SH-1,SH,3,1,1,311,Summer,9,7/17/2019,2019,7,17,1768,1044,1251
74,14,HH,HH_SSVB-1,SSVB,3,1,2,312,Summer,9,7/17/2019,2019,7,17,1216,355,305
75,14,HH,HH_SHVB-1,SHVB,3,1,3,313,Summer,9,7/17/2019,2019,7,17,969,903,894
76,14,HH,HH_SHSS-1,SHSS,3,1,4,314,Summer,9,7/17/2019,2019,7,17,615,273,152
77,14,HH,HH_VB-1,VB,3,1,5,315,Summer,9,7/17/2019,2019,7,17,978,1623,1307
78,14,HH,HH_SS-1,SS,3,1,6,316,Summer,9,7/17/2019,2019,7,17,332,68,1541
79,14,HH,HH_VB-2,VB,3,2,1,321,Summer,9,7/17/2019,2019,7,17,1059,744,355
80,14,HH,HH_SHSS-2,SHSS,3,2,2,322,Summer,9,7/17/2019,2019,7,17,243,160,165
81,14,HH,HH_SS-2,SS,3,2,3,323,Summer,9,7/17/2019,2019,7,17,17,20,76
82,14,HH,HH_SH-2,SH,3,2,4,324,Summer,9,7/17/2019,2019,7,17,1362,1584,1332
83,14,HH,HH_SHVB-2,SHVB,3,2,5,325,Summer,9,7/17/2019,2019,7,17,2051,1533,1960
84,14,HH,HH_SSVB-2,SSVB,3,2,6,326,Summer,9,7/17/2019,2019,7,17,1345,818,1478
85,14,HH,HH_SHSS-3,SHSS,3,3,1,331,Summer,9,7/17/2019,2019,7,17,545,176,347
86,14,HH,HH_SHVB-3,SHVB,3,3,2,332,Summer,9,7/17/2019,2019,7,17,875,864,1207
87,14,HH,HH_SSVB-3,SSVB,3,3,3,333,Summer,9,7/17/2019,2019,7,17,100,118,265
88,14,HH,HH_VB-3,VB,3,3,4,334,Summer,9,7/17/2019,2019,7,17,364,635,1315
89,14,HH,HH_SS-3,SS,3,3,5,335,Summer,9,7/17/2019,2019,7,17,373,87,114
90,14,HH,HH_SH-3,SH,3,3,6,336,Summer,9,7/17/2019,2019,7,17,1381,1947,1736
91,14,HH,HH_SS-4,SS,3,4,1,341,Summer,9,7/17/2019,2019,7,17,117,144,601
92,14,HH,HH_SH-4,SH,3,4,2,342,Summer,9,7/17/2019,2019,7,17,968,1113,1303
93,14,HH,HH_VB-4,VB,3,4,3,343,Summer,9,7/17/2020,2019,7,17,1087,1264,886
94,14,HH,HH_SHVB-4,SHVB,3,4,4,344,Summer,9,7/17/2021,2019,7,17,1615,1185,1713
95,14,HH,HH_SSVB-4,SSVB,3,4,5,345,Summer,9,7/17/2023,2019,7,17,160,395,87
96,14,HH,HH_SHSS-4,SHSS,3,4,6,346,Summer,9,7/17/2025,2019,7,17,167,352,409
97,14,HH,HH_SSVB-5,SSVB,3,5,1,351,Summer,9,7/17/2027,2019,7,17,404,104.8,0
98,14,HH,HH_VB-5,VB,3,5,2,352,Summer,9,7/17/2029,2019,7,17,738,878,538
99,14,HH,HH_SHSS-5,SHSS,3,5,3,353,Summer,9,7/17/2030,2019,7,17,592,329,143
100,14,HH,HH_SS-5,SS,3,5,4,354,Summer,9,7/17/2032,2019,7,17,185,42,107
101,14,HH,HH_SH-5,SH,3,5,5,355,Summer,9,7/17/2033,2019,7,17,1877,1820,2657
102,14,HH,HH_SHVB-5,SHVB,3,5,6,356,Summer,9,7/17/2034,2019,7,17,1917,1184,1211
103,14,HH,HH_SSVB-6,SSVB,3,6,1,361,Summer,9,7/18/2019,2019,7,18,531,110,270
104,14,HH,HH_SS-6,SS,3,6,2,362,Summer,9,7/18/2021,2019,7,18,14,22,48
105,14,HH,HH_SH-6,SH,3,6,3,363,Summer,9,7/18/2022,2019,7,18,608,51.5,617
106,14,HH,HH_SHVB-6,SHVB,3,6,4,364,Summer,9,7/18/2023,2019,7,18,1894,1009,1105
107,14,HH,HH_SHSS-6,SHSS,3,6,5,365,Summer,9,7/18/2025,2019,7,18,49,133.1,60
108,14,HH,HH_VB-6,VB,3,6,6,366,Summer,9,7/18/2027,2019,7,18,950,715,1053
109,15,OC,OC_SHSS-1,SHSS,4,1,1,411,Summer,9,7/19/2019,2019,7,19,383,69,361
110,15,OC,OC_SS-1,SS,4,1,2,412,Summer,9,7/19/2019,2019,7,19,519,406,1027
111,15,OC,OC_SH-1,SH,4,1,3,413,Summer,9,7/19/2019,2019,7,19,965,1070,1148
112,15,OC,OC_SSVB-1,SSVB,4,1,4,414,Summer,9,7/19/2019,2019,7,19,323,743,280
113,15,OC,OC_VB-1,VB,4,1,5,415,Summer,9,7/19/2019,2019,7,19,1403,1038,691
114,15,OC,OC_SHVB-1,SH,4,1,6,415,Summer,9,7/19/2019,2019,7,19,930,1298,900
115,15,OC,OC_SHVB-2,SHVB,4,2,1,421,Summer,9,7/19/2019,2019,7,19,566,1670,1007
116,15,OC,OC_VB-2,VB,4,2,2,422,Summer,9,7/19/2019,2019,7,19,518,2126,1588
117,15,OC,OC_SHSS-2,SH,4,2,3,423,Summer,9,7/19/2019,2019,7,19,212,561,361
118,15,OC,OC_SS-2,SHSS,4,2,4,424,Summer,9,7/19/2019,2019,7,19,197,156,89
119,15,OC,OC_SH-2,SH,4,2,5,425,Summer,9,7/19/2019,2019,7,19,183,193,755
120,15,OC,OC_SSVB-2,SSVB,4,2,5,425,Summer,9,7/19/2019,2019,7,19,1129,483,708
121,15,OC,OC_SSVB-3,SSVB,4,3,1,431,Summer,9,7/22/2019,2019,7,22,1225,880,1906
122,15,OC,OC_SH-3,SH,4,3,2,432,Summer,9,7/22/2019,2019,7,22,1280,1324,810
123,15,OC,OC_VB-3,VB,4,3,3,433,Summer,9,7/22/2019,2019,7,22,2126,1562,1067
124,15,OC,OC_SHVB-3,SHVB,4,3,4,434,Summer,9,7/22/2019,2019,7,22,1097,845,829
125,15,OC,OC_SHSS-3,SHSS,4,3,5,435,Summer,9,7/22/2019,2019,7,22,209,96,211
126,15,OC,OC_SS-3,SS,4,3,6,436,Summer,9,7/22/2019,2019,7,22,175,265,181
127,15,OC,OC_SH-4,SH,4,4,1,441,Summer,9,7/22/2019,2019,7,22,3451,1251,1847
128,15,OC,OC_SSVB-4,SSVB,4,4,2,442,Summer,9,7/22/2019,2019,7,22,937,773,997
129,15,OC,OC_SS-4,SS,4,4,3,443,Summer,9,7/22/2019,2019,7,22,707,238,165
130,15,OC,OC_VB-4,VB,4,4,4,444,Summer,9,7/22/2019,2019,7,22,1887,1526,1470
131,15,OC,OC_SHVB-4,SHVB,4,4,5,445,Summer,9,7/22/2019,2019,7,22,665,429,1210
132,15,OC,OC_SHSS-4,SHSS,4,4,6,446,Summer,9,7/22/2019,2019,7,22,252,194,757
133,15,OC,OC_VB-5,VB,4,5,1,451,Summer,9,7/22/2019,2019,7,22,1781,1639,720
134,15,OC,OC_SHSS-5,SHSS,4,5,2,452,Summer,9,7/23/2019,2019,7,23,307,355,221
135,15,OC,OC_SHVB-5,SHVB,4,5,3,453,Summer,9,7/23/2019,2019,7,23,196,292,231
136,15,OC,OC_SH-5,SH,4,5,4,454,Summer,9,7/23/2019,2019,7,23,262,284,386
137,15,OC,OC_SS-5,SS,4,5,5,455,Summer,9,7/23/2019,2019,7,23,141,94,223
138,15,OC,OC_SSVB-5,SSVB,4,5,6,456,Summer,9,7/23/2019,2019,7,23,796,935,474
139,15,OC,OC_SS-6,SS,4,6,1,461,Summer,9,7/23/2019,2019,7,23,198,320,492
140,15,OC,OC_SHVB-6,SHVB,4,6,2,462,Summer,9,7/23/2019,2019,7,23,294,422,255
141,15,OC,OC_SSVB-6,SSVB,4,6,3,463,Summer,9,7/23/2019,2019,7,23,67,367,279
142,15,OC,OC_SHSS-6,SHSS,4,6,4,464,Summer,9,7/23/2019,2019,7,23,315,267,649
143,15,OC,OC_SH-6,SH,4,6,5,465,Summer,9,7/23/2019,2019,7,23,442,1416,143
144,15,OC,OC_VB-6,VB,4,6,6,466,Summer,9,7/23/2019,2019,7,23,840,2206,1081
,15,,,,,,,,Summer,,,,,,,,
,15,,,,,,,,Summer,,,,,,,,
,15,,,,,,,,Summer,,,,,,,,
,15,,,,,,,,Summer,,,,,,,,
,15,,,,,,,,Summer,,,,,,,,
,15,,,,,,,,Summer,,,,,,,,
,15,,,,,,,,Summer,,,,,,,,
,15,,,,,,,,Summer,,,,,,,,
,15,,,,,,,,Summer,,,,,,,,
,15,,,,,,,,Summer,,,,,,,,
,15,,,,,,,,Summer,,,,,,,,
,15,,,,,,,,Summer,,,,,,,,
,15,,,,,,,,Summer,,,,,,,,
,15,,,,,,,,Summer,,,,,,,,
,15,,,,,,,,Summer,,,,,,,,
,15,,,,,,,,Summer,,,,,,,,
,15,,,,,,,,Summer,,,,,,,,
,15,,,,,,,,Summer,,,,,,,,
,15,,,,,,,,Summer,,,,,,,,
,15,,,,,,,,Summer,,,,,,,,
,15,,,,,,,,Summer,,,,,,,,
,15,,,,,,,,Summer,,,,,,,,
,15,,,,,,,,Summer,,,,,,,,
,15,,,,,,,,Summer,,,,,,,,
,15,,,,,,,,Summer,,,,,,,,
,15,,,,,,,,Summer,,,,,,,,
,15,,,,,,,,Summer,,,,,,,,
,15,,,,,,,,Summer,,,,,,,,
,15,,,,,,,,Summer,,,,,,,,
,15,,,,,,,,Summer,,,,,,,,
,15,,,,,,,,Summer,,,,,,,,
,15,,,,,,,,Summer,,,,,,,,
,15,,,,,,,,Summer,,,,,,,,
,15,,,,,,,,Summer,,,,,,,,
,15,,,,,,,,Summer,,,,,,,,
,15,,,,,,,,Summer,,,,,,,,
,15,,,,,,,,Summer,,,,,,,,
,15,,,,,,,,Summer,,,,,,,,
,15,,,,,,,,Summer,,,,,,,,
,15,,,,,,,,Summer,,,,,,,,
,15,,,,,,,,Summer,,,,,,,,
,15,,,,,,,,Summer,,,,,,,,
,15,,,,,,,,Summer,,,,,,,,
,15,,,,,,,,Summer,,,,,,,,
,15,,,,,,,,Summer,,,,,,,,
,15,,,,,,,,Summer,,,,,,,,
,15,,,,,,,,Summer,,,,,,,,
,15,,,,,,,,Summer,,,,,,,,
,15,,,,,,,,Summer,,,,,,,,
,15,,,,,,,,Summer,,,,,,,,
,15,,,,,,,,Summer,,,,,,,,
,15,,,,,,,,Summer,,,,,,,,
,15,,,,,,,,Summer,,,,,,,,
,15,,,,,,,,Summer,,,,,,,,
,15,,,,,,,,Summer,,,,,,,,
,15,,,,,,,,Summer,,,,,,,,
,15,,,,,,,,Summer,,,,,,,,
,15,,,,,,,,Summer,,,,,,,,
,15,,,,,,,,Summer,,,,,,,,
,15,,,,,,,,Summer,,,,,,,,
,15,,,,,,,,Summer,,,,,,,,
,15,,,,,,,,Summer,,,,,,,,
,15,,,,,,,,Summer,,,,,,,,
,15,,,,,,,,Summer,,,,,,,,
,15,,,,,,,,Summer,,,,,,,,
,15,,,,,,,,Summer,,,,,,,,
,15,,,,,,,,Summer,,,,,,,,
,15,,,,,,,,Summer,,,,,,,,
,15,,,,,,,,Summer,,,,,,,,
,15,,,,,,,,Summer,,,,,,,,
,15,,,,,,,,Summer,,,,,,,,
,15,,,,,,,,Summer,,,,,,,,
