PlotID,PlotName,Block,Location,CropTrt,SiteNum,RowNumber,ColNum,Position,Season,SamplingDate,Month,Day,Year,pH,pH_2
35,VF_SHSS-6,1,VF,SHSS,1,6,5,165,Winter,11/21/2019,11,21,2019,8.06,8.07
36,VF_SHVB-6,1,VF,SHVB,1,6,6,166,Winter,11/21/2019,11,21,2019,8.08,8.06
37,FO_SS-1,4,FO,SS,2,1,1,211,Winter,11/21/2019,11,21,2019,7.19,7.25
38,FO_SHSS-1,4,FO,SHSS,2,1,2,213,Winter,11/21/2019,11,21,2019,7.2,7.31
39,FO_SHVB-1,4,FO,SHVB,2,1,3,213,Winter,11/21/2019,11,21,2019,7.37,7.38
40,FO_SSVB-1,4,FO,SSVB,2,1,4,214,Winter,11/21/2019,11,21,2019,7.34,7.35
41,FO_SH-1,4,FO,SH,2,1,5,215,Winter,11/21/2019,11,21,2019,7.52,7.5
42,FO_VB-1,4,FO,VB,2,1,6,216,Winter,11/21/2019,11,21,2019,7.81,7.81
43,FO_VB-2,4,FO,VB,2,2,1,221,Winter,11/21/2019,11,21,2019,7.68,7.7
44,FO_SSVB-2,4,FO,SSVB,2,2,2,222,Winter,11/21/2019,11,21,2019,7.74,7.69
45,FO_SS-2,4,FO,SS,2,2,3,223,Winter,11/21/2019,11,21,2019,7.31,7.32
46,FO_SH-2,4,FO,SH,2,2,4,224,Winter,11/21/2019,11,21,2019,7.4,7.41
47,FO_SHVB-2,4,FO,SHVB,2,2,5,225,Winter,11/21/2019,11,21,2019,7.35,7.37
48,FO_SHSS-2,4,FO,SHSS,2,2,6,226,Winter,11/21/2019,11,21,2019,7.44,7.43
49,FO_SH-3,4,FO,SH,2,3,1,231,Winter,11/21/2019,11,21,2019,7.49,7.46
50,FO_SHVB-3,4,FO,SHVB,2,3,2,232,Winter,11/21/2019,11,21,2019,7.61,7.6
51,FO_VB-3,4,FO,VB,2,3,3,233,Winter,11/21/2019,11,21,2019,7.62,7.58
52,FO_SHSS-3,4,FO,SHSS,2,3,4,234,Winter,11/21/2019,11,21,2019,7.64,7.66
53,FO_SS-3,4,FO,SS,2,3,5,235,Winter,11/21/2019,11,21,2019,7.5,7.53
54,FO_SSVB-3,4,FO,SSVB,2,3,6,236,Winter,11/21/2019,11,21,2019,7.66,7.67
55,FO_SHSS-4,4,FO,SHSS,2,4,1,241,Winter,11/21/2019,11,21,2019,7.57,7.59
56,FO_SH-4,4,FO,SH,2,4,2,242,Winter,11/21/2019,11,21,2019,7.62,7.61
57,FO_SSVB-4,4,FO,SSVB,2,4,3,243,Winter,11/21/2019,11,21,2019,7.81,7.83
58,FO_SS-4,4,FO,SS,2,4,4,244,Winter,11/21/2019,11,21,2019,7.74,7.75
59,FO_VB-4,4,FO,VB,2,4,5,245,Winter,11/21/2019,11,21,2019,7.65,7.67
60,FO_SHVB-4,4,FO,SHVB,2,4,6,246,Winter,11/21/2019,11,21,2019,7.75,7.78
61,FO_SHVB-5,4,FO,SHVB,2,5,1,251,Winter,11/21/2019,11,21,2019,7.69,7.7
62,FO_SS-5,4,FO,SS,2,5,2,252,Winter,11/21/2019,11,21,2019,7.62,7.57
63,FO_SHSS-5,4,FO,SHSS,2,5,3,253,Winter,11/21/2019,11,21,2019,7.66,7.67
64,FO_VB-5,4,FO,VB,2,5,4,254,Winter,11/21/2019,11,21,2019,7.72,7.75
65,FO_SSVB-5,4,FO,SSVB,2,5,5,255,Winter,11/21/2019,11,21,2019,7.78,7.84
66,FO_SH-5,4,FO,SH,2,5,6,256,Winter,11/21/2019,11,21,2019,7.92,7.94
67,FO_SSVB-6,4,FO,SSVB,2,6,1,261,Winter,11/21/2019,11,21,2019,7.91,7.92
68,FO_VB-6,4,FO,VB,2,6,2,262,Winter,11/21/2019,11,21,2019,7.82,7.85
69,FO_SH-6,4,FO,SH,2,6,3,263,Winter,11/21/2019,11,21,2019,7.32,7.33
70,FO_SHVB-6,4,FO,SHVB,2,6,4,264,Winter,11/21/2019,11,21,2019,7.63,7.64
71,FO_SHSS-6,4,FO,SHSS,2,6,5,265,Winter,11/21/2019,11,21,2019,7.71,7.69
72,FO_SS-6,4,FO,SS,2,6,6,266,Winter,11/21/2019,11,21,2019,7.79,7.81
73,HH_SH-1,14,HH,SH,3,1,1,311,Winter,11/21/2019,11,21,2019,7.17,7.2
74,HH_SSVB-1,14,HH,SSVB,3,1,2,312,Winter,11/21/2019,11,21,2019,7.14,7.15
75,HH_SHVB-1,14,HH,SHVB,3,1,3,313,Winter,11/21/2019,11,21,2019,7.49,7.54
76,HH_SHSS-1,14,HH,SHSS,3,1,4,314,Winter,11/21/2019,11,21,2019,7.51,7.5
77,HH_VB-1,14,HH,VB,3,1,5,315,Winter,11/21/2019,11,21,2019,7.42,7.42
78,HH_SS-1,14,HH,SS,3,1,6,316,Winter,11/21/2019,11,21,2019,7.46,7.44
79,HH_VB-2,14,HH,VB,3,2,1,321,Winter,11/21/2019,11,21,2019,7.47,7.48
80,HH_SHSS-2,14,HH,SHSS,3,2,2,322,Winter,11/21/2019,11,21,2019,7.44,7.45
81,HH_SS-2,14,HH,SS,3,2,3,323,Winter,11/21/2019,11,21,2019,7.43,7.41
82,HH_SH-2,14,HH,SH,3,2,4,324,Winter,11/21/2019,11,21,2019,7.54,7.55
83,HH_SHVB-2,14,HH,SHVB,3,2,5,325,Winter,11/21/2019,11,21,2019,7.51,7.52
84,HH_SSVB-2,14,HH,SSVB,3,2,6,326,Winter,11/21/2019,11,21,2019,7.59,7.61
85,HH_SHSS-3,14,HH,SHSS,3,3,1,331,Winter,11/21/2019,11,21,2019,7.52,7.51
86,HH_SHVB-3,14,HH,SHVB,3,3,2,332,Winter,11/21/2019,11,21,2019,7.45,7.47
87,HH_SSVB-3,14,HH,SSVB,3,3,3,333,Winter,11/21/2019,11,21,2019,7.66,7.67
88,HH_VB-3,14,HH,VB,3,3,4,334,Winter,11/21/2019,11,21,2019,7.57,7.56
89,HH_SS-3,14,HH,SS,3,3,5,335,Winter,11/21/2019,11,21,2019,7.58,7.57
90,HH_SH-3,14,HH,SH,3,3,6,336,Winter,11/21/2019,11,21,2019,7.58,7.59
91,HH_SS-4,14,HH,SS,3,4,1,341,Winter,11/21/2019,11,21,2019,7.61,7.62
92,HH_SH-4,14,HH,SH,3,4,2,342,Winter,11/21/2019,11,21,2019,7.62,7.63
93,HH_VB-4,14,HH,VB,3,4,3,343,Winter,11/21/2019,11,21,2019,7.47,7.45
94,HH_SHVB-4,14,HH,SHVB,3,4,4,344,Winter,11/21/2019,11,21,2019,7.45,7.47
95,HH_SSVB-4,14,HH,SSVB,3,4,5,345,Winter,11/21/2019,11,21,2019,7.43,7.46
96,HH_SHSS-4,14,HH,SHSS,3,4,6,346,Winter,11/21/2019,11,21,2019,7.56,7.54
97,HH_SSVB-5,14,HH,SSVB,3,5,1,351,Winter,11/21/2019,11,21,2019,7.32,7.39
98,HH_VB-5,14,HH,VB,3,5,2,352,Winter,11/21/2019,11,21,2019,7.34,7.36
99,HH_SHSS-5,14,HH,SHSS,3,5,3,353,Winter,11/21/2019,11,21,2019,7.42,7.43
100,HH_SS-5,14,HH,SS,3,5,4,354,Winter,11/21/2019,11,21,2019,7.41,7.44
101,HH_SH-5,14,HH,SH,3,5,5,355,Winter,11/21/2019,11,21,2019,7.39,7.41
102,HH_SHVB-5,14,HH,SHVB,3,5,6,356,Winter,11/21/2019,11,21,2019,7.45,7.49
103,HH_SHVB-6,14,HH,SHVB,3,6,1,361,Winter,11/21/2019,11,21,2019,7.51,7.5
104,HH_SS-6,14,HH,SS,3,6,2,362,Winter,11/21/2019,11,21,2019,7.41,7.42
105,HH_SH-6,14,HH,SH,3,6,3,363,Winter,11/21/2019,11,21,2019,7.44,7.45
106,HH_SSVB-6,14,HH,SSVB,3,6,4,364,Winter,11/21/2019,11,21,2019,7.43,7.43
107,HH_SHSS-6,14,HH,SHSS,3,6,5,365,Winter,11/21/2019,11,21,2019,7.53,7.52
108,HH_VB-6,14,HH,VB,3,6,6,366,Winter,11/21/2019,11,21,2019,7.51,7.55
109,OC_SHSS-1,15,OC,SHSS,4,1,1,411,Winter,11/21/2019,11,21,2019,7.26,7.33
110,OC_SS-1,15,OC,SS,4,1,2,412,Winter,11/21/2019,11,21,2019,7.34,7.35
111,OC_SH-1,15,OC,SH,4,1,3,413,Winter,11/21/2019,11,21,2019,7.44,7.45
112,OC_SSVB-1,15,OC,SSVB,4,1,4,414,Winter,11/21/2019,11,21,2019,7.53,7.51
113,OC_VB-1,15,OC,VB,4,1,5,415,Winter,11/21/2019,11,21,2019,7.61,7.62
114,OC_SHVB-1,15,OC,SHVB,4,1,6,416,Winter,11/21/2019,11,21,2019,7.56,7.6
115,OC_SHVB-2,15,OC,SHVB,4,2,1,421,Winter,11/21/2019,11,21,2019,7.49,7.52
116,OC_VB-2,15,OC,VB,4,2,2,422,Winter,11/21/2019,11,21,2019,7.54,7.55
117,OC_SHSS-2,15,OC,SHSS,4,2,3,423,Winter,11/21/2019,11,21,2019,7.61,7.63
118,OC_SS-2,15,OC,SS,4,2,4,424,Winter,11/21/2019,11,21,2019,7.41,7.49
119,OC_SHVB-2,15,OC,SHVB,4,2,5,425,Winter,11/21/2019,11,21,2019,7.53,7.57
120,OC_SS-2,15,OC,SS,4,2,6,426,Winter,11/21/2019,11,21,2019,7.51,7.59
121,OC_SSVB-3,15,OC,SSVB,4,3,1,431,Winter,11/21/2019,11,21,2019,7.45,7.46
122,OC_SH-3,15,OC,SH,4,3,2,432,Winter,11/21/2019,11,21,2019,7.43,7.42
123,OC_VB-3,15,OC,VB,4,3,3,433,Winter,11/21/2019,11,21,2019,7.47,7.47
124,OC_SHVB-3,15,OC,SHVB,4,3,4,434,Winter,11/21/2019,11,21,2019,7.56,7.54
125,OC_SHSS-3,15,OC,SHSS,4,3,5,435,Winter,11/21/2019,11,21,2019,7.55,7.58
126,OC_SS-3,15,OC,SS,4,3,6,436,Winter,11/21/2019,11,21,2019,7.52,7.5
127,OC_SH-4,15,OC,SH,4,4,1,441,Winter,11/21/2019,11,21,2019,7.52,7.51
128,OC_SSVB-4,15,OC,SSVB,4,4,2,442,Winter,11/21/2019,11,21,2019,7.53,7.56
129,OC_SS-4,15,OC,SS,4,4,3,443,Winter,11/21/2019,11,21,2019,7.55,7.54
130,OC_VB-4,15,OC,VB,4,4,4,444,Winter,11/21/2019,11,21,2019,7.46,7.55
131,OC_SHVB-4,15,OC,SHVB,4,4,5,445,Winter,11/21/2019,11,21,2019,7.52,7.48
132,OC_SHSS-4,15,OC,SHSS,4,4,6,446,Winter,11/21/2019,11,21,2019,7.54,7.56
133,OC_VB-5,15,OC,VB,4,5,1,451,Winter,11/21/2019,11,21,2019,7.57,7.59
134,OC_SHSS-5,15,OC,SHSS,4,5,2,452,Winter,11/21/2019,11,21,2019,7.47,7.46
135,OC_SHVB-5,15,OC,SHVB,4,5,3,453,Winter,11/21/2019,11,21,2019,7.61,7.59
136,OC_SH-5,15,OC,SH,4,5,4,454,Winter,11/21/2019,11,21,2019,7.56,7.58
137,OC_SS-5,15,OC,SS,4,5,5,455,Winter,11/21/2019,11,21,2019,7.63,7.64
138,OC_SSVB-5,15,OC,SSVB,4,5,6,456,Winter,11/21/2019,11,21,2019,7.62,7.65
139,OC_SS-6,15,OC,SS,4,6,1,461,Winter,11/21/2019,11,21,2019,7.65,7.65
140,OC_SHVB-6,15,OC,SHVB,4,6,2,462,Winter,11/21/2019,11,21,2019,7.6,7.61
141,OC_SSVB-6,15,OC,SSVB,4,6,3,463,Winter,11/21/2019,11,21,2019,7.63,7.64
142,OC_SHSS-6,15,OC,SHSS,4,6,4,464,Winter,11/21/2019,11,21,2019,7.57,7.54
143,OC_SH-6,15,OC,SH,4,6,5,465,Winter,11/21/2019,11,21,2019,7.58,7.59
144,OC_VB-6,15,OC,VB,4,6,6,466,Winter,11/21/2019,11,21,2019,7.61,7.64
,,15,,,,,,,,,,,,,
,,15,,,,,,,,,,,,,
,,15,,,,,,,,,,,,,
,,15,,,,,,,,,,,,,
,,15,,,,,,,,,,,,,
,,15,,,,,,,,,,,,,
,,15,,,,,,,,,,,,,
,,15,,,,,,,,,,,,,
,,15,,,,,,,,,,,,,
,,15,,,,,,,,,,,,,
,,15,,,,,,,,,,,,,
,,15,,,,,,,,,,,,,
,,15,,,,,,,,,,,,,
,,15,,,,,,,,,,,,,
,,15,,,,,,,,,,,,,
,,15,,,,,,,,,,,,,
,,15,,,,,,,,,,,,,
,,15,,,,,,,,,,,,,
,,15,,,,,,,,,,,,,
,,15,,,,,,,,,,,,,
,,15,,,,,,,,,,,,,
,,15,,,,,,,,,,,,,
,,15,,,,,,,,,,,,,
,,15,,,,,,,,,,,,,
,,15,,,,,,,,,,,,,
,,15,,,,,,,,,,,,,
,,15,,,,,,,,,,,,,
,,15,,,,,,,,,,,,,
,,15,,,,,,,,,,,,,
,,15,,,,,,,,,,,,,
,,15,,,,,,,,,,,,,
,,15,,,,,,,,,,,,,
,,15,,,,,,,,,,,,,
,,15,,,,,,,,,,,,,
,,15,,,,,,,,,,,,,
,,15,,,,,,,,,,,,,
,,15,,,,,,,,,,,,,
,,15,,,,,,,,,,,,,
,,15,,,,,,,,,,,,,
,,15,,,,,,,,,,,,,
,,15,,,,,,,,,,,,,
,,15,,,,,,,,,,,,,
,,15,,,,,,,,,,,,,
,,15,,,,,,,,,,,,,
,,15,,,,,,,,,,,,,
,,15,,,,,,,,,,,,,
,,15,,,,,,,,,,,,,
,,15,,,,,,,,,,,,,
,,15,,,,,,,,,,,,,
,,15,,,,,,,,,,,,,
,,15,,,,,,,,,,,,,
,,15,,,,,,,,,,,,,
,,15,,,,,,,,,,,,,
,,15,,,,,,,,,,,,,
,,15,,,,,,,,,,,,,
,,15,,,,,,,,,,,,,
,,15,,,,,,,,,,,,,
,,15,,,,,,,,,,,,,
,,15,,,,,,,,,,,,,
,,15,,,,,,,,,,,,,
,,15,,,,,,,,,,,,,
,,15,,,,,,,,,,,,,
,,15,,,,,,,,,,,,,
,,15,,,,,,,,,,,,,
,,15,,,,,,,,,,,,,
,,15,,,,,,,,,,,,,
,,15,,,,,,,,,,,,,
,,15,,,,,,,,,,,,,
,,15,,,,,,,,,,,,,
,,15,,,,,,,,,,,,,
,,15,,,,,,,,,,,,,
,,15,,,,,,,,,,,,,
