PlotID,PlotName,CropName,CropTrt,Location,Block,SiteNum,RowNumber,ColNum,Position,Season,SamplingWeek,SamplingDate,Year,Month,Day,LeavesStems_tha,LeavesStems_tha,LeavesStems_tha,Roots_tha,Roots_tha,Roots_tha
78,HH_SS-1,SS,SS,HH,14,3,1,6,316,Winter,8,1/8/2020,2020,1,8,414,369,193,57,68,23
79,HH_VB-2,VB,VB,HH,14,3,2,1,321,Winter,8,1/8/2020,2020,1,8,105,78,322,5,5,8
80,HH_SHSS-2,SH,SHSS,HH,14,3,2,2,322,Winter,8,1/8/2020,2020,1,8,272,260,113,19,14,10
80,HH_SHSS-2,SS,SHSS,HH,14,3,2,2,322,Winter,8,1/8/2020,2020,1,8,3,28,11,2,2,4
81,HH_SS-2,SS,SS,HH,14,3,2,3,323,Winter,8,1/8/2020,2020,1,8,88,76,101,13,15,17
82,HH_SH-2,SH,SH,HH,14,3,2,4,324,Winter,8,1/8/2020,2020,1,8,132,277,273,12,25,20
83,HH_SHVB-2,SH,SHVB,HH,14,3,2,5,325,Winter,8,1/8/2020,2020,1,8,263,400,356,20,27,32
83,HH_SHVB-2,VB,SHVB,HH,14,3,2,5,325,Winter,8,1/8/2020,2020,1,8,59,93,96,1,2,3
84,HH_SSVB-2,SS,SSVB,HH,14,3,2,6,326,Winter,8,1/8/2020,2020,1,8,220,151,174,31,21,22
84,HH_SSVB-2,VB,SSVB,HH,14,3,2,6,326,Winter,8,1/8/2020,2020,1,8,40,58,112,1,2,2
85,HH_SHSS-3,SH,SHSS,HH,14,3,3,1,331,Winter,8,1/8/2020,2020,1,8,177,183,51,17,12,6
85,HH_SHSS-3,SS,SHSS,HH,14,3,3,1,331,Winter,8,1/8/2020,2020,1,8,23,116,126,2,28,22
86,HH_SHVB-3,SH,SHVB,HH,14,3,3,2,332,Winter,8,1/8/2020,2020,1,8,95,142,187,5,12,15
86,HH_SHVB-3,VB,SHVB,HH,14,3,3,2,332,Winter,8,1/8/2020,2020,1,8,27,0,13,2,0,1
87,HH_SSVB-3,SS,SSVB,HH,14,3,3,3,333,Winter,8,1/8/2020,2020,1,8,55,36,25,3,3,5
87,HH_SSVB-3,VB,SSVB,HH,14,3,3,3,333,Winter,8,1/8/2020,2020,1,8,29,44,80,1,1,4
88,HH_VB-3,VB,VB,HH,14,3,3,4,334,Winter,8,1/8/2020,2020,1,8,132,258,154,3,4,4
89,HH_SS-3,SS,SS,HH,14,3,3,5,335,Winter,8,1/8/2020,2020,1,8,73,123,40,12,15,9
90,HH_SH-3,SH,SH,HH,14,3,3,6,336,Winter,8,1/8/2020,2020,1,8,418,382,540,35,28,46
91,HH_SS-4,SS,SS,HH,14,3,4,1,341,Winter,8,1/8/2020,2020,1,8,111,56,100,15,11,20
92,HH_SH-4,SH,SH,HH,14,3,4,2,342,Winter,8,1/8/2020,2020,1,8,109,132,186,8,9,20
93,HH_VB-4,VB,VB,HH,14,3,4,3,343,Winter,8,1/8/2020,2020,1,8,138,103,75,10,8,8
94,HH_SHVB-4,SH,SHVB,HH,14,3,4,4,344,Winter,8,1/8/2020,2020,1,8,121,107,153,14,11,15
94,HH_SHVB-4,VB,SHVB,HH,14,3,4,4,344,Winter,8,1/8/2020,2020,1,8,23,110,85,6,9,10
95,HH_SSVB-4,SS,SSVB,HH,14,3,4,5,345,Winter,8,1/8/2020,2020,1,8,29,61,30,14,13,6
95,HH_SSVB-4,VB,SSVB,HH,14,3,4,5,345,Winter,8,1/8/2020,2020,1,8,60,26,41,9,6,2
96,HH_SHSS-4,SH,SHSS,HH,14,3,4,6,346,Winter,8,1/8/2020,2020,1,8,126,280,110,14,30,14
96,HH_SHSS-4,SS,SHSS,HH,14,3,4,6,346,Winter,8,1/8/2020,2020,1,8,18,10,15,9,2,2
97,HH_SSVB-5,SS,SSVB,HH,14,3,5,1,351,Winter,8,1/8/2020,2020,1,8,48,22,30,11,12,8
97,HH_SSVB-5,VB,SSVB,HH,14,3,5,1,351,Winter,8,1/8/2020,2020,1,8,64,70,60,9,3,10
98,HH_VB-5,VB,VB,HH,14,3,5,2,352,Winter,8,1/8/2020,2020,1,8,131,65,72,2,2,3
99,HH_SHSS-5,SH,SHSS,HH,14,3,5,3,353,Winter,8,1/8/2020,2020,1,8,72,108,67,6,9,3
99,HH_SHSS-5,SS,SHSS,HH,14,3,5,3,353,Winter,8,1/8/2020,2020,1,8,32,25,17,3,7,2
100,HH_SS-5,SS,SS,HH,14,3,5,4,354,Winter,8,1/8/2020,2020,1,8,41,49,27,10,6,4
101,HH_SH-5,SH,SH,HH,14,3,5,5,355,Winter,8,1/8/2020,2020,1,8,169,313,376,10,19,30
102,HH_SHVB-5,SH,SHVB,HH,14,3,5,6,356,Winter,8,1/8/2020,2020,1,8,111,79,106,8,5,6
102,HH_SHVB-5,VB,SHVB,HH,14,3,5,6,356,Winter,8,1/8/2020,2020,1,8,13,23,61,2,1,2
103,HH_SHVB-6,SH,SHVB,HH,14,3,6,1,361,Winter,8,1/8/2020,2020,1,8,0,1,9,0,1,1
103,HH_SHVB-6,VB,SHVB,HH,14,3,6,1,361,Winter,8,1/8/2020,2020,1,8,24,25,23,2,2,1
104,HH_SS-6,SS,SS,HH,14,3,6,2,362,Winter,8,1/8/2020,2020,1,8,3,5,2,1,1,1
105,HH_SH-6,SH,SH,HH,14,3,6,3,363,Winter,8,1/8/2020,2020,1,8,4,40,36,1,3,5
106,HH_SSVB-6,SS,SSVB,HH,14,3,6,4,364,Winter,8,1/8/2020,2020,1,8,3,5,11,1,1,2
106,HH_SSVB-6,VB,SSVB,HH,14,3,6,4,364,Winter,8,1/8/2020,2020,1,8,9,50,21,1,2,1
107,HH_SHSS-6,SH,SHSS,HH,14,3,6,5,365,Winter,8,1/8/2020,2020,1,8,81,53,26,3,3,1
107,HH_SHSS-6,SS,SHSS,HH,14,3,6,5,365,Winter,8,1/8/2020,2020,1,8,8,6,2,1,1,1
108,HH_VB-6,VB,VB,HH,14,3,6,6,366,Winter,8,1/8/2020,2020,1,8,66,56,92,2,2,4
109,OC_SHSS-1,SH,SHSS,OC,15,4,1,1,411,Winter,8,1/9/2020,2020,1,9,294,300,289,25,23,28
109,OC_SHSS-1,SS,SHSS,OC,15,4,1,1,411,Winter,8,1/9/2020,2020,1,9,282,337,396,36,44,47
110,OC_SS-1,SS,SS,OC,15,4,1,2,412,Winter,8,1/9/2020,2020,1,9,724,828,746,104,156,144
111,OC_SH-1,SH,SH,OC,15,4,1,3,413,Winter,8,1/9/2020,2020,1,9,267,406,244,26,46,21
112,OC_SSVB-1,SS,SSVB,OC,15,4,1,4,414,Winter,8,1/9/2020,2020,1,9,117,159,210,20,28,27
112,OC_SSVB-1,VB,SSVB,OC,15,4,1,4,414,Winter,8,1/9/2020,2020,1,9,89,0,164,2,0,5
113,OC_VB-1,VB,VB,OC,15,4,1,5,415,Winter,8,1/9/2020,2020,1,9,268,258,165,4,10,2
114,OC_SHVB-1,SH,SHVB,OC,15,4,1,6,415,Winter,8,1/9/2020,2020,1,9,130,422,254,9,22,31
114,OC_SHVB-1,VB,SHVB,OC,15,4,1,6,416,Winter,8,1/9/2020,2020,1,9,33,55,87,1,1,4
115,OC_SHVB-2,SH,SHVB,OC,15,4,2,1,421,Winter,8,1/9/2020,2020,1,9,378,177,192,25,18,11
115,OC_SHVB-2,VB,SHVB,OC,15,4,2,1,421,Winter,8,1/9/2020,2020,1,9,58,25,106,1,1,3
116,OC_VB-2,VB,VB,OC,15,4,2,2,422,Winter,8,1/9/2020,2020,1,9,194,246,290,3,6,9
117,OC_SHSS-2,SH,SHSS,OC,15,4,2,3,423,Winter,8,1/9/2020,2020,1,9,242,236,410,19,19,38
117,OC_SHSS-2,SS,SHSS,OC,15,4,2,3,423,Winter,8,1/9/2020,2020,1,9,264,43,330,35,9,38
118,OC_SS-2,SS,SS,OC,15,4,2,4,424,Winter,8,1/9/2020,2020,1,9,370,242,192,60,37,23
119,OC_SHVB-2,SH,SSVB,OC,15,4,2,5,425,Winter,8,1/9/2020,2020,1,9,311,493,250,91,111,33
119,OC_SHVB-2,VB,SSVB,OC,15,4,2,5,425,Winter,8,1/9/2020,2020,1,9,0,56,25,0,1,1
120,OC_SS-2,SS,SH,OC,15,4,2,6,426,Winter,8,1/9/2020,2020,1,9,783,1082,993,28,80,82
121,OC_SSVB-3,SS,SSVB,OC,15,4,3,1,431,Winter,8,1/9/2020,2020,1,9,203,161,315,36,38,52
121,OC_SSVB-3,VB,SSVB,OC,15,4,3,1,431,Winter,8,1/9/2020,2020,1,9,85,39,45,1,1,1
122,OC_SH-3,SH,SH,OC,15,4,3,2,432,Winter,8,1/9/2020,2020,1,9,191,329,365,19,19,27
123,OC_VB-3,VB,VB,OC,15,4,3,3,433,Winter,8,1/9/2020,2020,1,9,106,154,210,3,3,3
124,OC_SHVB-3,SH,SHVB,OC,15,4,3,4,434,Winter,8,1/9/2020,2020,1,9,356,282,507,28,26,53
124,OC_SHVB-3,VB,SHVB,OC,15,4,3,4,434,Winter,8,1/9/2020,2020,1,9,64,44,22,1,1,1
125,OC_SHSS-3,SH,SHSS,OC,15,4,3,5,435,Winter,8,1/9/2020,2020,1,9,497,205,449,23,18,34
125,OC_SHSS-3,SS,SHSS,OC,15,4,3,5,435,Winter,8,1/9/2020,2020,1,9,101,130,220,12,17,36
126,OC_SS-3,SS,SS,OC,15,4,3,6,436,Winter,8,1/9/2020,2020,1,9,458,695,433,58,90,47
127,OC_SH-4,SH,SH,OC,15,4,4,1,441,Winter,8,1/9/2020,2020,1,9,289,212,456,21,21,41
128,OC_SSVB-4,SS,SSVB,OC,15,4,4,2,442,Winter,8,1/9/2020,2020,1,9,318,652,279,34,42,44
128,OC_SSVB-4,VB,SSVB,OC,15,4,4,2,442,Winter,8,1/9/2020,2020,1,9,47,31,35,1,1,1
129,OC_SS-4,SS,SS,OC,15,4,4,3,443,Winter,8,1/9/2020,2020,1,9,417,827,642,68,98,88
130,OC_VB-4,VB,VB,OC,15,4,4,4,444,Winter,8,1/9/2020,2020,1,9,361,90,238,6,2,4
131,OC_SHVB-4,SH,SHVB,OC,15,4,4,5,445,Winter,8,1/9/2020,2020,1,9,537,464,298,36,31,25
131,OC_SHVB-4,VB,SHVB,OC,15,4,4,5,445,Winter,8,1/9/2020,2020,1,9,47,61,50,1,2,1
132,OC_SHSS-4,SH,SHSS,OC,15,4,4,6,446,Winter,8,1/9/2020,2020,1,9,826,714,574,46,70,40
132,OC_SHSS-4,SS,SHSS,OC,15,4,4,6,446,Winter,8,1/9/2020,2020,1,9,24,323,319,1,27,45
133,OC_VB-5,VB,VB,OC,15,4,5,1,451,Winter,8,1/9/2020,2020,1,9,15,19,149,1,1,3
134,OC_SHSS-5,SH,SHSS,OC,15,4,5,2,452,Winter,8,1/9/2020,2020,1,9,525,217,323,32,19,22
134,OC_SHSS-5,SS,SHSS,OC,15,4,5,2,452,Winter,8,1/9/2020,2020,1,9,37,47,210,2,4,30
135,OC_SHVB-5,SH,SHVB,OC,15,4,5,3,453,Winter,8,1/9/2020,2020,1,9,382,249,307,29,19,23
135,OC_SHVB-5,VB,SHVB,OC,15,4,5,3,453,Winter,8,1/9/2020,2020,1,9,0,13,68,0,1,1
136,OC_SH-5,SH,SH,OC,15,4,5,4,454,Winter,8,1/9/2020,2020,1,9,477,329,298,29,20,22
137,OC_SS-5,SS,SS,OC,15,4,5,5,455,Winter,8,1/9/2020,2020,1,9,576,337,597,64,38,61
138,OC_SSVB-5,SS,SSVB,OC,15,4,5,6,456,Winter,8,1/9/2020,2020,1,9,276,189,894,44,25,85
138,OC_SSVB-5,VB,SSVB,OC,15,4,5,6,456,Winter,8,1/9/2020,2020,1,9,31,17,105,1,1,2
139,OC_SS-6,SS,SS,OC,15,4,6,1,461,Winter,8,1/9/2020,2020,1,9,38,114,88,7,18,13
140,OC_SHVB-6,SH,SHVB,OC,15,4,6,2,462,Winter,8,1/9/2020,2020,1,9,136,236,224,14,25,25
140,OC_SHVB-6,VB,SHVB,OC,15,4,6,2,462,Winter,8,1/9/2020,2020,1,9,52,22,21,1,2,1
141,OC_SSVB-6,SS,SSVB,OC,15,4,6,3,463,Winter,8,1/9/2020,2020,1,9,16,17,27,2,2,4
141,OC_SSVB-6,VB,SSVB,OC,15,4,6,3,463,Winter,8,1/9/2020,2020,1,9,2,21,74,1,1,2
142,OC_SHSS-6,SH,SHSS,OC,15,4,6,4,464,Winter,8,1/9/2020,2020,1,9,333,139,133,27,8,12
142,OC_SHSS-6,SS,SHSS,OC,15,4,6,4,464,Winter,8,1/9/2020,2020,1,9,12,26,1,1,2,1
143,OC_SH-6,SH,SH,OC,15,4,6,5,465,Winter,8,1/9/2020,2020,1,9,378,325,293,30,31,28
