PlotID,PlotName,Block,Location,CropTrt,SiteNum,RowNumber,ColNum,Position,SamplingDate,Month,Day,Year,pH,pH_2
22,VF_VB-4,1,VF,VB,1,4,4,144,4/30/2020,4,30,2020,7.96,7.98
23,VF_SHVB-4,1,VF,SHVB,1,4,5,145,4/30/2020,4,30,2020,8.17,8.1
24,VF_SSVB-4,1,VF,SSVB,1,4,6,146,4/30/2020,4,30,2020,8.05,7.97
25,VF_SHVB-5,1,VF,SHVB,1,5,1,151,4/30/2020,4,30,2020,8.19,8.09
26,VF_SHSS-5,1,VF,SHSS,1,5,2,152,4/30/2020,4,30,2020,7.96,7.94
27,VF_SS-5,1,VF,SS,1,5,3,153,4/30/2020,4,30,2020,7.88,7.89
28,VF_SSVB-5,1,VF,SSVB,1,5,4,154,4/30/2020,4,30,2020,8.04,8.06
29,VF_SH-5,1,VF,SH,1,5,5,155,4/30/2020,4,30,2020,7.96,8.07
30,VF_VB-5,1,VF,VB,1,5,6,156,4/30/2020,4,30,2020,7.98,8.02
31,VF_SSVB-6,1,VF,SSVB,1,6,1,161,4/30/2020,4,30,2020,8.11,8.08
32,VF_SH-6,1,VF,SH,1,6,2,162,4/30/2020,4,30,2020,7.98,8.09
33,VF_SS-6,1,VF,SS,1,6,3,163,4/30/2020,4,30,2020,8.01,8.08
34,VF_SS-6,1,VF,SS,1,6,4,164,4/30/2020,4,30,2020,8.05,7.95
35,VF_SHSS-6,1,VF,SHSS,1,6,5,165,4/30/2020,4,30,2020,7.89,7.92
36,VF_SHVB-6,1,VF,SHVB,1,6,6,166,4/30/2020,4,30,2020,7.96,7.88
73,HH_SH-1,14,HH,SH,3,1,1,311,4/30/2020,4,30,2020,6.17,6.55
74,HH_SSVB-1,14,HH,SSVB,3,1,2,312,4/30/2020,4,30,2020,6.63,6.56
75,HH_SHVB-1,14,HH,SHVB,3,1,3,313,4/30/2020,4,30,2020,6.72,6.98
76,HH_SHSS-1,14,HH,SHSS,3,1,4,314,4/30/2020,4,30,2020,7.06,6.91
77,HH_VB-1,14,HH,VB,3,1,5,315,4/30/2020,4,30,2020,6.87,6.91
78,HH_SS-1,14,HH,SS,3,1,6,316,4/30/2020,4,30,2020,6.99,6.92
79,HH_VB-2,14,HH,VB,3,2,1,321,4/30/2020,4,30,2020,6.93,6.92
80,HH_SHSS-2,14,HH,SHSS,3,2,2,322,4/30/2020,4,30,2020,7.09,7.11
81,HH_SS-2,14,HH,SS,3,2,3,323,4/30/2020,4,30,2020,6.99,6.93
82,HH_SH-2,14,HH,SH,3,2,4,324,4/30/2020,4,30,2020,6.84,6.85
83,HH_SHVB-2,14,HH,SHVB,3,2,5,325,4/30/2020,4,30,2020,7.11,6.97
84,HH_SSVB-2,14,HH,SSVB,3,2,6,326,4/30/2020,4,30,2020,6.86,6.89
85,HH_SHSS-3,14,HH,SHSS,3,3,1,331,4/30/2020,4,30,2020,6.95,6.97
86,HH_SHVB-3,14,HH,SHVB,3,3,2,332,4/30/2020,4,30,2020,6.77,6.81
87,HH_SSVB-3,14,HH,SSVB,3,3,3,333,4/30/2020,4,30,2020,6.82,6.75
88,HH_VB-3,14,HH,VB,3,3,4,334,4/30/2020,4,30,2020,6.77,6.79
89,HH_SS-3,14,HH,SS,3,3,5,335,4/30/2020,4,30,2020,6.55,6.56
90,HH_SH-3,14,HH,SH,3,3,6,336,4/30/2020,4,30,2020,6.72,6.75
91,HH_SS-4,14,HH,SS,3,4,1,341,4/30/2020,4,30,2020,6.7,6.72
92,HH_SH-4,14,HH,SH,3,4,2,342,4/30/2020,4,30,2020,6.81,6.85
93,HH_VB-4,14,HH,VB,3,4,3,343,4/30/2020,4,30,2020,6.83,6.87
94,HH_SHVB-4,14,HH,SHVB,3,4,4,344,4/30/2020,4,30,2020,6.86,6.84
95,HH_SSVB-4,14,HH,SSVB,3,4,5,345,4/30/2020,4,30,2020,6.81,6.9
96,HH_SHSS-4,14,HH,SHSS,3,4,6,346,4/30/2020,4,30,2020,6.93,6.98
97,HH_SSVB-5,14,HH,SSVB,3,5,1,351,4/30/2020,4,30,2020,6.97,7.12
98,HH_VB-5,14,HH,VB,3,5,2,352,4/30/2020,4,30,2020,7.15,7.13
99,HH_SHSS-5,14,HH,SHSS,3,5,3,353,4/30/2020,4,30,2020,7.14,7.13
100,HH_SS-5,14,HH,SS,3,5,4,354,4/30/2020,4,30,2020,7.16,7.19
101,HH_SH-5,14,HH,SH,3,5,5,355,4/30/2020,4,30,2020,7.33,7.27
102,HH_SHVB-5,14,HH,SHVB,3,5,6,356,4/30/2020,4,30,2020,7.21,7.3
103,HH_SHVB-6,14,HH,SHVB,3,6,1,361,4/30/2020,4,30,2020,7.24,7.3
104,HH_SS-6,14,HH,SS,3,6,2,362,4/30/2020,4,30,2020,6.95,7.01
105,HH_SH-6,14,HH,SH,3,6,3,363,4/30/2020,4,30,2020,6.98,6.87
106,HH_SSVB-6,14,HH,SSVB,3,6,4,364,4/30/2020,4,30,2020,6.88,6.99
107,HH_SHSS-6,14,HH,SHSS,3,6,5,365,4/30/2020,4,30,2020,6.89,6.83
108,HH_VB-6,14,HH,VB,3,6,6,366,4/30/2020,4,30,2020,7.11,7.17
