Plot_ID,Block,Location,PlotName,CropTrt,SiteNum,RowNumber,ColNum,Position,SamplingDate,Day,Month,Year,BeakerWgt_g,Wt_Soil_g,PreIgnitionWT_g,PostIgnitionWgt_g,AshWt_g,LOIorSOM_percent_M1,LOIorSOM_percent_M2
26,1,VF,VF_SHSS-5,SHSS,1,5,2,152,4/30/2020,30,4,2020,12.814,0.435,13.249,13.206,0.392,-10.96938776,10.96938776
27,1,VF,VF_SS-5,SS,1,5,3,153,4/30/2020,30,4,2020,13.033,0.411,13.444,13.401,0.368,-11.68478261,11.68478261
28,1,VF,VF_SSVB-5,SSVB,1,5,4,154,4/30/2020,30,4,2020,13.114,0.433,13.547,13.505,0.391,-10.74168798,10.74168798
29,1,VF,VF_SH-5,SH,1,5,5,155,4/30/2020,30,4,2020,13.014,0.444,13.458,13.414,0.4,-11,11
30,1,VF,VF_VB-5,VB,1,5,6,156,4/30/2020,30,4,2020,13.22,0.481,13.701,13.656,0.436,-10.32110092,10.32110092
31,1,VF,VF_SSVB-6,SSVB,1,6,1,161,4/30/2020,30,4,2020,13.104,0.459,13.563,13.522,0.418,-9.80861244,9.80861244
32,1,VF,VF_SH-6,SH,1,6,2,162,4/30/2020,30,4,2020,12.806,0.464,13.27,13.221,0.415,-11.80722892,11.80722892
33,1,VF,VF_SS-6,SS,1,6,3,163,4/30/2020,30,4,2020,13.074,0.402,13.476,13.433,0.359,-11.97771588,11.97771588
34,1,VF,VF_VB-6,VB,1,6,4,164,4/30/2020,30,4,2020,12.877,0.431,13.308,13.265,0.388,-11.08247423,11.08247423
35,1,VF,VF_SHSS-6,SHSS,1,6,5,165,4/30/2020,30,4,2020,13.064,0.48,13.544,13.495,0.431,-11.36890951,11.36890951
36,1,VF,VF_SHVB-6,SHVB,1,6,6,166,4/30/2020,30,4,2020,13.062,0.416,13.478,13.44,0.378,-10.05291005,10.05291005
73,14,HH,HH_SH-1,SH,3,1,1,311,4/30/2020,30,4,2020,13.135,0.441,13.576,13.483,0.348,-26.72413793,26.72413793
74,14,HH,HH_SSVB-1,SSVB,3,1,2,312,4/30/2020,30,4,2020,12.794,0.439,13.233,13.137,0.343,-27.98833819,27.98833819
75,14,HH,HH_SHVB-1,SHVB,3,1,3,313,4/30/2020,30,4,2020,12.772,0.45,13.222,13.133,0.361,-24.65373961,24.65373961
76,14,HH,HH_SHSS-1,SHSS,3,1,4,314,4/30/2020,30,4,2020,13.046,0.465,13.511,13.404,0.358,-29.88826816,29.88826816
77,14,HH,HH_VB-1,VB,3,1,5,315,4/30/2020,30,4,2020,13.225,0.45,13.675,13.511,0.286,-57.34265734,57.34265734
78,14,HH,HH_SS-1,SS,3,1,6,316,4/30/2020,30,4,2020,13.042,0.464,13.506,13.349,0.307,-51.14006515,51.14006515
79,14,HH,HH_VB-2,VB,3,2,1,321,4/30/2020,30,4,2020,13.137,0.423,13.56,13.403,0.266,-59.02255639,59.02255639
80,14,HH,HH_SHSS-2,SHSS,3,2,2,322,4/30/2020,30,4,2020,12.88,0.421,13.301,13.164,0.284,-48.23943662,48.23943662
81,14,HH,HH_SS-2,SS,3,2,3,323,4/30/2020,30,4,2020,13.229,0.445,13.674,13.528,0.299,-48.82943144,48.82943144
82,14,HH,HH_SH-2,SH,3,2,4,324,4/30/2020,30,4,2020,12.878,0.467,13.345,13.194,0.316,-47.78481013,47.78481013
83,14,HH,HH_SHVB-2,SHVB,3,2,5,325,4/30/2020,30,4,2020,13.171,0.477,13.648,13.541,0.37,-28.91891892,28.91891892
84,14,HH,HH_SSVB-2,SSVB,3,2,6,326,4/30/2020,30,4,2020,12.989,0.429,13.418,13.326,0.337,-27.29970326,27.29970326
85,14,HH,HH_SHSS-3,SHSS,3,3,1,331,4/30/2020,30,4,2020,12.761,0.428,13.189,13.109,0.348,-22.98850575,22.98850575
86,14,HH,HH_SHVB-3,SHVB,3,3,2,332,4/30/2020,30,4,2020,13.022,0.438,13.46,13.38,0.358,-22.34636872,22.34636872
87,14,HH,HH_SSVB-3,SSVB,3,3,3,333,4/30/2020,30,4,2020,13.034,0.478,13.512,13.409,0.375,-27.46666667,27.46666667
88,14,HH,HH_VB-3,VB,3,3,4,334,4/30/2020,30,4,2020,12.748,0.438,13.186,13.094,0.346,-26.58959538,26.58959538
89,14,HH,HH_SS-3,SS,3,3,5,335,4/30/2020,30,4,2020,12.795,0.455,13.25,13.151,0.356,-27.80898876,27.80898876
90,14,HH,HH_SH-3,SH,3,3,6,336,4/30/2020,30,4,2020,13.008,0.387,13.395,13.311,0.303,-27.72277228,27.72277228
91,14,HH,HH_SS-4,SS,3,4,1,341,4/30/2020,30,4,2020,13.084,0.479,13.563,13.461,0.377,-27.05570292,27.05570292
92,14,HH,HH_SH-4,SH,3,4,2,342,4/30/2020,30,4,2020,12.819,0.466,13.285,13.19,0.371,-25.606469,25.606469
93,14,HH,HH_VB-4,VB,3,4,3,343,4/30/2020,30,4,2020,12.811,0.455,13.266,13.181,0.37,-22.97297297,22.97297297
94,14,HH,HH_SHVB-4,SHVB,3,4,4,344,4/30/2020,30,4,2020,13.036,0.407,13.443,13.361,0.325,-25.23076923,25.23076923
95,14,HH,HH_SSVB-4,SSVB,3,4,5,345,4/30/2020,30,4,2020,12.837,0.439,13.276,13.189,0.352,-24.71590909,24.71590909
96,14,HH,HH_SHSS-4,SHSS,3,4,6,346,4/30/2020,30,4,2020,12.809,0.482,13.291,13.189,0.38,-26.84210526,26.84210526
97,14,HH,HH_SSVB-5,SSVB,3,5,1,351,4/30/2020,30,4,2020,13.043,0.456,13.499,13.41,0.367,-24.2506812,24.2506812
98,14,HH,HH_VB-5,VB,3,5,2,352,4/30/2020,30,4,2020,13.106,0.421,13.527,13.442,0.336,-25.29761905,25.29761905
99,14,HH,HH_SHSS-5,SHSS,3,5,3,353,4/30/2020,30,4,2020,13.077,0.453,13.53,13.436,0.359,-26.18384401,26.18384401
100,14,HH,HH_SS-5,SS,3,5,4,354,4/30/2020,30,4,2020,13.043,0.441,13.484,13.398,0.355,-24.22535211,24.22535211
101,14,HH,HH_SH-5,SH,3,5,5,355,4/30/2020,30,4,2020,12.859,0.449,13.308,13.222,0.363,-23.69146006,23.69146006
102,14,HH,HH_SHVB-5,SHVB,3,5,6,356,4/30/2020,30,4,2020,12.728,0.465,13.193,13.102,0.374,-24.3315508,24.3315508
103,14,HH,HH_SHVB-6,SHVB,3,6,1,361,4/30/2020,30,4,2020,13.113,0.412,13.525,13.443,0.33,-24.84848485,24.84848485
104,14,HH,HH_SS-6,SS,3,6,2,362,4/30/2020,30,4,2020,13.046,0.42,13.466,13.386,0.34,-23.52941176,23.52941176
105,14,HH,HH_SH-6,SH,3,6,3,363,4/30/2020,30,4,2020,13.085,0.468,13.553,13.469,0.384,-21.875,21.875
106,14,HH,HH_SSVB-6,SSVB,3,6,4,364,4/30/2020,30,4,2020,13.17,0.415,13.585,13.504,0.334,-24.25149701,24.25149701
107,14,HH,HH_SHSS-6,SHSS,3,6,5,365,4/30/2020,30,4,2020,13.016,0.491,13.507,13.393,0.377,-30.23872679,30.23872679
108,14,HH,HH_VB-6,VB,3,6,6,366,4/30/2020,30,4,2020,13.174,0.421,13.595,13.5,0.326,-29.14110429,29.14110429
