PlotID,Block,SiteName,PlotName,CropName,CropTrt,SiteNum,RowNumber,ColNum,Position,Season,SamplingWeek,Year,Month,50percent_Emerg_Day
16,1,VF,VF_SHSS-3,SH,SHSS,1,3,4,134,Summer,2,2019,5,17
16,1,VF,VF_SHSS-3,SS,SHSS,1,3,4,134,Summer,2,2019,5,17
17,1,VF,VF_SS-3,SS,SS,1,3,5,135,Summer,2,2019,5,17
18,1,VF,VF_SH-3,SH,SH,1,3,6,136,Summer,2,2019,5,17
19,1,VF,VF_SH-4,SH,SH,1,4,1,141,Summer,2,2019,5,17
20,1,VF,VF_SS-4,SS,SS,1,4,2,142,Summer,2,2019,5,17
21,1,VF,VF_SHSS-4,SH,SHSS,1,4,3,143,Summer,2,2019,5,17
21,1,VF,VF_SHSS-4,SS,SHSS,1,4,3,143,Summer,2,2019,5,17
22,1,VF,VF_VB-4,VB,VB,1,4,4,144,Summer,2,2019,5,21
23,1,VF,VF_SHVB-4,SH,SHVB,1,4,5,144,Summer,2,2019,5,17
23,1,VF,VF_SHVB-4,VB,SHVB,1,4,5,145,Summer,2,2019,5,NA
24,1,VF,VF_SSVB-4,SS,SSVB,1,4,6,146,Summer,2,2019,5,17
24,1,VF,VF_SSVB-4,VB,SSVB,1,4,6,146,Summer,2,2019,5,NA
25,1,VF,VF_SHVB-5,SH,SHVB,1,5,1,151,Summer,2,2019,5,17
25,1,VF,VF_SHVB-5,VB,SHVB,1,5,1,151,Summer,2,2019,5,20
26,1,VF,VF_SHSS-5,SH,SHSS,1,5,2,152,Summer,2,2019,5,17
26,1,VF,VF_SHSS-5,SS,SHSS,1,5,2,152,Summer,2,2019,5,17
27,1,VF,VF_SS-5,SS,SS,1,5,3,153,Summer,2,2019,5,17
28,1,VF,VF_SSVB-5,SS,SSVB,1,5,4,154,Summer,2,2019,5,20
28,1,VF,VF_SSVB-5,VB,SSVB,1,5,4,154,Summer,2,2019,5,21
29,1,VF,VF_SH-5,SH,SH,1,5,5,155,Summer,2,2019,5,17
30,1,VF,VF_VB-5,VB,VB,1,5,6,156,Summer,2,2019,5,20
31,1,VF,VF_SSVB-6,SS,SSVB,1,6,1,161,Summer,2,2019,5,20
31,1,VF,VF_SSVB-6,VB,SSVB,1,6,1,161,Summer,2,2019,5,21
32,1,VF,VF_SH-6,SH,SH,1,6,2,162,Summer,2,2019,5,17
33,1,VF,VF_VB-6,VB,VB,1,6,3,163,Summer,2,2019,5,21
34,1,VF,VF_SS-6,SS,SS,1,6,4,164,Summer,2,2019,5,20
35,1,VF,VF_SHSS-6,SH,SHSS,1,6,5,165,Summer,2,2019,5,17
35,1,VF,VF_SHSS-6,SS,SHSS,1,6,5,165,Summer,2,2019,5,20
36,1,VF,VF_SHVB-6,SH,SHVB,1,6,6,166,Summer,2,2019,5,17
36,1,VF,VF_SHVB-6,VB,SHVB,1,6,6,166,Summer,2,2019,5,NA
37,4,FO,FO_SS-1,SS,SS,2,1,1,211,Summer,2,2019,5,17
38,4,FO,FO_SHSS-1,SH,SHSS,2,1,2,212,Summer,2,2019,5,17
38,4,FO,FO_SHSS-1,SS,SHSS,2,1,2,212,Summer,2,2019,5,20
39,4,FO,FO_SHVB-1,SH,SHVB,2,1,3,213,Summer,2,2019,5,17
39,4,FO,FO_SHVB-1,VB,SHVB,2,1,3,213,Summer,2,2019,5,NA
40,4,FO,FO_SSVB-1,SS,SSVB,2,1,4,214,Summer,2,2019,5,17
40,4,FO,FO_SSVB-1,VB,SSVB,2,1,4,214,Summer,2,2019,5,24
41,4,FO,FO_SH-1,SH,SH,2,1,5,215,Summer,2,2019,5,17
42,4,FO,FO_VB-1,VB,VB,2,1,6,216,Summer,2,2019,5,21
43,4,FO,FO_VB-2,VB,VB,2,2,1,221,Summer,2,2019,5,20
44,4,FO,FO_SSVB-2,SS,SSVB,2,2,2,222,Summer,2,2019,5,17
44,4,FO,FO_SSVB-2,VB,SSVB,2,2,2,222,Summer,2,2019,5,21
45,4,FO,FO_SS-2,SS,SS,2,2,3,223,Summer,2,2019,5,17
46,4,FO,FO_SH-2,SH,SH,2,2,4,224,Summer,2,2019,5,17
47,4,FO,FO_SHVB-2,SH,SHVB,2,2,5,225,Summer,2,2019,5,17
47,4,FO,FO_SHVB-2,VB,SHVB,2,2,5,225,Summer,2,2019,5,NA
48,4,FO,FO_SHSS-2,SH,SHSS,2,2,6,226,Summer,2,2019,5,17
48,4,FO,FO_SHSS-2,SS,SHSS,2,2,6,226,Summer,2,2019,5,17
49,4,FO,FO_SH-3,SH,SH,2,3,1,231,Summer,2,2019,5,17
50,4,FO,FO_SHVB-3,SH,SHVB,2,3,2,232,Summer,2,2019,5,17
50,4,FO,FO_SHVB-3,VB,SHVB,2,3,2,232,Summer,2,2019,5,24
51,4,FO,FO_VB-3,VB,VB,2,3,3,233,Summer,2,2019,5,24
52,4,FO,FO_SHSS-3,SH,SHSS,2,3,4,234,Summer,2,2019,5,17
52,4,FO,FO_SHSS-3,SS,SHSS,2,3,4,234,Summer,2,2019,5,17
53,4,FO,FO_SS-3,SS,SS,2,3,5,235,Summer,2,2019,5,17
54,4,FO,FO_SSVB-3,SS,SSVB,2,3,6,236,Summer,2,2019,5,17
54,4,FO,FO_SSVB-3,VB,SSVB,2,3,6,236,Summer,2,2019,5,21
55,4,FO,FO_SHSS-4,SH,SHSS,2,4,1,241,Summer,2,2019,5,17
55,4,FO,FO_SHSS-4,SS,SHSS,2,4,1,241,Summer,2,2019,5,17
56,4,FO,FO_SH-4,SH,SH,2,4,2,242,Summer,2,2019,5,17
57,4,FO,FO_SSVB-4,SS,SSVB,2,4,3,243,Summer,2,2019,5,17
57,4,FO,FO_SSVB-4,VB,SSVB,2,4,3,243,Summer,2,2019,5,NA
58,4,FO,FO_SS-4,SS,SS,2,4,4,244,Summer,2,2019,5,17
59,4,FO,FO_VB-4,VB,VB,2,4,5,245,Summer,2,2019,5,21
60,4,FO,FO_SHVB-4,SH,SHVB,2,4,6,246,Summer,2,2019,5,17
60,4,FO,FO_SHVB-4,VB,SHVB,2,4,6,246,Summer,2,2019,5,24
61,4,FO,FO_SHVB-5,SH,SHVB,2,5,1,251,Summer,2,2019,5,17
61,4,FO,FO_SHVB-5,VB,SHVB,2,5,1,251,Summer,2,2019,5,NA
62,4,FO,FO_SS-5,SS,SS,2,5,2,252,Summer,2,2019,5,17
63,4,FO,FO_SHSS-5,SH,SHSS,2,5,3,253,Summer,2,2019,5,17
63,4,FO,FO_SHSS-5,SS,SHSS,2,5,3,253,Summer,2,2019,5,17
64,4,FO,FO_VB-5,VB,VB,2,5,4,254,Summer,2,2019,5,21
65,4,FO,FO_SSVB-5,SS,SSVB,2,5,5,255,Summer,2,2019,5,17
65,4,FO,FO_SSVB-5,VB,SSVB,2,5,5,255,Summer,2,2019,5,NA
66,4,FO,FO_SH-5,SH,SH,2,5,6,256,Summer,2,2019,5,17
67,4,FO,FO_SSVB-6,SS,SSVB,2,6,1,261,Summer,2,2019,5,21
67,4,FO,FO_SSVB-6,VB,SSVB,2,6,1,261,Summer,2,2019,5,NA
68,4,FO,FO_VB-6,VB,VB,2,6,2,262,Summer,2,2019,5,21
69,4,FO,FO_SH-6,SH,SH,2,6,3,263,Summer,2,2019,5,17
70,4,FO,FO_SHVB-6,VB,SHVB,2,6,4,264,Summer,2,2019,5,24
70,4,FO,FO_SHVB-6,SH,SHVB,2,6,4,264,Summer,2,2019,5,17
71,4,FO,FO_SHSS-6,SS,SHSS,2,6,5,265,Summer,2,2019,5,17
71,4,FO,FO_SHSS-6,SH,SHSS,2,6,5,265,Summer,2,2019,5,17
72,4,FO,FO_SS-6,SS,SS,2,6,6,266,Summer,2,2019,5,17
73,14,HH,HH_SH-1,SH,SH,3,1,1,311,Summer,2,2019,5,17
74,14,HH,HH_SSVB-1,SS,SSVB,3,1,2,312,Summer,2,2019,5,17
74,14,HH,HH_SSVB-1,VB,SSVB,3,1,2,312,Summer,2,2019,5,24
75,14,HH,HH_SHVB-1,SH,SHVB,3,1,3,313,Summer,2,2019,5,17
75,14,HH,HH_SHVB-1,VB,SHVB,3,1,3,313,Summer,2,2019,5,24
76,14,HH,HH_SHSS-1,SH,SHSS,3,1,4,314,Summer,2,2019,5,17
76,14,HH,HH_SHSS-1,SS,SHSS,3,1,4,314,Summer,2,2019,5,20
77,14,HH,HH_VB-1,VB,VB,3,1,5,315,Summer,2,2019,5,24
78,14,HH,HH_SS-1,SS,SS,3,1,6,316,Summer,2,2019,5,17
79,14,HH,HH_VB-2,VB,VB,3,2,1,321,Summer,2,2019,5,21
80,14,HH,HH_SHSS-2,SH,SHSS,3,2,2,322,Summer,2,2019,5,17
80,14,HH,HH_SHSS-2,SS,SHSS,3,2,2,322,Summer,2,2019,5,20
81,14,HH,HH_SS-2,SS,SS,3,2,3,323,Summer,2,2019,5,20
82,14,HH,HH_SH-2,SH,SH,3,2,4,324,Summer,2,2019,5,17
83,14,HH,HH_SHVB-2,SH,SHVB,3,2,5,325,Summer,2,2019,5,17
83,14,HH,HH_SHVB-2,VB,SHVB,3,2,5,325,Summer,2,2019,5,NA
84,14,HH,HH_SSVB-2,SS,SSVB,3,2,6,326,Summer,2,2019,5,20
84,14,HH,HH_SSVB-2,VB,SSVB,3,2,6,326,Summer,2,2019,5,NA
85,14,HH,HH_SHSS-3,SH,SHSS,3,3,1,331,Summer,2,2019,5,17
85,14,HH,HH_SHSS-3,SS,SHSS,3,3,1,331,Summer,2,2019,5,20
86,14,HH,HH_SHVB-3,SH,SHVB,3,3,2,332,Summer,2,2019,5,17
86,14,HH,HH_SHVB-3,VB,SHVB,3,3,2,332,Summer,2,2019,5,21
87,14,HH,HH_SSVB-3,SS,SSVB,3,3,3,333,Summer,2,2019,5,20
87,14,HH,HH_SSVB-3,VB,SSVB,3,3,3,333,Summer,2,2019,5,21
88,14,HH,HH_VB-3,VB,VB,3,3,4,334,Summer,2,2019,5,21
89,14,HH,HH_SS-3,SS,SS,3,3,5,335,Summer,2,2019,5,20
90,14,HH,HH_SH-3,SH,SH,3,3,6,336,Summer,2,2019,5,17
91,14,HH,HH_SS-4,SS,SS,3,4,1,341,Summer,2,2019,5,17
92,14,HH,HH_SH-4,SH,SH,3,4,2,342,Summer,2,2019,5,17
93,14,HH,HH_VB-4,VB,VB,3,4,3,343,Summer,2,2019,5,24
94,14,HH,HH_SHVB-4,SH,SHVB,3,4,4,344,Summer,2,2019,5,17
94,14,HH,HH_SHVB-4,VB,SHVB,3,4,4,344,Summer,2,2019,5,24
95,14,HH,HH_SSVB-4,SS,SSVB,3,4,5,345,Summer,2,2019,5,20
95,14,HH,HH_SSVB-4,VB,SSVB,3,4,5,345,Summer,2,2019,5,NA
96,14,HH,HH_SHSS-4,SH,SHSS,3,4,6,346,Summer,2,2019,5,17
96,14,HH,HH_SHSS-4,SS,SHSS,3,4,6,346,Summer,2,2019,5,20
97,14,HH,HH_SSVB-5,SS,SSVB,3,5,1,351,Summer,2,2019,5,20
97,14,HH,HH_SSVB-5,VB,SSVB,3,5,1,351,Summer,2,2019,5,21
98,14,HH,HH_VB-5,VB,VB,3,5,2,352,Summer,2,2019,5,21
99,14,HH,HH_SHSS-5,SH,SHSS,3,5,3,353,Summer,2,2019,5,17
99,14,HH,HH_SHSS-5,SS,SHSS,3,5,3,353,Summer,2,2019,5,20
100,14,HH,HH_SS-5,SS,SS,3,5,4,354,Summer,2,2019,5,17
101,14,HH,HH_SH-5,SH,SH,3,5,5,355,Summer,2,2019,5,17
102,14,HH,HH_SHVB-5,SH,SHVB,3,5,6,356,Summer,2,2019,5,17
102,14,HH,HH_SHVB-5,VB,SHVB,3,5,6,356,Summer,2,2019,5,24
103,14,HH,HH_SHVB-6,SH,SHVB,3,6,1,361,Summer,2,2019,5,20
103,14,HH,HH_SHVB-6,VB,SHVB,3,6,1,361,Summer,2,2019,5,21
104,14,HH,HH_SS-6,SS,SS,3,6,2,362,Summer,2,2019,5,20
105,14,HH,HH_SH-6,SH,SH,3,6,3,363,Summer,2,2019,5,17
106,14,HH,HH_SSVB-6,SS,SSVB,3,6,4,364,Summer,2,2019,5,20
106,14,HH,HH_SSVB-6,VB,SSVB,3,6,4,364,Summer,2,2019,5,24
107,14,HH,HH_SHSS-6,SH,SHSS,3,6,5,365,Summer,2,2019,5,17
107,14,HH,HH_SHSS-6,SS,SHSS,3,6,5,365,Summer,2,2019,5,20
108,14,HH,HH_VB-6,VB,VB,3,6,6,366,Summer,2,2019,5,20
109,15,OC,OC_SHSS-1,SH,SHSS,4,1,1,411,Summer,2,2019,5,17
109,15,OC,OC_SHSS-1,SS,SHSS,4,1,1,411,Summer,2,2019,5,17
110,15,OC,OC_SS-1,SS,SS,4,1,2,412,Summer,2,2019,5,17
111,15,OC,OC_SH-1,SH,SH,4,1,3,413,Summer,2,2019,5,17
112,15,OC,OC_SSVB-1,SS,SSVB,4,1,4,414,Summer,2,2019,5,17
112,15,OC,OC_SSVB-1,VB,SSVB,4,1,4,414,Summer,2,2019,5,NA
113,15,OC,OC_VB-1,VB,VB,4,1,5,415,Summer,2,2019,5,24
114,15,OC,OC_SHVB-1,SH,SHVB,4,1,6,415,Summer,2,2019,5,17
114,15,OC,OC_SHVB-1,VB,SHVB,4,1,6,416,Summer,2,2019,5,NA
115,15,OC,OC_SHVB-2,SH,SHVB,4,2,1,421,Summer,2,2019,5,17
115,15,OC,OC_SHVB-2,VB,SHVB,4,2,1,421,Summer,2,2019,5,24
116,15,OC,OC_VB-2,VB,VB,4,2,2,422,Summer,2,2019,5,20
117,15,OC,OC_SHSS-2,SH,SHSS,4,2,3,423,Summer,2,2019,5,17
117,15,OC,OC_SHSS-2,SS,SHSS,4,2,3,423,Summer,2,2019,5,17
118,15,OC,OC_SS-2,SS,SS,4,2,4,424,Summer,2,2019,5,17
119,15,OC,OC_SSVB-2,SS,SSVB,4,2,5,425,Summer,2,2019,5,17
119,15,OC,OC_SSVB-2,VB,SSVB,4,2,5,425,Summer,2,2019,5,NA
120,15,OC,OC_SH-2,SH,SH,4,2,6,426,Summer,2,2019,5,17
121,15,OC,OC_SSVB-3,SS,SSVB,4,3,1,431,Summer,2,2019,5,20
121,15,OC,OC_SSVB-3,VB,SSVB,4,3,1,431,Summer,2,2019,5,21
122,15,OC,OC_SH-3,SH,SH,4,3,2,432,Summer,2,2019,5,17
123,15,OC,OC_VB-3,VB,VB,4,3,3,433,Summer,2,2019,5,21
124,15,OC,OC_SHVB-3,SH,SHVB,4,3,4,434,Summer,2,2019,5,17
124,15,OC,OC_SHVB-3,VB,SHVB,4,3,4,434,Summer,2,2019,5,21
125,15,OC,OC_SHSS-3,SH,SHSS,4,3,5,435,Summer,2,2019,5,17
125,15,OC,OC_SHSS-3,SS,SHSS,4,3,5,435,Summer,2,2019,5,17
126,15,OC,OC_SS-3,SS,SS,4,3,6,436,Summer,2,2019,5,17
127,15,OC,OC_SH-4,SH,SH,4,4,1,441,Summer,2,2019,5,17
128,15,OC,OC_SSVB-4,SS,SSVB,4,4,2,442,Summer,2,2019,5,21
128,15,OC,OC_SSVB-4,VB,SSVB,4,4,2,442,Summer,2,2019,5,NA
129,15,OC,OC_SS-4,SS,SS,4,4,3,443,Summer,2,2019,5,17
130,15,OC,OC_VB-4,VB,VB,4,4,4,444,Summer,2,2019,5,21
131,15,OC,OC_SHVB-4,SH,SHVB,4,4,5,445,Summer,2,2019,5,17
131,15,OC,OC_SHVB-4,VB,SHVB,4,4,5,445,Summer,2,2019,5,NA
132,15,OC,OC_SHSS-4,SH,SHSS,4,4,6,446,Summer,2,2019,5,17
132,15,OC,OC_SHSS-4,SS,SHSS,4,4,6,446,Summer,2,2019,5,17
133,15,OC,OC_VB-5,VB,VB,4,5,1,451,Summer,2,2019,5,21
134,15,OC,OC_SHSS-5,SH,SHSS,4,5,2,452,Summer,2,2019,5,17
134,15,OC,OC_SHSS-5,SS,SHSS,4,5,2,452,Summer,2,2019,5,17
135,15,OC,OC_SHVB-5,VB,SHVB,4,5,3,453,Summer,2,2019,5,24
135,15,OC,OC_SHVB-5,SH,SHVB,4,5,3,453,Summer,2,2019,5,17
136,15,OC,OC_SH-5,SH,SH,4,5,4,454,Summer,2,2019,5,17
137,15,OC,OC_SS-5,SS,SS,4,5,5,455,Summer,2,2019,5,17
138,15,OC,OC_SSVB-5,VB,SSVB,4,5,6,456,Summer,2,2019,5,21
138,15,OC,OC_SSVB-5,SS,SSVB,4,5,6,456,Summer,2,2019,5,20
139,15,OC,OC_SS-6,SS,SS,4,6,1,461,Summer,2,2019,5,17
140,15,OC,OC_SHVB-6,SH,SHVB,4,6,2,462,Summer,2,2019,5,17
140,15,OC,OC_SHVB-6,VB,SHVB,4,6,2,462,Summer,2,2019,5,NA
141,15,OC,OC_SSVB-6,SS,SSVB,4,6,3,463,Summer,2,2019,5,17
141,15,OC,OC_SSVB-6,VB,SSVB,4,6,3,463,Summer,2,2019,5,21
142,15,OC,OC_SHSS-6,SH,SHSS,4,6,4,464,Summer,2,2019,5,17
142,15,OC,OC_SHSS-6,SS,SHSS,4,6,4,464,Summer,2,2019,5,20
143,15,OC,OC_SH-6,SH,SH,4,6,5,465,Summer,2,2019,5,17
144,15,OC,OC_VB-6,VB,VB,4,6,6,466,Summer,2,2019,5,24
